Method,Duration,Sample Rate,Noise,Seed,Dim,x0,runtime
Preprocessing,0.5,0.002,0.002,37,10,"(0.9229343059955283, -0.33557812263767955)",0.0043790340423583984
E-STLSQ,0.5,0.002,0.002,37,10,"(0.9229343059955283, -0.33557812263767955)",0.14137935638427734
STLSQ,0.5,0.002,0.002,37,10,"(0.9229343059955283, -0.33557812263767955)",0.0026106834411621094
SSR,0.5,0.002,0.002,37,10,"(0.9229343059955283, -0.33557812263767955)",0.012944936752319336
SR3,0.5,0.002,0.002,37,10,"(0.9229343059955283, -0.33557812263767955)",0.0020895004272460938
MIOSR,0.5,0.002,0.002,37,10,"(0.9229343059955283, -0.33557812263767955)",0.3886733055114746
MIOSR-Opt,0.5,0.002,0.002,37,10,"(0.9229343059955283, -0.33557812263767955)",0.34621143341064453
MIOSR-Build,0.5,0.002,0.002,37,10,"(0.9229343059955283, -0.33557812263767955)",0.040358543395996094
Preprocessing,0.8277532798848107,0.002,0.002,37,10,"(0.9229343059955283, -0.33557812263767955)",0.002770662307739258
E-STLSQ,0.8277532798848107,0.002,0.002,37,10,"(0.9229343059955283, -0.33557812263767955)",0.14174413681030273
STLSQ,0.8277532798848107,0.002,0.002,37,10,"(0.9229343059955283, -0.33557812263767955)",0.002613067626953125
SSR,0.8277532798848107,0.002,0.002,37,10,"(0.9229343059955283, -0.33557812263767955)",0.012875556945800781
SR3,0.8277532798848107,0.002,0.002,37,10,"(0.9229343059955283, -0.33557812263767955)",0.0020945072174072266
MIOSR,0.8277532798848107,0.002,0.002,37,10,"(0.9229343059955283, -0.33557812263767955)",0.5323529243469238
MIOSR-Opt,0.8277532798848107,0.002,0.002,37,10,"(0.9229343059955283, -0.33557812263767955)",0.5126097202301025
MIOSR-Build,0.8277532798848107,0.002,0.002,37,10,"(0.9229343059955283, -0.33557812263767955)",0.0174715518951416
Preprocessing,1.3703509847201238,0.002,0.002,37,10,"(0.9229343059955283, -0.33557812263767955)",0.0029592514038085938
E-STLSQ,1.3703509847201238,0.002,0.002,37,10,"(0.9229343059955283, -0.33557812263767955)",0.15337371826171875
STLSQ,1.3703509847201238,0.002,0.002,37,10,"(0.9229343059955283, -0.33557812263767955)",0.004261493682861328
SSR,1.3703509847201238,0.002,0.002,37,10,"(0.9229343059955283, -0.33557812263767955)",0.013631820678710938
SR3,1.3703509847201238,0.002,0.002,37,10,"(0.9229343059955283, -0.33557812263767955)",0.002231597900390625
MIOSR,1.3703509847201238,0.002,0.002,37,10,"(0.9229343059955283, -0.33557812263767955)",0.6732797622680664
MIOSR-Opt,1.3703509847201238,0.002,0.002,37,10,"(0.9229343059955283, -0.33557812263767955)",0.6538126468658447
MIOSR-Build,1.3703509847201238,0.002,0.002,37,10,"(0.9229343059955283, -0.33557812263767955)",0.017242431640625
Preprocessing,2.268625044390925,0.002,0.002,37,10,"(0.9229343059955283, -0.33557812263767955)",0.003305673599243164
E-STLSQ,2.268625044390925,0.002,0.002,37,10,"(0.9229343059955283, -0.33557812263767955)",0.17154598236083984
STLSQ,2.268625044390925,0.002,0.002,37,10,"(0.9229343059955283, -0.33557812263767955)",0.0044863224029541016
SSR,2.268625044390925,0.002,0.002,37,10,"(0.9229343059955283, -0.33557812263767955)",0.01447606086730957
SR3,2.268625044390925,0.002,0.002,37,10,"(0.9229343059955283, -0.33557812263767955)",0.0024242401123046875
