Method,Duration,Sample Rate,Noise,Seed,x0,insample_r2,validation_r2,validation_mse,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime,threshold,alpha,nu,group_sparsity
STLSQ,0.5,0.002,0.002,18,"(0.45112272521877506, 0.016360121204528788, 1.1358044127646556, -0.9544793238853967, 1.0566992060237914, 0.750408858318032)",-0.5989536558402067,-4.9077385736322325,5.754819347494119,0.09638327738790842,4.890693550097093,0.8595329125856002,0.8836177413494373,1.0,0.08333333333333333,1.0,0.0,11.0,5.072357416152954,1.235482888256747,0.05,,
E-STLSQ,0.5,0.002,0.002,18,"(0.45112272521877506, 0.016360121204528788, 1.1358044127646556, -0.9544793238853967, 1.0566992060237914, 0.750408858318032)",-0.6005551033561606,-4.969831500679372,6.3938266627630815,0.09248175865815236,4.927188279149548,0.8807049458818906,0.8883210490646953,1.0,0.08333333333333333,1.0,0.0,11.0,23.095995903015137,1.235482888256747,0.05,,
SR3,0.5,0.002,0.002,18,"(0.45112272521877506, 0.016360121204528788, 1.1358044127646556, -0.9544793238853967, 1.0566992060237914, 0.750408858318032)",0.9969592493571008,-162376825.31546816,47503482.116662115,-297543204924.4086,920524.5313291557,505710.5258638051,135274.1546134835,80096.61631839028,0.02434077079107505,12.0,481.0,0.0,13.253456592559814,100.0,,0.03333333333333333,
SSR,0.5,0.002,0.002,18,"(0.45112272521877506, 0.016360121204528788, 1.1358044127646556, -0.9544793238853967, 1.0566992060237914, 0.750408858318032)",0.9812958079506312,0.4997422492410417,0.18197566077146457,0.03818001844256913,4.035193034128923,0.714110951761127,0.6792414733354185,0.7777777777777778,0.3181818181818182,7,10,5,1.762793779373169,,"(0.01, 0.2, 0.2, 0.05, 0.05, 0.05)",,
MIOSR,0.5,0.002,0.002,18,"(0.45112272521877506, 0.016360121204528788, 1.1358044127646556, -0.9544793238853967, 1.0566992060237914, 0.750408858318032)",0.9956480172086404,0.900312120286826,0.0403226360399573,0.9999707169502352,0.028938762295119824,0.0020424060064364404,0.0025102028002639398,0.003454003897140407,1.0,12,0,0,2847.0283546447754,,"(0, 0, 0, 0, 0, 0)",,"(2, 2, 2, 2, 2, 2)"
STLSQ,0.6851754923600619,0.002,0.002,18,"(0.45112272521877506, 0.016360121204528788, 1.1358044127646556, -0.9544793238853967, 1.0566992060237914, 0.750408858318032)",0.4428212164205206,-3.1156760088640603,1.1875224736768213,-1.7852234674950094,10.456689949805934,2.2559620352132934,1.8970018158945885,2.3667589396679185,0.10344827586206896,3.0,17.0,9.0,4.87373161315918,0.5302611335911988,0.2,,
E-STLSQ,0.6851754923600619,0.002,0.002,18,"(0.45112272521877506, 0.016360121204528788, 1.1358044127646556, -0.9544793238853967, 1.0566992060237914, 0.750408858318032)",0.34964819180670914,-3.245836864938274,1.4639799215164757,-2.1439705866532077,11.42759767355583,2.3583859520428567,2.1553369858955653,2.674936263091522,0.11538461538461539,3.0,14.0,9.0,24.586951732635498,0.5302611335911988,0.2,,
SR3,0.6851754923600619,0.002,0.002,18,"(0.45112272521877506, 0.016360121204528788, 1.1358044127646556, -0.9544793238853967, 1.0566992060237914, 0.750408858318032)",0.9961296080951576,-10319105.964233618,7837486.348401119,-2369640679.902342,73838.52611201486,36253.38477244981,11120.551043525667,7357.484348580578,0.024336283185840708,11.0,440.0,1.0,16.77785348892212,100.0,,3.3333333333333335,
SSR,0.6851754923600619,0.002,0.002,18,"(0.45112272521877506, 0.016360121204528788, 1.1358044127646556, -0.9544793238853967, 1.0566992060237914, 0.750408858318032)",0.9852570864829149,0.9191696317579482,0.09564275046224836,0.6928782471574948,3.40796926871759,0.5493680359629313,0.6169660209731849,0.7777777777777778,0.42857142857142855,9,9,3,1.7570819854736328,,"(0.01, 0.05, 0.05, 0.2, 0.2, 0.01)",,
MIOSR,0.6851754923600619,0.002,0.002,18,"(0.45112272521877506, 0.016360121204528788, 1.1358044127646556, -0.9544793238853967, 1.0566992060237914, 0.750408858318032)",0.9946907094657192,0.9283822769539952,0.03996568625167638,0.9999146952144514,0.036197394548404566,0.0029420106898420005,0.00377081788632403,0.0050994098982500725,1.0,12,0,0,2851.4817399978638,,"(0, 0, 0, 0, 0, 0)",,"(2, 2, 2, 2, 2, 2)"
