Method,Duration,Sample Rate,Noise,Seed,x0,insample_r2,validation_r2,validation_mse,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime,threshold,alpha,nu,group_sparsity
STLSQ,0.5,0.002,0.002,48,"(-1.4475291872065421, 1.1747198015407752, -0.645416497578245, -0.6030708676231263, 0.8761027819662881, -0.5265882075653135)",-0.11076693245274276,-0.4249908369819193,1.3724270193890853,-0.580252757605823,7.230930616346501,1.738154047595903,1.370561971501952,1.6195231631076186,0.06896551724137931,2.0,17.0,10.0,6.724470853805542,0.2620398528858349,0.2,,
E-STLSQ,0.5,0.002,0.002,48,"(-1.4475291872065421, 1.1747198015407752, -0.645416497578245, -0.6030708676231263, 0.8761027819662881, -0.5265882075653135)",-0.932744904018918,-0.10890787566864273,0.9282740629576871,-0.16999666057517795,6.20011345526128,1.3185026682081349,1.11872011638126,1.0,0.1,2.0,8.0,10.0,26.972641229629517,0.2620398528858349,0.2,,
SR3,0.5,0.002,0.002,48,"(-1.4475291872065421, 1.1747198015407752, -0.645416497578245, -0.6030708676231263, 0.8761027819662881, -0.5265882075653135)",0.9331587241544087,-69917786.98649865,49656824.3564355,-12136724285611.77,8760694.678596906,3063030.8047136213,1081999.493677265,829694.6139336708,0.02385685884691849,12.0,491.0,0.0,29.764535427093506,100.0,,0.03333333333333333,
SSR,0.5,0.002,0.002,48,"(-1.4475291872065421, 1.1747198015407752, -0.645416497578245, -0.6030708676231263, 0.8761027819662881, -0.5265882075653135)",0.8548756020732684,0.6438920433043179,0.12875620264691368,-0.053971230945061247,5.795114797320149,1.2428832035959922,1.0217622981703443,1.0,0.19047619047619047,4,9,8,2.6583127975463867,,"(0.2, 0.05, 0.01, 0.05, 0.2, 0.2)",,
MIOSR,0.5,0.002,0.002,48,"(-1.4475291872065421, 1.1747198015407752, -0.645416497578245, -0.6030708676231263, 0.8761027819662881, -0.5265882075653135)",0.8567363473613003,0.66162048949621,0.08427567487310665,0.7529664144828921,1.1777360923826738,0.15048602600973193,0.22237338931969575,0.3333333333333333,0.7692307692307693,10,1,2,2755.998945951462,,"(0.01, 0, 0, 0, 0, 0)",,"(2, 2, 2, 1, 2, 2)"
STLSQ,0.6851754923600619,0.002,0.002,48,"(-1.4475291872065421, 1.1747198015407752, -0.645416497578245, -0.6030708676231263, 0.8761027819662881, -0.5265882075653135)",0.8000082913605988,0.40285757865955274,0.31513761729287565,-6.5830672439571005,8.615479197360061,1.7491449009543572,1.275563667340187,1.4947602327722498,0.10344827586206896,3.0,17.0,9.0,7.414973974227905,0.3999823395608933,0.05,,
E-STLSQ,0.6851754923600619,0.002,0.002,48,"(-1.4475291872065421, 1.1747198015407752, -0.645416497578245, -0.6030708676231263, 0.8761027819662881, -0.5265882075653135)",-2.376545590861021,-0.4668341538461965,3.147721948028696,-0.019069495396625648,5.730235549983659,1.1313069357378103,1.006876760568277,1.0,0.05263157894736842,1.0,7.0,11.0,35.9376962184906,0.3999823395608933,0.05,,
SR3,0.6851754923600619,0.002,0.002,48,"(-1.4475291872065421, 1.1747198015407752, -0.645416497578245, -0.6030708676231263, 0.8761027819662881, -0.5265882075653135)",0.9296496066223806,-5340017.960232617,7205226.543298095,-188327184110.74002,1785190.5205036313,602176.2528171252,213255.09397420872,178389.17247827866,0.024096385542168676,12.0,486.0,0.0,12.480201482772827,100.0,,0.03333333333333333,
SSR,0.6851754923600619,0.002,0.002,48,"(-1.4475291872065421, 1.1747198015407752, -0.645416497578245, -0.6030708676231263, 0.8761027819662881, -0.5265882075653135)",0.8450650468918187,0.6450058689882555,0.08510267987006635,0.06323465713177148,5.937221121542627,1.146466122370739,0.9596931241056404,1.0,0.21739130434782608,5,11,7,2.6688072681427,,"(0.05, 0.01, 0.2, 0.05, 0.2, 0.05)",,
MIOSR,0.6851754923600619,0.002,0.002,48,"(-1.4475291872065421, 1.1747198015407752, -0.645416497578245, -0.6030708676231263, 0.8761027819662881, -0.5265882075653135)",0.8972224881719818,0.7986181034446921,0.06562358758430863,0.9998707577399573,0.04928154160643147,0.007635597119272986,0.007412040956761414,0.006625370011909116,1.0,12,0,0,3333.3261635303497,,"(0, 0, 0, 0, 0, 0)",,"(2, 2, 2, 2, 2, 2)"
