Method,Duration,Sample Rate,Noise,Seed,Dim,x0,runtime
Preprocessing,0.5,0.002,0.002,2,462,"(-0.19201529357398872, -1.422221304516326, 0.14898743363612743, -0.19403282214516926, -0.23889659373753291, -0.5089955369883776)",0.44827985763549805
E-STLSQ,0.5,0.002,0.002,2,462,"(-0.19201529357398872, -1.422221304516326, 0.14898743363612743, -0.19403282214516926, -0.23889659373753291, -0.5089955369883776)",3.0858402252197266
STLSQ,0.5,0.002,0.002,2,462,"(-0.19201529357398872, -1.422221304516326, 0.14898743363612743, -0.19403282214516926, -0.23889659373753291, -0.5089955369883776)",0.05323958396911621
SSR,0.5,0.002,0.002,2,462,"(-0.19201529357398872, -1.422221304516326, 0.14898743363612743, -0.19403282214516926, -0.23889659373753291, -0.5089955369883776)",6.364270448684692
SR3,0.5,0.002,0.002,2,462,"(-0.19201529357398872, -1.422221304516326, 0.14898743363612743, -0.19403282214516926, -0.23889659373753291, -0.5089955369883776)",9.16360592842102
MIOSR,0.5,0.002,0.002,2,462,"(-0.19201529357398872, -1.422221304516326, 0.14898743363612743, -0.19403282214516926, -0.23889659373753291, -0.5089955369883776)",182.54823970794678
MIOSR-Opt,0.5,0.002,0.002,2,462,"(-0.19201529357398872, -1.422221304516326, 0.14898743363612743, -0.19403282214516926, -0.23889659373753291, -0.5089955369883776)",182.12794184684753
MIOSR-Build,0.5,0.002,0.002,2,462,"(-0.19201529357398872, -1.422221304516326, 0.14898743363612743, -0.19403282214516926, -0.23889659373753291, -0.5089955369883776)",0.39315223693847656
Preprocessing,0.8277532798848107,0.002,0.002,2,462,"(-0.19201529357398872, -1.422221304516326, 0.14898743363612743, -0.19403282214516926, -0.23889659373753291, -0.5089955369883776)",0.007927179336547852
E-STLSQ,0.8277532798848107,0.002,0.002,2,462,"(-0.19201529357398872, -1.422221304516326, 0.14898743363612743, -0.19403282214516926, -0.23889659373753291, -0.5089955369883776)",5.32251763343811
STLSQ,0.8277532798848107,0.002,0.002,2,462,"(-0.19201529357398872, -1.422221304516326, 0.14898743363612743, -0.19403282214516926, -0.23889659373753291, -0.5089955369883776)",0.11428999900817871
