Method,Duration,Sample Rate,Noise,Seed,Dim,x0,runtime
Preprocessing,0.5,0.002,0.002,49,462,"(-0.5971066324322563, -0.7588145041145568, 1.2790054051775268, 1.1748103148332918, 0.5498302799249606, 0.2006539784990169)",0.016106128692626953
E-STLSQ,0.5,0.002,0.002,49,462,"(-0.5971066324322563, -0.7588145041145568, 1.2790054051775268, 1.1748103148332918, 0.5498302799249606, 0.2006539784990169)",6.311603784561157
STLSQ,0.5,0.002,0.002,49,462,"(-0.5971066324322563, -0.7588145041145568, 1.2790054051775268, 1.1748103148332918, 0.5498302799249606, 0.2006539784990169)",0.11772441864013672
SSR,0.5,0.002,0.002,49,462,"(-0.5971066324322563, -0.7588145041145568, 1.2790054051775268, 1.1748103148332918, 0.5498302799249606, 0.2006539784990169)",10.149483442306519
SR3,0.5,0.002,0.002,49,462,"(-0.5971066324322563, -0.7588145041145568, 1.2790054051775268, 1.1748103148332918, 0.5498302799249606, 0.2006539784990169)",14.964324712753296
MIOSR,0.5,0.002,0.002,49,462,"(-0.5971066324322563, -0.7588145041145568, 1.2790054051775268, 1.1748103148332918, 0.5498302799249606, 0.2006539784990169)",182.75031185150146
MIOSR-Opt,0.5,0.002,0.002,49,462,"(-0.5971066324322563, -0.7588145041145568, 1.2790054051775268, 1.1748103148332918, 0.5498302799249606, 0.2006539784990169)",182.15382862091064
MIOSR-Build,0.5,0.002,0.002,49,462,"(-0.5971066324322563, -0.7588145041145568, 1.2790054051775268, 1.1748103148332918, 0.5498302799249606, 0.2006539784990169)",0.555272102355957
Preprocessing,0.8277532798848107,0.002,0.002,49,462,"(-0.5971066324322563, -0.7588145041145568, 1.2790054051775268, 1.1748103148332918, 0.5498302799249606, 0.2006539784990169)",0.01807260513305664
E-STLSQ,0.8277532798848107,0.002,0.002,49,462,"(-0.5971066324322563, -0.7588145041145568, 1.2790054051775268, 1.1748103148332918, 0.5498302799249606, 0.2006539784990169)",13.179022550582886
STLSQ,0.8277532798848107,0.002,0.002,49,462,"(-0.5971066324322563, -0.7588145041145568, 1.2790054051775268, 1.1748103148332918, 0.5498302799249606, 0.2006539784990169)",0.21944832801818848
SSR,0.8277532798848107,0.002,0.002,49,462,"(-0.5971066324322563, -0.7588145041145568, 1.2790054051775268, 1.1748103148332918, 0.5498302799249606, 0.2006539784990169)",16.713950395584106
SR3,0.8277532798848107,0.002,0.002,49,462,"(-0.5971066324322563, -0.7588145041145568, 1.2790054051775268, 1.1748103148332918, 0.5498302799249606, 0.2006539784990169)",15.914637327194214
MIOSR,0.8277532798848107,0.002,0.002,49,462,"(-0.5971066324322563, -0.7588145041145568, 1.2790054051775268, 1.1748103148332918, 0.5498302799249606, 0.2006539784990169)",182.97118711471558
MIOSR-Opt,0.8277532798848107,0.002,0.002,49,462,"(-0.5971066324322563, -0.7588145041145568, 1.2790054051775268, 1.1748103148332918, 0.5498302799249606, 0.2006539784990169)",182.31595754623413
MIOSR-Build,0.8277532798848107,0.002,0.002,49,462,"(-0.5971066324322563, -0.7588145041145568, 1.2790054051775268, 1.1748103148332918, 0.5498302799249606, 0.2006539784990169)",0.5752232074737549
Preprocessing,1.3703509847201238,0.002,0.002,49,462,"(-0.5971066324322563, -0.7588145041145568, 1.2790054051775268, 1.1748103148332918, 0.5498302799249606, 0.2006539784990169)",0.022174358367919922
E-STLSQ,1.3703509847201238,0.002,0.002,49,462,"(-0.5971066324322563, -0.7588145041145568, 1.2790054051775268, 1.1748103148332918, 0.5498302799249606, 0.2006539784990169)",25.78030776977539
STLSQ,1.3703509847201238,0.002,0.002,49,462,"(-0.5971066324322563, -0.7588145041145568, 1.2790054051775268, 1.1748103148332918, 0.5498302799249606, 0.2006539784990169)",0.47828006744384766
SSR,1.3703509847201238,0.002,0.002,49,462,"(-0.5971066324322563, -0.7588145041145568, 1.2790054051775268, 1.1748103148332918, 0.5498302799249606, 0.2006539784990169)",26.812859773635864
SR3,1.3703509847201238,0.002,0.002,49,462,"(-0.5971066324322563, -0.7588145041145568, 1.2790054051775268, 1.1748103148332918, 0.5498302799249606, 0.2006539784990169)",19.6690092086792
MIOSR,1.3703509847201238,0.002,0.002,49,462,"(-0.5971066324322563, -0.7588145041145568, 1.2790054051775268, 1.1748103148332918, 0.5498302799249606, 0.2006539784990169)",182.31395745277405
MIOSR-Opt,1.3703509847201238,0.002,0.002,49,462,"(-0.5971066324322563, -0.7588145041145568, 1.2790054051775268, 1.1748103148332918, 0.5498302799249606, 0.2006539784990169)",181.57058477401733
