Method,Duration,Sample Rate,Noise,Seed,Dim,x0,runtime
Preprocessing,0.5,0.002,0.002,21,462,"(-1.3538253575726182, -0.6326710206305495, 0.6628990404936896, -1.4351512502521506, -0.8822317041976829, -1.3476802299138697)",0.42000651359558105
E-STLSQ,0.5,0.002,0.002,21,462,"(-1.3538253575726182, -0.6326710206305495, 0.6628990404936896, -1.4351512502521506, -0.8822317041976829, -1.3476802299138697)",7.898028373718262
STLSQ,0.5,0.002,0.002,21,462,"(-1.3538253575726182, -0.6326710206305495, 0.6628990404936896, -1.4351512502521506, -0.8822317041976829, -1.3476802299138697)",0.1691734790802002
SSR,0.5,0.002,0.002,21,462,"(-1.3538253575726182, -0.6326710206305495, 0.6628990404936896, -1.4351512502521506, -0.8822317041976829, -1.3476802299138697)",10.257574796676636
SR3,0.5,0.002,0.002,21,462,"(-1.3538253575726182, -0.6326710206305495, 0.6628990404936896, -1.4351512502521506, -0.8822317041976829, -1.3476802299138697)",15.900116205215454
MIOSR,0.5,0.002,0.002,21,462,"(-1.3538253575726182, -0.6326710206305495, 0.6628990404936896, -1.4351512502521506, -0.8822317041976829, -1.3476802299138697)",182.1342751979828
MIOSR-Opt,0.5,0.002,0.002,21,462,"(-1.3538253575726182, -0.6326710206305495, 0.6628990404936896, -1.4351512502521506, -0.8822317041976829, -1.3476802299138697)",181.52124786376953
MIOSR-Build,0.5,0.002,0.002,21,462,"(-1.3538253575726182, -0.6326710206305495, 0.6628990404936896, -1.4351512502521506, -0.8822317041976829, -1.3476802299138697)",0.5710654258728027
Preprocessing,0.8277532798848107,0.002,0.002,21,462,"(-1.3538253575726182, -0.6326710206305495, 0.6628990404936896, -1.4351512502521506, -0.8822317041976829, -1.3476802299138697)",0.01940774917602539
E-STLSQ,0.8277532798848107,0.002,0.002,21,462,"(-1.3538253575726182, -0.6326710206305495, 0.6628990404936896, -1.4351512502521506, -0.8822317041976829, -1.3476802299138697)",16.43861222267151
STLSQ,0.8277532798848107,0.002,0.002,21,462,"(-1.3538253575726182, -0.6326710206305495, 0.6628990404936896, -1.4351512502521506, -0.8822317041976829, -1.3476802299138697)",0.3474080562591553
SSR,0.8277532798848107,0.002,0.002,21,462,"(-1.3538253575726182, -0.6326710206305495, 0.6628990404936896, -1.4351512502521506, -0.8822317041976829, -1.3476802299138697)",18.87991237640381
SR3,0.8277532798848107,0.002,0.002,21,462,"(-1.3538253575726182, -0.6326710206305495, 0.6628990404936896, -1.4351512502521506, -0.8822317041976829, -1.3476802299138697)",21.4089093208313
MIOSR,0.8277532798848107,0.002,0.002,21,462,"(-1.3538253575726182, -0.6326710206305495, 0.6628990404936896, -1.4351512502521506, -0.8822317041976829, -1.3476802299138697)",182.5130650997162
MIOSR-Opt,0.8277532798848107,0.002,0.002,21,462,"(-1.3538253575726182, -0.6326710206305495, 0.6628990404936896, -1.4351512502521506, -0.8822317041976829, -1.3476802299138697)",181.83760714530945
MIOSR-Build,0.8277532798848107,0.002,0.002,21,462,"(-1.3538253575726182, -0.6326710206305495, 0.6628990404936896, -1.4351512502521506, -0.8822317041976829, -1.3476802299138697)",0.5922319889068604
Preprocessing,1.3703509847201238,0.002,0.002,21,462,"(-1.3538253575726182, -0.6326710206305495, 0.6628990404936896, -1.4351512502521506, -0.8822317041976829, -1.3476802299138697)",0.02291107177734375
E-STLSQ,1.3703509847201238,0.002,0.002,21,462,"(-1.3538253575726182, -0.6326710206305495, 0.6628990404936896, -1.4351512502521506, -0.8822317041976829, -1.3476802299138697)",29.934850931167603
STLSQ,1.3703509847201238,0.002,0.002,21,462,"(-1.3538253575726182, -0.6326710206305495, 0.6628990404936896, -1.4351512502521506, -0.8822317041976829, -1.3476802299138697)",0.6233687400817871
SSR,1.3703509847201238,0.002,0.002,21,462,"(-1.3538253575726182, -0.6326710206305495, 0.6628990404936896, -1.4351512502521506, -0.8822317041976829, -1.3476802299138697)",30.29642391204834
SR3,1.3703509847201238,0.002,0.002,21,462,"(-1.3538253575726182, -0.6326710206305495, 0.6628990404936896, -1.4351512502521506, -0.8822317041976829, -1.3476802299138697)",24.53539228439331
MIOSR,1.3703509847201238,0.002,0.002,21,462,"(-1.3538253575726182, -0.6326710206305495, 0.6628990404936896, -1.4351512502521506, -0.8822317041976829, -1.3476802299138697)",181.93442177772522
MIOSR-Opt,1.3703509847201238,0.002,0.002,21,462,"(-1.3538253575726182, -0.6326710206305495, 0.6628990404936896, -1.4351512502521506, -0.8822317041976829, -1.3476802299138697)",181.19353675842285
MIOSR-Build,1.3703509847201238,0.002,0.002,21,462,"(-1.3538253575726182, -0.6326710206305495, 0.6628990404936896, -1.4351512502521506, -0.8822317041976829, -1.3476802299138697)",0.6092886924743652
