Method,Duration,Sample Rate,Noise,Pts/Domain,# Domains,Seed,x0,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime,threshold,alpha,nu,group_sparsity
STLSQ,50,0.002,0.01,400,2400,12,"(0.15416284237967237, 0.7400496965154048)",0.9997663354879721,0.006958486708324859,0.00014860723417029295,0.0001864714620725553,0.0002626445522045273,1.0,4.0,0.0,0.0,7.003805875778198,5.383600770529422,0.0,,
SSR,50,0.002,0.01,400,2400,12,"(0.15416284237967237, 0.7400496965154048)",0.9997662892282172,0.006957786968704555,0.00017628013823802938,0.00019637564354053308,0.00026264455220950114,1.0,4,0,0,0.32987523078918457,,"(1e-05, 0.0)",,
SR3,50,0.002,0.01,400,2400,12,"(0.15416284237967237, 0.7400496965154048)",0.9854960614797446,0.0632631771073654,0.38165199163892505,0.4068976517202103,0.5021913267188192,0.4444444444444444,4.0,5.0,0.0,211.54579758644104,2.9719885782738964,,3.3333333333333335,
E-STLSQ,50,0.002,0.01,400,2400,12,"(0.15416284237967237, 0.7400496965154048)",0.9215938210995143,0.1536173832926046,1.2660182440442274,1.2276027318993146,1.5484195285436457,0.4,4.0,6.0,0.0,15.300540208816528,1.1040895136738123,0.0,,
MIOSR,50,0.002,0.01,400,2400,12,"(0.15416284237967237, 0.7400496965154048)",0.9997663354879721,0.006958486708324859,0.00014860723417029295,0.0001864714620725553,0.0002626445522045273,1.0,4,0,0,60.742316246032715,,"(0, 0)",,"(2, 2)"
STLSQ,50,0.002,0.014273992181725854,400,2400,12,"(0.15416284237967237, 0.7400496965154048)",0.9997664575516401,0.006962899047452116,0.00021282075603170345,0.0002612327130455293,0.0003663719266466359,1.0,4.0,0.0,0.0,6.9636945724487305,7.245789314111251,0.0,,
SSR,50,0.002,0.014273992181725854,400,2400,12,"(0.15416284237967237, 0.7400496965154048)",0.9997664095930503,0.006962313336436658,0.00024048516475696694,0.0002709121667029981,0.00036637192665285313,1.0,4,0,0,0.33072447776794434,,"(1e-05, 0.0)",,
SR3,50,0.002,0.014273992181725854,400,2400,12,"(0.15416284237967237, 0.7400496965154048)",0.9223224661358559,0.152332572343126,1.2020923652383524,1.2157570223618042,1.5628175513052975,0.3333333333333333,4.0,8.0,0.0,222.84992027282715,3.281341424030552,,3.3333333333333335,
E-STLSQ,50,0.002,0.014273992181725854,400,2400,12,"(0.15416284237967237, 0.7400496965154048)",0.9658875501181722,0.09701053210444635,0.5824221879041825,0.6248699600946839,0.771279707232803,0.5714285714285714,4.0,3.0,0.0,15.090842008590698,7.245789314111251,0.0,,
MIOSR,50,0.002,0.014273992181725854,400,2400,12,"(0.15416284237967237, 0.7400496965154048)",0.9997664575516401,0.006962899047452116,0.00021282075603170345,0.0002612327130455293,0.0003663719266466359,1.0,4,0,0,61.92243409156799,,"(0, 0)",,"(2, 2)"
STLSQ,50,0.002,0.02037468528039708,400,2400,12,"(0.15416284237967237, 0.7400496965154048)",0.9997665621138232,0.006971399445975764,0.0003052000340405343,0.0003632238576700596,0.0005055861486082946,1.0,4.0,0.0,0.0,6.966909646987915,7.245789314111251,1e-05,,
SSR,50,0.002,0.02037468528039708,400,2400,12,"(0.15416284237967237, 0.7400496965154048)",0.9997664428624462,0.006966273864336426,0.0002838676127252671,0.0002835049206074714,0.0003622735331651583,1.0,4,0,0,0.3308403491973877,,"(1e-05, 1e-05)",,
SR3,50,0.002,0.02037468528039708,400,2400,12,"(0.15416284237967237, 0.7400496965154048)",0.8508635311057404,0.18754678793994758,1.8930971001277974,1.3260697174665979,1.462307608654141,0.2222222222222222,4.0,14.0,0.0,192.00692558288574,1.1040895136738123,,0.03333333333333333,
E-STLSQ,50,0.002,0.02037468528039708,400,2400,12,"(0.15416284237967237, 0.7400496965154048)",0.9997664559717968,0.006966051239264914,0.00028275698232256384,0.00029654390812262964,0.0003904396988460235,1.0,4.0,0.0,0.0,14.685701131820679,7.245789314111251,1e-05,,
MIOSR,50,0.002,0.02037468528039708,400,2400,12,"(0.15416284237967237, 0.7400496965154048)",0.9997665621138232,0.006971399445975764,0.0003052000340405343,0.0003632238576700596,0.0005055861486082946,1.0,4,0,0,63.19055461883545,,"(0, 0)",,"(2, 2)"
STLSQ,50,0.002,0.029082809839751277,400,2400,12,"(0.15416284237967237, 0.7400496965154048)",0.99976657313142,0.006987299712704506,0.0004385217011014749,0.0005000366047024984,0.0006862695388198503,1.0,4.0,0.0,0.0,6.983412027359009,7.245789314111251,1e-05,,
SSR,50,0.002,0.029082809839751277,400,2400,12,"(0.15416284237967237, 0.7400496965154048)",0.999744786967454,0.0075777605949613165,0.0031363543864440487,0.004130452313961481,0.005841849425297774,1.0,4,0,0,0.33125901222229004,,"(0.001, 1e-05)",,
SR3,50,0.002,0.029082809839751277,400,2400,12,"(0.15416284237967237, 0.7400496965154048)",0.9191422607346997,0.15011507387599382,1.0394778299083363,1.0873363081416738,1.364173321891141,0.36363636363636365,4.0,7.0,0.0,185.17719411849976,3.6228946570556255,,3.3333333333333335,
E-STLSQ,50,0.002,0.029082809839751277,400,2400,12,"(0.15416284237967237, 0.7400496965154048)",0.9181082505873759,0.15023516732612277,0.9022583605205995,0.9683446862108499,1.1950568111626179,0.5714285714285714,4.0,3.0,0.0,14.550304889678955,5.383600770529422,1e-05,,
MIOSR,50,0.002,0.029082809839751277,400,2400,12,"(0.15416284237967237, 0.7400496965154048)",0.99976657313142,0.006987299712704506,0.0004385217011014749,0.0005000366047024984,0.0006862695388198503,1.0,4,0,0,64.59874200820923,,"(0, 0)",,"(2, 2)"
STLSQ,50,0.002,0.04151278002752295,400,2400,12,"(0.15416284237967237, 0.7400496965154048)",0.9997662861422626,0.007069172055630546,0.004970200101461701,0.005487218806542647,0.006832218584550733,0.8,4.0,1.0,0.0,6.975656986236572,8.0,0.001,,
SSR,50,0.002,0.04151278002752295,400,2400,12,"(0.15416284237967237, 0.7400496965154048)",0.9997436811473627,0.007620696738798327,0.003326758701269653,0.0042430952875359106,0.005974643060427632,1.0,4,0,0,0.33103203773498535,,"(0.001, 1e-05)",,
SR3,50,0.002,0.04151278002752295,400,2400,12,"(0.15416284237967237, 0.7400496965154048)",0.8917787728485473,0.17200091751212315,0.981112033040079,0.9748206768970726,1.1743814861423387,0.36363636363636365,4.0,7.0,0.0,197.09114050865173,4.0,,3.3333333333333335,
E-STLSQ,50,0.002,0.04151278002752295,400,2400,12,"(0.15416284237967237, 0.7400496965154048)",0.9997655233334534,0.007113215223459183,0.006044718532417332,0.006729823567446524,0.008370411967341012,0.8,4.0,1.0,0.0,13.52719497680664,8.0,0.001,,
