Method,Duration,Sample Rate,Noise,Pts/Domain,# Domains,Seed,x0,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime,threshold,alpha,nu,group_sparsity
STLSQ,50,0.002,0.01,400,2400,47,"(0.11348847189364952, 0.9744830944364566)",0.9999527170713316,0.0030923086343073915,0.0016802135245183327,0.0017199546181233206,0.0018691033117674393,0.8,4.0,1.0,0.0,7.588297128677368,8.832716109390496,0.001,,
SSR,50,0.002,0.01,400,2400,47,"(0.11348847189364952, 0.9744830944364566)",0.9999530977202511,0.0030669406822066048,0.0003520436376511154,0.00034984621899499766,0.0004051894364383912,1.0,4,0,0,0.36865806579589844,,"(1e-05, 1e-05)",,
SR3,50,0.002,0.01,400,2400,47,"(0.11348847189364952, 0.9744830944364566)",0.5874017005518599,0.145706804756331,1.8414830627707597,1.209730821459842,1.0,0.2,3.0,11.0,1.0,272.7613160610199,1.1040895136738123,,0.3333333333333333,
E-STLSQ,50,0.002,0.01,400,2400,47,"(0.11348847189364952, 0.9744830944364566)",0.9999527548728899,0.0030906063542428196,0.0016024787815797708,0.0016073331661455076,0.0017675595944172783,0.8,4.0,1.0,0.0,15.832457780838013,9.752109233635803,0.001,,
MIOSR,50,0.002,0.01,400,2400,47,"(0.11348847189364952, 0.9744830944364566)",0.9999528907508234,0.003076105598899236,0.00040290252455061037,0.0004262039992202865,0.0005527889931693508,1.0,4,0,0,51.32261252403259,,"(0, 0)",,"(2, 2)"
STLSQ,50,0.002,0.014273992181725854,400,2400,47,"(0.11348847189364952, 0.9744830944364566)",0.9999522963128722,0.0031112339403074583,0.002025078045510143,0.0020446308133820067,0.0022759671320089934,0.8,4.0,1.0,0.0,7.077958106994629,8.832716109390496,0.001,,
SSR,50,0.002,0.014273992181725854,400,2400,47,"(0.11348847189364952, 0.9744830944364566)",0.9999528002633058,0.0030820199502116746,0.0005191816637638907,0.0005225942444669865,0.0006288963451673623,1.0,4,0,0,0.3754396438598633,,"(1e-05, 1e-05)",,
SR3,50,0.002,0.014273992181725854,400,2400,47,"(0.11348847189364952, 0.9744830944364566)",0.5793304333575271,0.14823084447819773,1.8315899195695893,1.2021063437184785,1.0,0.23076923076923078,3.0,9.0,1.0,270.53358578681946,1.2190136542044754,,3.3333333333333335,
E-STLSQ,50,0.002,0.014273992181725854,400,2400,47,"(0.11348847189364952, 0.9744830944364566)",0.9999523321892232,0.003110363952771722,0.0019495158928986445,0.0019224267229180866,0.002161220836877575,0.8,4.0,1.0,0.0,15.29762053489685,9.752109233635803,0.001,,
MIOSR,50,0.002,0.014273992181725854,400,2400,47,"(0.11348847189364952, 0.9744830944364566)",0.9999525622392627,0.003092207860236797,0.0005700987735919606,0.0006009125677307756,0.0007765980842314946,1.0,4,0,0,50.43922805786133,,"(0, 0)",,"(2, 2)"
