Method,Duration,Sample Rate,Noise,Pts/Domain,# Domains,Seed,x0,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime,threshold,alpha,nu,group_sparsity
STLSQ,50,0.002,0.01,400,2400,33,"(0.24851012743772993, 0.44997542105079547)",0.9998265958118738,0.007410626295552519,0.00029940384042778537,0.00035293382483843816,0.0004882311703759967,1.0,4.0,0.0,0.0,5.145797252655029,2.9719885782738964,1e-05,,
SSR,50,0.002,0.01,400,2400,33,"(0.24851012743772993, 0.44997542105079547)",0.9998266711039161,0.007406653237654548,0.00026563467307714485,0.00034601769803032896,0.00048823117037350984,1.0,4,0,0,0.2289595603942871,,"(1e-05, 0.0)",,
SR3,50,0.002,0.01,400,2400,33,"(0.24851012743772993, 0.44997542105079547)",0.9998265958118738,0.007410626295552519,0.00029940384042778537,0.00035293382483843816,0.0004882311703759967,1.0,4.0,0.0,0.0,138.81051206588745,9.752109233635803,,3.3333333333333335,
E-STLSQ,50,0.002,0.01,400,2400,33,"(0.24851012743772993, 0.44997542105079547)",0.9998266360602548,0.007408347138679015,0.0002733303383377048,0.00033979991391013334,0.00047655411608484857,1.0,4.0,0.0,0.0,9.234043836593628,2.9719885782738964,1e-05,,
MIOSR,50,0.002,0.01,400,2400,33,"(0.24851012743772993, 0.44997542105079547)",0.9998265958118738,0.007410626295552519,0.00029940384042778537,0.00035293382483843816,0.0004882311703759967,1.0,4,0,0,60.794289112091064,,"(0, 0)",,"(2, 2)"
STLSQ,50,0.002,0.014273992181725854,400,2400,33,"(0.24851012743772993, 0.44997542105079547)",0.9998266463233296,0.0074109191567537066,0.0004311965870048031,0.0005097631221437126,0.000705891738674147,1.0,4.0,0.0,0.0,5.125849723815918,4.416358054695248,1e-05,,
SSR,50,0.002,0.014273992181725854,400,2400,33,"(0.24851012743772993, 0.44997542105079547)",0.9998267248842959,0.007406767417225517,0.00039742015671046687,0.0005020566971560849,0.0007058917386748575,1.0,4,0,0,0.22627568244934082,,"(1e-05, 0.0)",,
SR3,50,0.002,0.014273992181725854,400,2400,33,"(0.24851012743772993, 0.44997542105079547)",0.9998266463233296,0.0074109191567537066,0.0004311965870048031,0.0005097631221437126,0.000705891738674147,1.0,4.0,0.0,0.0,141.78070259094238,9.752109233635803,,3.3333333333333335,
E-STLSQ,50,0.002,0.014273992181725854,400,2400,33,"(0.24851012743772993, 0.44997542105079547)",0.9998266499337584,0.0074104033766080645,0.00042139388254780957,0.0005068875112630674,0.0007053953685240089,1.0,4.0,0.0,0.0,9.227698802947998,4.8760546168179015,1e-05,,
MIOSR,50,0.002,0.014273992181725854,400,2400,33,"(0.24851012743772993, 0.44997542105079547)",0.9998266463233296,0.0074109191567537066,0.0004311965870048031,0.0005097631221437126,0.000705891738674147,1.0,4,0,0,58.706833362579346,,"(0, 0)",,"(2, 2)"
STLSQ,50,0.002,0.02037468528039708,400,2400,33,"(0.24851012743772993, 0.44997542105079547)",0.9998266289676627,0.007414870832911288,0.00062328991233305,0.0007398747159859973,0.001025924818074131,1.0,4.0,0.0,0.0,5.11881160736084,5.383600770529422,1e-05,,
SSR,50,0.002,0.02037468528039708,400,2400,33,"(0.24851012743772993, 0.44997542105079547)",0.999826736290632,0.007410954875335156,0.0006773318045335203,0.0008496164635266139,0.0011923862710553125,1.0,4,0,0,0.22827696800231934,,"(1e-05, 1e-05)",,
SR3,50,0.002,0.02037468528039708,400,2400,33,"(0.24851012743772993, 0.44997542105079547)",0.9998266289676627,0.007414870832911288,0.00062328991233305,0.0007398747159859973,0.001025924818074131,1.0,4.0,0.0,0.0,153.39857983589172,11.887954313095586,,1.0,
E-STLSQ,50,0.002,0.02037468528039708,400,2400,33,"(0.24851012743772993, 0.44997542105079547)",0.9998266663110738,0.007413021658063873,0.0006149589064013923,0.0007423049942750401,0.0010340928532386329,1.0,4.0,0.0,0.0,9.268038272857666,5.383600770529422,1e-05,,
MIOSR,50,0.002,0.02037468528039708,400,2400,33,"(0.24851012743772993, 0.44997542105079547)",0.9998266289676627,0.007414870832911288,0.00062328991233305,0.0007398747159859973,0.001025924818074131,1.0,4,0,0,59.45613408088684,,"(0, 0)",,"(2, 2)"
STLSQ,50,0.002,0.029082809839751277,400,2400,33,"(0.24851012743772993, 0.44997542105079547)",0.9998264035758003,0.007427204447390474,0.0009055817450662172,0.0010811608257154457,0.001501818002209987,1.0,4.0,0.0,0.0,5.102891445159912,6.5626828480611,1e-05,,
SSR,50,0.002,0.029082809839751277,400,2400,33,"(0.24851012743772993, 0.44997542105079547)",0.9998109857234254,0.00794011595758059,0.004050261781588617,0.004823217099688624,0.006657189862225366,1.0,4,0,0,0.23221611976623535,,"(0.001, 1e-05)",,
SR3,50,0.002,0.029082809839751277,400,2400,33,"(0.24851012743772993, 0.44997542105079547)",0.9998264035758003,0.007427204447390474,0.0009055817450662172,0.0010811608257154457,0.001501818002209987,1.0,4.0,0.0,0.0,124.5715754032135,13.1253656961222,,1.0,
E-STLSQ,50,0.002,0.029082809839751277,400,2400,33,"(0.24851012743772993, 0.44997542105079547)",0.9998263130538334,0.007431544373071396,0.001048195633559966,0.001281735201038795,0.0017899467514855161,1.0,4.0,0.0,0.0,9.29516077041626,6.5626828480611,1e-05,,
MIOSR,50,0.002,0.029082809839751277,400,2400,33,"(0.24851012743772993, 0.44997542105079547)",0.9998264035758003,0.007427204447390474,0.0009055817450662172,0.0010811608257154457,0.001501818002209987,1.0,4,0,0,61.44861674308777,,"(0, 0)",,"(2, 2)"
STLSQ,50,0.002,0.04151278002752295,400,2400,33,"(0.24851012743772993, 0.44997542105079547)",0.9998256168627062,0.007457862435398986,0.0013250415004993862,0.001594687366562854,0.0022201128821595973,1.0,4.0,0.0,0.0,5.095987796783447,8.0,1e-05,,
SSR,50,0.002,0.04151278002752295,400,2400,33,"(0.24851012743772993, 0.44997542105079547)",0.9998108729042354,0.007930741075629303,0.004359396061455668,0.0049048793188972714,0.0065567671142812145,1.0,4,0,0,0.23062992095947266,,"(0.001, 1e-05)",,
SR3,50,0.002,0.04151278002752295,400,2400,33,"(0.24851012743772993, 0.44997542105079547)",0.9998256168627062,0.007457862435398986,0.0013250415004993862,0.001594687366562854,0.0022201128821595973,1.0,4.0,0.0,0.0,116.07786250114441,14.491578628222502,,1.0,
E-STLSQ,50,0.002,0.04151278002752295,400,2400,33,"(0.24851012743772993, 0.44997542105079547)",0.9998256413276223,0.007457624345132799,0.0013362263141242852,0.0016001377756030368,0.002223553997880856,1.0,4.0,0.0,0.0,9.175451278686523,8.0,1e-05,,
MIOSR,50,0.002,0.04151278002752295,400,2400,33,"(0.24851012743772993, 0.44997542105079547)",0.9998256168627062,0.007457862435398986,0.0013250415004993862,0.001594687366562854,0.0022201128821595973,1.0,4,0,0,64.16154670715332,,"(0, 0)",,"(2, 2)"
