Method,Duration,Sample Rate,Noise,Pts/Domain,# Domains,Seed,x0,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime,threshold,alpha,nu,group_sparsity
STLSQ,50,0.002,0.01,400,2400,25,"(0.8701241366272119, 0.5822769286725598)",0.9996289413797298,0.007205640899744152,0.00011018013590539641,0.0001247747786444253,0.0001723592200891133,1.0,4.0,0.0,0.0,5.549813985824585,8.0,0.0,,
SSR,50,0.002,0.01,400,2400,25,"(0.8701241366272119, 0.5822769286725598)",0.9996288609597477,0.007205475448111913,0.00013629971911989562,0.0001365761360592989,0.00017235922008680405,1.0,4,0,0,0.25006556510925293,,"(1e-05, 0.0)",,
SR3,50,0.002,0.01,400,2400,25,"(0.8701241366272119, 0.5822769286725598)",0.9996229599182286,0.007331708240593873,0.004256292518060416,0.004256593800166077,0.004483096739077108,0.6666666666666666,4.0,2.0,0.0,246.22415137290955,8.0,,0.3333333333333333,
E-STLSQ,50,0.002,0.01,400,2400,25,"(0.8701241366272119, 0.5822769286725598)",0.9996289520961457,0.007206181656487902,0.0001221261649640064,0.00013509050502534127,0.00018490469661287535,1.0,4.0,0.0,0.0,11.389883756637573,8.832716109390496,0.0,,
MIOSR,50,0.002,0.01,400,2400,25,"(0.8701241366272119, 0.5822769286725598)",0.9996289413797298,0.007205640899744152,0.00011018013590539641,0.0001247747786444253,0.0001723592200891133,1.0,4,0,0,64.19571495056152,,"(0, 0)",,"(2, 2)"
STLSQ,50,0.002,0.014273992181725854,400,2400,25,"(0.8701241366272119, 0.5822769286725598)",0.9996290534731299,0.007210009441558661,0.00015399392663825606,0.00016834917992602445,0.00022993127873469633,1.0,4.0,0.0,0.0,5.395437240600586,5.943977156547793,0.0,,
SSR,50,0.002,0.014273992181725854,400,2400,25,"(0.8701241366272119, 0.5822769286725598)",0.9996287511819638,0.007207507287913228,0.00012876150293021337,0.00010767019216902549,9.982149558851461e-05,1.0,4,0,0,0.24524712562561035,,"(1e-05, 1e-05)",,
SR3,50,0.002,0.014273992181725854,400,2400,25,"(0.8701241366272119, 0.5822769286725598)",0.9995932852704887,0.007809259303446748,0.00942149717642609,0.00939093890980625,0.009880738598028915,0.6666666666666666,4.0,2.0,0.0,227.44972014427185,8.0,,3.3333333333333335,
E-STLSQ,50,0.002,0.014273992181725854,400,2400,25,"(0.8701241366272119, 0.5822769286725598)",0.9996289921798948,0.007210023196109786,0.00016309351457186402,0.00016339341099644243,0.0002129244950648257,1.0,4.0,0.0,0.0,11.256940841674805,7.245789314111251,0.0,,
MIOSR,50,0.002,0.014273992181725854,400,2400,25,"(0.8701241366272119, 0.5822769286725598)",0.9996290534731299,0.007210009441558661,0.00015399392663825606,0.00016834917992602445,0.00022993127873469633,1.0,4,0,0,64.0717236995697,,"(0, 0)",,"(2, 2)"
STLSQ,50,0.002,0.02037468528039708,400,2400,25,"(0.8701241366272119, 0.5822769286725598)",0.9996291312315734,0.007218486416626406,0.00021311264517344446,0.00022116168148198368,0.00029535066499644105,1.0,4.0,0.0,0.0,5.365660905838013,4.8760546168179015,0.0,,
SSR,50,0.002,0.02037468528039708,400,2400,25,"(0.8701241366272119, 0.5822769286725598)",0.9996288297241902,0.007216170592434568,0.0001878796512535337,0.00015823268693682834,0.00014531980425172008,1.0,4,0,0,0.24074816703796387,,"(1e-05, 1e-05)",,
SR3,50,0.002,0.02037468528039708,400,2400,25,"(0.8701241366272119, 0.5822769286725598)",0.9907557431920146,0.04500599531203454,0.1255577482695749,0.09115406446899012,0.09817429298282096,0.4,4.0,6.0,0.0,212.6476390361786,8.832716109390496,,1.0,
