Method,Duration,Sample Rate,Noise,Pts/Domain,# Domains,Seed,x0,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime,threshold,alpha,nu,group_sparsity
STLSQ,50,0.002,0.01,400,2400,2,"(0.43599490214200376, 0.025926231827891333)",0.9997404728327194,0.005270366707774206,0.00019823992258289998,0.00021337165834249536,0.00028253006571787864,1.0,4.0,0.0,0.0,5.271016597747803,3.281341424030552,1e-05,,
SSR,50,0.002,0.01,400,2400,2,"(0.43599490214200376, 0.025926231827891333)",0.9997400910561917,0.0052701344888913095,0.0003358425362407636,0.0003312930036289819,0.0003622685809025583,1.0,4,0,0,0.23801422119140625,,"(1e-05, 1e-05)",,
SR3,50,0.002,0.01,400,2400,2,"(0.43599490214200376, 0.025926231827891333)",0.9997404728327194,0.005270366707774206,0.00019823992258289998,0.00021337165834249536,0.00028253006571787864,1.0,4.0,0.0,0.0,132.3701560497284,14.491578628222502,,0.3333333333333333,
E-STLSQ,50,0.002,0.01,400,2400,2,"(0.43599490214200376, 0.025926231827891333)",0.9997404250463721,0.0052706041094057075,0.00021655297080535186,0.00023495369391237725,0.00031275746319519014,1.0,4.0,0.0,0.0,9.393712520599365,3.281341424030552,1e-05,,
MIOSR,50,0.002,0.01,400,2400,2,"(0.43599490214200376, 0.025926231827891333)",0.9997404728327194,0.005270366707774206,0.00019823992258289998,0.00021337165834249536,0.00028253006571787864,1.0,4,0,0,62.888123512268066,,"(0, 0)",,"(2, 2)"
STLSQ,50,0.002,0.014273992181725854,400,2400,2,"(0.43599490214200376, 0.025926231827891333)",0.999740238221635,0.005271747487060463,0.0002900924052452651,0.00031129319635884924,0.00041078424511944436,1.0,4.0,0.0,0.0,5.13238525390625,3.281341424030552,1e-05,,
SSR,50,0.002,0.014273992181725854,400,2400,2,"(0.43599490214200376, 0.025926231827891333)",0.9997398346541317,0.005272907734178793,0.00042767482307935214,0.00042597723098609957,0.00049049232784526,1.0,4,0,0,0.22956299781799316,,"(1e-05, 1e-05)",,
SR3,50,0.002,0.014273992181725854,400,2400,2,"(0.43599490214200376, 0.025926231827891333)",0.999740238221635,0.005271747487060463,0.0002900924052452651,0.00031129319635884924,0.00041078424511944436,1.0,4.0,0.0,0.0,170.70191407203674,11.887954313095586,,1.0,
E-STLSQ,50,0.002,0.014273992181725854,400,2400,2,"(0.43599490214200376, 0.025926231827891333)",0.9997401937514512,0.005272133814956623,0.0003064446349762575,0.0003288292678212216,0.0004337279001827454,1.0,4.0,0.0,0.0,9.278921365737915,3.281341424030552,1e-05,,
MIOSR,50,0.002,0.014273992181725854,400,2400,2,"(0.43599490214200376, 0.025926231827891333)",0.999740238221635,0.005271747487060463,0.0002900924052452651,0.00031129319635884924,0.00041078424511944436,1.0,4,0,0,63.47702884674072,,"(0, 0)",,"(2, 2)"
STLSQ,50,0.002,0.02037468528039708,400,2400,2,"(0.43599490214200376, 0.025926231827891333)",0.9997398413770082,0.005276444566528613,0.0004285831050333919,0.0004580945368906318,0.0006016206341982411,1.0,4.0,0.0,0.0,5.1228296756744385,3.6228946570556255,1e-05,,
SSR,50,0.002,0.02037468528039708,400,2400,2,"(0.43599490214200376, 0.025926231827891333)",0.9997394047662109,0.005279586547817714,0.0005661350538534425,0.0005704523030370867,0.0006812842165832223,1.0,4,0,0,0.23056960105895996,,"(1e-05, 1e-05)",,
SR3,50,0.002,0.02037468528039708,400,2400,2,"(0.43599490214200376, 0.025926231827891333)",0.9997398413770082,0.005276444566528613,0.0004285831050333919,0.0004580945368906318,0.0006016206341982411,1.0,4.0,0.0,0.0,106.53414964675903,11.887954313095586,,1.0,
E-STLSQ,50,0.002,0.02037468528039708,400,2400,2,"(0.43599490214200376, 0.025926231827891333)",0.9997397960293833,0.005277314784215804,0.00043908125453996215,0.0004750096677327151,0.0006290178373578925,1.0,4.0,0.0,0.0,9.435407638549805,4.8760546168179015,1e-05,,
MIOSR,50,0.002,0.02037468528039708,400,2400,2,"(0.43599490214200376, 0.025926231827891333)",0.9997398413770082,0.005276444566528613,0.0004285831050333919,0.0004580945368906318,0.0006016206341982411,1.0,4,0,0,64.72736883163452,,"(0, 0)",,"(2, 2)"
STLSQ,50,0.002,0.029082809839751277,400,2400,2,"(0.43599490214200376, 0.025926231827891333)",0.9997391357258213,0.005289120449248461,0.0006412842829827367,0.00068203930138199,0.0008898162082804362,1.0,4.0,0.0,0.0,5.152990102767944,4.8760546168179015,1e-05,,
SSR,50,0.002,0.029082809839751277,400,2400,2,"(0.43599490214200376, 0.025926231827891333)",0.9997386480080153,0.005295138699115027,0.0007787894000349467,0.0007931417058753543,0.0009694141157551073,1.0,4,0,0,0.23136568069458008,,"(1e-05, 1e-05)",,
SR3,50,0.002,0.029082809839751277,400,2400,2,"(0.43599490214200376, 0.025926231827891333)",0.9997391357258213,0.005289120449248461,0.0006412842829827367,0.00068203930138199,0.0008898162082804362,1.0,4.0,0.0,0.0,155.3485186100006,14.491578628222502,,3.3333333333333335,
E-STLSQ,50,0.002,0.029082809839751277,400,2400,2,"(0.43599490214200376, 0.025926231827891333)",0.9997389455897405,0.0052918907197209465,0.000695680943192288,0.0007282006462644004,0.000931309185030571,1.0,4.0,0.0,0.0,9.38127851486206,5.943977156547793,1e-05,,
MIOSR,50,0.002,0.029082809839751277,400,2400,2,"(0.43599490214200376, 0.025926231827891333)",0.9997391357258213,0.005289120449248461,0.0006412842829827367,0.00068203930138199,0.0008898162082804362,1.0,4,0,0,63.18513751029968,,"(0, 0)",,"(2, 2)"
