Method,Duration,Sample Rate,Noise,Seed,Dim,x0,runtime
Preprocessing,0.5,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.0045392513275146484
E-STLSQ,0.5,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.30837368965148926
STLSQ,0.5,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.007524013519287109
SSR,0.5,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.03720450401306152
SR3,0.5,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.0026199817657470703
MIOSR,0.5,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",2.244189739227295
MIOSR-Opt,0.5,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",2.1966001987457275
MIOSR-Build,0.5,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.044313907623291016
Preprocessing,0.8277532798848107,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.0031697750091552734
E-STLSQ,0.8277532798848107,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.6788756847381592
STLSQ,0.8277532798848107,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.010749578475952148
SSR,0.8277532798848107,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.03775525093078613
SR3,0.8277532798848107,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",2.0860226154327393
MIOSR,0.8277532798848107,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",2.418614387512207
MIOSR-Opt,0.8277532798848107,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",2.3810243606567383
MIOSR-Build,0.8277532798848107,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.03348565101623535
Preprocessing,1.3703509847201238,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.003678560256958008
E-STLSQ,1.3703509847201238,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.5414924621582031
STLSQ,1.3703509847201238,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.013704538345336914
SSR,1.3703509847201238,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.044162750244140625
SR3,1.3703509847201238,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.3835313320159912
MIOSR,1.3703509847201238,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",1.383516550064087
MIOSR-Opt,1.3703509847201238,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",1.3489048480987549
MIOSR-Build,1.3703509847201238,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.03049945831298828
Preprocessing,2.268625044390925,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.004080057144165039
E-STLSQ,2.268625044390925,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.5638983249664307
STLSQ,2.268625044390925,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.011171579360961914
SSR,2.268625044390925,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.04629254341125488
SR3,2.268625044390925,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.04576373100280762
MIOSR,2.268625044390925,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",1.126558780670166
MIOSR-Opt,2.268625044390925,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",1.090407371520996
MIOSR-Build,2.268625044390925,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.03181266784667969
Preprocessing,3.7557236426468257,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.0051882266998291016
E-STLSQ,3.7557236426468257,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.5831425189971924
STLSQ,3.7557236426468257,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.012537479400634766
SSR,3.7557236426468257,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.05193376541137695
SR3,3.7557236426468257,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.022807836532592773
MIOSR,3.7557236426468257,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.6744515895843506
MIOSR-Opt,3.7557236426468257,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.6418063640594482
MIOSR-Build,3.7557236426468257,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.02850961685180664
Preprocessing,6.217625127083679,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.006614208221435547
E-STLSQ,6.217625127083679,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.7739143371582031
STLSQ,6.217625127083679,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.012452840805053711
SSR,6.217625127083679,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.06436753273010254
SR3,6.217625127083679,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.022091150283813477
MIOSR,6.217625127083679,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.7188529968261719
MIOSR-Opt,6.217625127083679,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.6821386814117432
MIOSR-Build,6.217625127083679,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.030951499938964844
Preprocessing,10.293319184075452,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.008922815322875977
E-STLSQ,10.293319184075452,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.967796802520752
STLSQ,10.293319184075452,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.01894664764404297
SSR,10.293319184075452,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.08041501045227051
SR3,10.293319184075452,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.0153045654296875
MIOSR,10.293319184075452,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.4594085216522217
MIOSR-Opt,10.293319184075452,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.42104268074035645
MIOSR-Build,10.293319184075452,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.030824899673461914
Preprocessing,17.040657431039403,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",0.011212587356567383
E-STLSQ,17.040657431039403,0.002,0.002,35,20,"(-0.4194505177590946, -1.9165039303508835, 16.944611351066868)",1.5843324661254883
