Method,Duration,Sample Rate,Noise,Pts/Domain,# Domains,Seed,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime
MIOSR,5,0.02,0.025,36,400,15,0.006202659615461431,0.00805989770408638,0.014763725112696191,1.0,14.0,0.0,0.0,15.547101974487305
STLSQ,5,0.02,0.025,36,400,15,0.4207644260287829,0.5359989813354109,0.8016051436798135,0.75,12.0,2.0,2.0,1.225233554840088
SSR,5,0.02,0.025,36,400,15,0.006202659615277747,0.008059897703852549,0.01476372511234847,1.0,14.0,0.0,0.0,0.904022216796875
SR3,5,0.02,0.025,36,400,15,0.048653726252872044,0.07513606122019312,0.1724775603179134,0.8666666666666667,13.0,1.0,1.0,165.08396196365356
E-STLSQ,5,0.02,0.025,36,400,15,0.5448010118341967,0.5638834664317972,0.8016051436798135,0.6875,11.0,2.0,3.0,0.5850825309753418
MIOSR,5,0.02,0.05,36,400,15,0.011687807856930294,0.014490910188734387,0.02810216242509056,1.0,14.0,0.0,0.0,16.74889349937439
STLSQ,5,0.02,0.05,36,400,15,0.011687807856930294,0.014490910188734387,0.02810216242509056,1.0,14.0,0.0,0.0,1.3218605518341064
SSR,5,0.02,0.05,36,400,15,0.47962788949524043,0.6746792495320935,1.0864531503015629,0.75,12.0,2.0,2.0,0.9901313781738281
SR3,5,0.02,0.05,36,400,15,0.04619152588428358,0.07224505995372998,0.1736959524104409,0.8666666666666667,13.0,1.0,1.0,167.56848859786987
E-STLSQ,5,0.02,0.05,36,400,15,0.0591509574764257,0.0709386576499525,0.11330920345267105,0.8666666666666667,13.0,1.0,1.0,0.6525917053222656
MIOSR,5,0.02,0.075,36,400,15,0.016449511038849483,0.019830759576487195,0.04010760774417377,1.0,14.0,0.0,0.0,30.989326000213623
STLSQ,5,0.02,0.075,36,400,15,0.265800626709372,0.30337001558627863,0.42537602238880445,0.7222222222222222,13.0,4.0,1.0,1.301980972290039
SSR,5,0.02,0.075,36,400,15,0.1910038517240615,0.24736775201917685,0.4326600961342899,0.7647058823529411,13.0,3.0,1.0,0.8969147205352783
SR3,5,0.02,0.075,36,400,15,0.4272437352673299,0.5456256580430446,0.8887065258074289,0.7142857142857143,10.0,0.0,4.0,162.4813358783722
E-STLSQ,5,0.02,0.075,36,400,15,0.19158236326725478,0.24017594300860523,0.41735671005238983,0.75,12.0,2.0,2.0,0.670586109161377
MIOSR,5,0.02,0.1,36,400,15,0.020614386046409243,0.0247828332259765,0.05079739782421555,1.0,14.0,0.0,0.0,15.407585859298706
STLSQ,5,0.02,0.1,36,400,15,0.03383092488409765,0.04839457845535304,0.09346758288341706,0.9333333333333333,14.0,1.0,0.0,1.2988297939300537
SSR,5,0.02,0.1,36,400,15,0.020614386046718673,0.024782833226406224,0.050797397825067536,1.0,14.0,0.0,0.0,0.8796689510345459
SR3,5,0.02,0.1,36,400,15,0.42762463106691134,0.5441843792128418,0.8830018151221304,0.7142857142857143,10.0,0.0,4.0,159.69426250457764
E-STLSQ,5,0.02,0.1,36,400,15,0.31283958511364596,0.37149752747566467,0.7293400514662846,0.6470588235294118,11.0,3.0,3.0,0.7124595642089844
MIOSR,5,0.02,0.125,36,400,15,0.026068796865835325,0.030180819294845056,0.06017553148599286,1.0,14.0,0.0,0.0,40.5085186958313
STLSQ,5,0.02,0.125,36,400,15,0.13046544115394154,0.14349838038016252,0.2669288679458792,0.6666666666666666,14.0,7.0,0.0,1.3897302150726318
SSR,5,0.02,0.125,36,400,15,0.04685988880417931,0.0665898168453177,0.12987442690424056,0.875,14.0,2.0,0.0,0.9701576232910156
SR3,5,0.02,0.125,36,400,15,0.6724809500024287,0.722059881054519,1.024084663341513,0.6666666666666666,10.0,1.0,4.0,155.53736329078674
E-STLSQ,5,0.02,0.125,36,400,15,0.12733060522783626,0.14759292525448325,0.2758056303253824,0.75,12.0,2.0,2.0,0.7606961727142334
MIOSR,5,0.02,0.15,36,400,15,0.032638862565080494,0.03682582521686131,0.06823198667424468,1.0,14.0,0.0,0.0,55.30626630783081
STLSQ,5,0.02,0.15,36,400,15,0.9604568017003638,0.8684848398892852,1.4936183566084977,0.48148148148148145,13.0,13.0,1.0,1.3033735752105713
SSR,5,0.02,0.15,36,400,15,0.06408365189031208,0.08782353736476092,0.17107526812538043,0.875,14.0,2.0,0.0,0.9474999904632568
SR3,5,0.02,0.15,36,400,15,0.5800615480048431,0.5995485713067462,0.7733970852960522,0.6875,11.0,2.0,3.0,156.53437542915344
E-STLSQ,5,0.02,0.15,36,400,15,0.3255337693084431,0.35637522457313187,0.5270601624242033,0.75,12.0,2.0,2.0,0.6858818531036377
MIOSR,5,0.02,0.175,36,400,15,0.03955052184990979,0.0453034856562677,0.07494261482091646,1.0,14.0,0.0,0.0,209.52739667892456
STLSQ,5,0.02,0.175,36,400,15,0.6071530637275093,0.5044453694858022,0.8146406762937526,0.4375,14.0,18.0,0.0,1.258819341659546
SSR,5,0.02,0.175,36,400,15,0.08443940134421764,0.11208970841027209,0.21674086933353842,0.875,14.0,2.0,0.0,0.8301563262939453
SR3,5,0.02,0.175,36,400,15,0.6910238073479185,0.7406188430345435,1.0740867142172315,0.6666666666666666,10.0,1.0,4.0,154.16811347007751
E-STLSQ,5,0.02,0.175,36,400,15,0.47291965373241274,0.5816563050061878,1.0,0.5555555555555556,10.0,4.0,4.0,0.8244690895080566
MIOSR,5,0.02,0.19999999999999998,36,400,15,0.04844097162363516,0.05591115700226994,0.08026964573683437,1.0,14.0,0.0,0.0,363.2523910999298
STLSQ,5,0.02,0.19999999999999998,36,400,15,0.6918112509495132,0.566400746212214,0.7028946990400877,0.46153846153846156,12.0,12.0,2.0,1.2302489280700684
SSR,5,0.02,0.19999999999999998,36,400,15,0.1071850320822247,0.13927179188503608,0.2664773535360899,0.875,14.0,2.0,0.0,0.8186507225036621
SR3,5,0.02,0.19999999999999998,36,400,15,0.6780465754040004,0.7164964066384071,1.0,0.5333333333333333,8.0,1.0,6.0,154.39616990089417
E-STLSQ,5,0.02,0.19999999999999998,36,400,15,0.7294515579077105,0.651421512115348,1.0,0.5555555555555556,10.0,4.0,4.0,0.6853387355804443
MIOSR,5,0.02,0.22499999999999998,36,400,15,0.05940937054741919,0.06871324874961642,0.09317530187590595,1.0,14.0,0.0,0.0,425.33987832069397
STLSQ,5,0.02,0.22499999999999998,36,400,15,0.7521162117496005,0.7352062186948627,1.0,0.47368421052631576,9.0,5.0,5.0,1.3077893257141113
SSR,5,0.02,0.22499999999999998,36,400,15,0.785046570964922,0.7547776597300283,1.0,0.4444444444444444,8.0,4.0,6.0,0.8293421268463135
SR3,5,0.02,0.22499999999999998,36,400,15,0.9479335018097187,0.8760099952028032,1.0,0.5,8.0,2.0,6.0,155.1019642353058
E-STLSQ,5,0.02,0.22499999999999998,36,400,15,0.8558841271917913,0.8110372478111219,1.0,0.3888888888888889,7.0,4.0,7.0,0.6828756332397461
MIOSR,5,0.02,0.24999999999999997,36,400,15,0.0742258005543307,0.08363859666632154,0.11259749257968132,1.0,14.0,0.0,0.0,600.4487736225128
STLSQ,5,0.02,0.24999999999999997,36,400,15,0.7995003377140387,0.7463213369929033,1.0,0.4090909090909091,9.0,8.0,5.0,1.3405873775482178
SSR,5,0.02,0.24999999999999997,36,400,15,0.6682640886404905,0.7640584722126876,1.0,0.4,8.0,6.0,6.0,0.8439934253692627
SR3,5,0.02,0.24999999999999997,36,400,15,0.9520340357251189,0.8797567106221704,1.0,0.5,8.0,2.0,6.0,158.15546655654907
E-STLSQ,5,0.02,0.24999999999999997,36,400,15,0.8777029053444755,0.8245383569333423,1.0,0.2857142857142857,6.0,7.0,8.0,0.6697242259979248
MIOSR,5,0.02,0.27499999999999997,36,400,15,0.09044232862500264,0.10055453214780012,0.13316890820156246,1.0,14.0,0.0,0.0,600.4675462245941
STLSQ,5,0.02,0.27499999999999997,36,400,15,0.8198664947852393,0.7597932469247919,1.0,0.4090909090909091,9.0,8.0,5.0,1.334428071975708
SSR,5,0.02,0.27499999999999997,36,400,15,0.950966849274285,0.8458420975789123,1.0,0.3333333333333333,9.0,13.0,5.0,0.8541615009307861
SR3,5,0.02,0.27499999999999997,36,400,15,1.0481013268695072,0.9015215501386926,1.0,0.34782608695652173,8.0,9.0,6.0,157.6356439590454
E-STLSQ,5,0.02,0.27499999999999997,36,400,15,0.9003234352402956,0.835681233802042,1.0,0.2857142857142857,6.0,7.0,8.0,0.7413609027862549
MIOSR,5,0.02,0.3,36,400,15,0.10767724635501778,0.1193070963720917,0.1546924724750942,1.0,14.0,0.0,0.0,600.5022392272949
STLSQ,5,0.02,0.3,36,400,15,0.8403123047131249,0.7745724159511687,1.0,0.4090909090909091,9.0,8.0,5.0,1.3066954612731934
SSR,5,0.02,0.3,36,400,15,0.936806262053909,0.8432424515054715,1.0,0.3333333333333333,8.0,10.0,6.0,0.8353092670440674
SR3,5,0.02,0.3,36,400,15,1.3399399910287713,0.9956556570053033,1.0,0.26666666666666666,8.0,16.0,6.0,158.66957831382751
E-STLSQ,5,0.02,0.3,36,400,15,0.9884558455681988,0.8991240073278449,1.0,0.3,6.0,6.0,8.0,0.7429895401000977
