Method,Duration,Sample Rate,Noise,Pts/Domain,# Domains,Seed,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime
MIOSR,5,0.02,0.025,36,400,35,0.0024037635138381246,0.002682518756684294,0.0047733822814715055,1.0,14.0,0.0,0.0,44.16406464576721
STLSQ,5,0.02,0.025,36,400,35,0.0024037635138381246,0.002682518756684294,0.0047733822814715055,1.0,14.0,0.0,0.0,1.361659049987793
SSR,5,0.02,0.025,36,400,35,0.0024037635139383703,0.0026825187568305566,0.00477338228178581,1.0,14.0,0.0,0.0,1.0323526859283447
SR3,5,0.02,0.025,36,400,35,0.0024037635138381246,0.002682518756684294,0.0047733822814715055,1.0,14.0,0.0,0.0,161.5676543712616
E-STLSQ,5,0.02,0.025,36,400,35,0.0024037635138381246,0.002682518756684294,0.0047733822814715055,1.0,14.0,0.0,0.0,0.5704207420349121
MIOSR,5,0.02,0.05,36,400,35,0.006359599777173051,0.007247618007015784,0.012856487502703295,1.0,14.0,0.0,0.0,20.9876446723938
STLSQ,5,0.02,0.05,36,400,35,0.006359599777173051,0.007247618007015784,0.012856487502703295,1.0,14.0,0.0,0.0,1.2669556140899658
SSR,5,0.02,0.05,36,400,35,0.0063595997773686665,0.00724761800727254,0.012856487503308922,1.0,14.0,0.0,0.0,0.9443855285644531
SR3,5,0.02,0.05,36,400,35,0.006359599777173051,0.007247618007015784,0.012856487502703295,1.0,14.0,0.0,0.0,163.2967517375946
E-STLSQ,5,0.02,0.05,36,400,35,0.006359599777173051,0.007247618007015784,0.012856487502703295,1.0,14.0,0.0,0.0,0.5985438823699951
MIOSR,5,0.02,0.075,36,400,35,0.012112191344844097,0.014060709645543013,0.024294389655641013,1.0,14.0,0.0,0.0,35.68773579597473
STLSQ,5,0.02,0.075,36,400,35,0.012112191344844097,0.014060709645543013,0.024294389655641013,1.0,14.0,0.0,0.0,1.2420687675476074
SSR,5,0.02,0.075,36,400,35,0.01211219134468034,0.014060709645328778,0.02429438965514219,1.0,14.0,0.0,0.0,0.9105262756347656
SR3,5,0.02,0.075,36,400,35,0.22005827041181125,0.35904711427849556,0.6779604781383022,0.8666666666666667,13.0,1.0,1.0,162.51638650894165
E-STLSQ,5,0.02,0.075,36,400,35,0.012112191344844097,0.014060709645543013,0.024294389655641013,1.0,14.0,0.0,0.0,0.6218903064727783
MIOSR,5,0.02,0.1,36,400,35,0.02031780991603689,0.023208731639397122,0.03910659958975282,1.0,14.0,0.0,0.0,37.3470823764801
