Method,Duration,Sample Rate,Noise,Pts/Domain,# Domains,Seed,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime
MIOSR,5,0.02,0.025,36,400,27,0.0028475101006182196,0.003679148388185699,0.007555336065532048,1.0,14.0,0.0,0.0,45.68805956840515
STLSQ,5,0.02,0.025,36,400,27,0.0028475101006182196,0.003679148388185699,0.007555336065532048,1.0,14.0,0.0,0.0,1.0561742782592773
SSR,5,0.02,0.025,36,400,27,0.002847510100787142,0.0036791483883706635,0.007555336065852458,1.0,14.0,0.0,0.0,0.7739062309265137
SR3,5,0.02,0.025,36,400,27,0.0028475101006182196,0.003679148388185699,0.007555336065532048,1.0,14.0,0.0,0.0,143.53588008880615
E-STLSQ,5,0.02,0.025,36,400,27,0.0028475101006182196,0.003679148388185699,0.007555336065532048,1.0,14.0,0.0,0.0,0.5239007472991943
MIOSR,5,0.02,0.05,36,400,27,0.006196937597411587,0.007021460269267435,0.013524371383284661,1.0,14.0,0.0,0.0,40.236276149749756
STLSQ,5,0.02,0.05,36,400,27,0.006196937597411587,0.007021460269267435,0.013524371383284661,1.0,14.0,0.0,0.0,1.0233182907104492
SSR,5,0.02,0.05,36,400,27,0.1731417350516257,0.2241007945028769,0.38994459518612634,0.7647058823529411,13.0,3.0,1.0,0.776496171951294
SR3,5,0.02,0.05,36,400,27,0.006196937597411587,0.007021460269267435,0.013524371383284661,1.0,14.0,0.0,0.0,149.84078931808472
E-STLSQ,5,0.02,0.05,36,400,27,0.006196937597411587,0.007021460269267435,0.013524371383284661,1.0,14.0,0.0,0.0,0.5884373188018799
MIOSR,5,0.02,0.075,36,400,27,0.01027041285178776,0.011601908462391824,0.01786555296446446,1.0,14.0,0.0,0.0,47.77169060707092
STLSQ,5,0.02,0.075,36,400,27,0.01027041285178776,0.011601908462391824,0.01786555296446446,1.0,14.0,0.0,0.0,1.063796043395996
SSR,5,0.02,0.075,36,400,27,0.010270412851937218,0.011601908462496415,0.017865552965875997,1.0,14.0,0.0,0.0,0.7760796546936035
SR3,5,0.02,0.075,36,400,27,0.24806026903645417,0.33449140878533506,0.5990359962044794,0.7647058823529411,13.0,3.0,1.0,154.72556281089783
E-STLSQ,5,0.02,0.075,36,400,27,0.016777462507185724,0.024271894469123773,0.05451147541925372,1.0,14.0,0.0,0.0,0.6036760807037354
MIOSR,5,0.02,0.1,36,400,27,0.016177801215632934,0.01847738852976917,0.027062208742101967,1.0,14.0,0.0,0.0,81.55829215049744
STLSQ,5,0.02,0.1,36,400,27,0.03318754396462252,0.04180670519999324,0.08281084837535002,0.9333333333333333,14.0,1.0,0.0,1.0717127323150635
SSR,5,0.02,0.1,36,400,27,0.01617780121582658,0.01847738852994649,0.027062208742099747,1.0,14.0,0.0,0.0,0.7741420269012451
SR3,5,0.02,0.1,36,400,27,0.4055700716620179,0.4419040539257461,0.5811537864538643,0.7222222222222222,13.0,4.0,1.0,156.70095777511597
E-STLSQ,5,0.02,0.1,36,400,27,0.05671556961634752,0.06356647473456377,0.1,0.8666666666666667,13.0,1.0,1.0,0.6293120384216309
MIOSR,5,0.02,0.125,36,400,27,0.025427351409602766,0.027992073647671298,0.041343096112241295,1.0,14.0,0.0,0.0,87.84485673904419
STLSQ,5,0.02,0.125,36,400,27,0.050194978039781506,0.06035301174724511,0.11568657507098579,0.9333333333333333,14.0,1.0,0.0,1.078657865524292
SSR,5,0.02,0.125,36,400,27,0.050004515399230974,0.06023357405367232,0.1156865750705316,0.875,14.0,2.0,0.0,0.7732884883880615
SR3,5,0.02,0.125,36,400,27,0.5315187019874047,0.5704227641409705,0.7401503982370816,0.625,10.0,2.0,4.0,157.53502416610718
