Method,Duration,Sample Rate,Noise,Pts/Domain,# Domains,Seed,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime
MIOSR,5,0.02,0.025,36,400,20,0.004525507952080797,0.0053908221987866035,0.008217630950299926,1.0,14.0,0.0,0.0,42.04974555969238
STLSQ,5,0.02,0.025,36,400,20,0.004525507952080797,0.0053908221987866035,0.008217630950299926,1.0,14.0,0.0,0.0,1.495513916015625
SSR,5,0.02,0.025,36,400,20,0.0045255079518117915,0.005390822198368194,0.008217630948515575,1.0,14.0,0.0,0.0,1.0768015384674072
SR3,5,0.02,0.025,36,400,20,0.004525507952080797,0.0053908221987866035,0.008217630950299926,1.0,14.0,0.0,0.0,163.8914134502411
E-STLSQ,5,0.02,0.025,36,400,20,0.004525507952080797,0.0053908221987866035,0.008217630950299926,1.0,14.0,0.0,0.0,0.7185499668121338
MIOSR,5,0.02,0.05,36,400,20,0.00997217749345924,0.011256629459884041,0.016644200312367463,1.0,14.0,0.0,0.0,50.73194432258606
STLSQ,5,0.02,0.05,36,400,20,0.00997217749345924,0.011256629459884041,0.016644200312367463,1.0,14.0,0.0,0.0,1.5094614028930664
SSR,5,0.02,0.05,36,400,20,0.009972177493364844,0.011256629459797253,0.016644200312764368,1.0,14.0,0.0,0.0,1.0412991046905518
SR3,5,0.02,0.05,36,400,20,0.00997217749345924,0.011256629459884041,0.016644200312367463,1.0,14.0,0.0,0.0,179.03173184394836
E-STLSQ,5,0.02,0.05,36,400,20,0.00997217749345924,0.011256629459884041,0.016644200312367463,1.0,14.0,0.0,0.0,0.790935754776001
MIOSR,5,0.02,0.075,36,400,20,0.016511563042516754,0.01827287065821494,0.029495436578885648,1.0,14.0,0.0,0.0,45.290302753448486
STLSQ,5,0.02,0.075,36,400,20,0.016511563042516754,0.01827287065821494,0.029495436578885648,1.0,14.0,0.0,0.0,1.4386146068572998
SSR,5,0.02,0.075,36,400,20,0.01651156304294394,0.018272870658549416,0.029495436578525935,1.0,14.0,0.0,0.0,0.9717967510223389
SR3,5,0.02,0.075,36,400,20,0.016511563042516754,0.01827287065821494,0.029495436578885648,1.0,14.0,0.0,0.0,184.74536895751953
E-STLSQ,5,0.02,0.075,36,400,20,0.016511563042516754,0.01827287065821494,0.029495436578885648,1.0,14.0,0.0,0.0,0.8253116607666016
MIOSR,5,0.02,0.1,36,400,20,0.02405112746938409,0.026889020145129124,0.045331019594277766,1.0,14.0,0.0,0.0,52.516587257385254
STLSQ,5,0.02,0.1,36,400,20,0.059099796738340836,0.0668207381144708,0.11357110663878828,0.7777777777777778,14.0,4.0,0.0,1.4499404430389404
SSR,5,0.02,0.1,36,400,20,0.02405112746995769,0.02688902014574743,0.04533101959525476,1.0,14.0,0.0,0.0,0.9342553615570068
SR3,5,0.02,0.1,36,400,20,0.059099796738340836,0.0668207381144708,0.11357110663878828,0.7777777777777778,14.0,4.0,0.0,190.91913890838623
E-STLSQ,5,0.02,0.1,36,400,20,0.02093834362110031,0.022486705231637438,0.03454515568711525,1.0,14.0,0.0,0.0,0.8328981399536133
MIOSR,5,0.02,0.125,36,400,20,0.032539972531336614,0.03734755658458499,0.06409738891840489,1.0,14.0,0.0,0.0,120.79852175712585
STLSQ,5,0.02,0.125,36,400,20,0.5217530310738329,0.5552419578343321,0.7937731248628299,0.6086956521739131,14.0,9.0,0.0,1.4325332641601562
SSR,5,0.02,0.125,36,400,20,0.03803767030498598,0.04753672442416824,0.08851195623881936,1.0,14.0,0.0,0.0,0.9752240180969238
SR3,5,0.02,0.125,36,400,20,0.6819730983955853,0.5986452729469581,0.7937731248628299,0.4827586206896552,14.0,15.0,0.0,195.944757938385
E-STLSQ,5,0.02,0.125,36,400,20,0.10922192036872777,0.19735347624451174,0.5947273363378228,0.8666666666666667,13.0,1.0,1.0,0.815589189529419
MIOSR,5,0.02,0.15,36,400,20,0.04247419027078634,0.04974329353020574,0.0857127707923544,1.0,14.0,0.0,0.0,191.8020477294922
STLSQ,5,0.02,0.15,36,400,20,0.9773059339776826,0.8458291690711556,1.0518970570420931,0.45161290322580644,14.0,17.0,0.0,1.5655925273895264
SSR,5,0.02,0.15,36,400,20,0.04968013860745792,0.06015514550417228,0.10995009012796553,1.0,14.0,0.0,0.0,1.0799250602722168
SR3,5,0.02,0.15,36,400,20,3.3363079293940565,2.551963885194516,3.150639148502397,0.3225806451612903,10.0,17.0,4.0,196.8840672969818
E-STLSQ,5,0.02,0.15,36,400,20,0.07045917605817086,0.07624620327190658,0.11327647490303172,0.8666666666666667,13.0,1.0,1.0,0.8545494079589844
MIOSR,5,0.02,0.175,36,400,20,0.054479968367793556,0.06407925423858335,0.11006599581015086,1.0,14.0,0.0,0.0,322.5542447566986
STLSQ,5,0.02,0.175,36,400,20,1.0974216959984346,0.9161536025474871,1.4982375203684457,0.43333333333333335,13.0,16.0,1.0,1.5998189449310303
SSR,5,0.02,0.175,36,400,20,0.8841566135215448,0.7820302071883383,1.0,0.35714285714285715,10.0,14.0,4.0,1.0642282962799072
SR3,5,0.02,0.175,36,400,20,2.5843936561296936,2.123167593119938,3.0333179068011513,0.3448275862068966,10.0,15.0,4.0,193.2690305709839
E-STLSQ,5,0.02,0.175,36,400,20,0.41044452398578524,0.5229253006361647,0.8006696026516165,0.8666666666666667,13.0,1.0,1.0,0.8369243144989014
MIOSR,5,0.02,0.19999999999999998,36,400,20,0.06925049190548047,0.08030356832602564,0.13701558334620245,1.0,14.0,0.0,0.0,398.33692693710327
STLSQ,5,0.02,0.19999999999999998,36,400,20,1.248365594245893,0.9039043308752243,1.2583362422590683,0.3611111111111111,13.0,22.0,1.0,1.4939155578613281
SSR,5,0.02,0.19999999999999998,36,400,20,1.4809093241193216,1.4285977395399134,2.3476174749079686,0.4166666666666667,10.0,10.0,4.0,0.9506464004516602
SR3,5,0.02,0.19999999999999998,36,400,20,2.4179102453835513,2.141173516552633,3.289035165165696,0.4166666666666667,10.0,10.0,4.0,192.5904107093811
E-STLSQ,5,0.02,0.19999999999999998,36,400,20,0.5648999589899962,0.689643089626,1.2403318570792303,0.75,12.0,2.0,2.0,0.8682799339294434
MIOSR,5,0.02,0.22499999999999998,36,400,20,0.487105962569721,0.5964141626694575,1.0,0.5555555555555556,10.0,4.0,4.0,601.1039905548096
STLSQ,5,0.02,0.22499999999999998,36,400,20,1.5681528873269894,1.1337899294016458,1.3924856886737411,0.35135135135135137,13.0,23.0,1.0,1.510939121246338
SSR,5,0.02,0.22499999999999998,36,400,20,1.445539474029109,1.3688356825505377,2.215077085974713,0.4166666666666667,10.0,10.0,4.0,0.9698169231414795
SR3,5,0.02,0.22499999999999998,36,400,20,2.5322980575475555,2.0616300373482486,3.049536468880549,0.4,10.0,11.0,4.0,186.5774428844452
E-STLSQ,5,0.02,0.22499999999999998,36,400,20,0.5760665327047034,0.7004162452661734,1.2519660019751806,0.6470588235294118,11.0,3.0,3.0,0.8656406402587891
MIOSR,5,0.02,0.24999999999999997,36,400,20,0.4539531637253438,0.6011194987002242,1.1988885886652294,0.5555555555555556,10.0,4.0,4.0,600.7499315738678
STLSQ,5,0.02,0.24999999999999997,36,400,20,1.5630274830919635,1.1701081043386585,1.327361674661077,0.40625,13.0,18.0,1.0,1.4903078079223633
SSR,5,0.02,0.24999999999999997,36,400,20,0.8671321184907851,0.7772346319967391,1.0,0.3548387096774194,11.0,17.0,3.0,0.9582996368408203
SR3,5,0.02,0.24999999999999997,36,400,20,2.405271927854984,1.9152172276469193,2.7710498762172344,0.4,10.0,11.0,4.0,183.99184203147888
E-STLSQ,5,0.02,0.24999999999999997,36,400,20,1.0242444228680403,0.9281567862996808,1.431592707289512,0.4,8.0,6.0,6.0,0.8157765865325928
MIOSR,5,0.02,0.27499999999999997,36,400,20,0.4712736577753959,0.6108533814837066,1.2281220361666532,0.5555555555555556,10.0,4.0,4.0,600.8814089298248
STLSQ,5,0.02,0.27499999999999997,36,400,20,0.9084677466224622,0.73265443702562,1.0,0.2857142857142857,10.0,21.0,4.0,1.5205345153808594
SSR,5,0.02,0.27499999999999997,36,400,20,1.4186859493859636,1.334670636128441,2.0325026009630194,0.3333333333333333,7.0,7.0,7.0,0.9692144393920898
SR3,5,0.02,0.27499999999999997,36,400,20,2.2589983044896442,1.756859101160344,2.472231857268253,0.4,10.0,11.0,4.0,184.34143662452698
