Method,Duration,Sample Rate,Noise,Pts/Domain,# Domains,Seed,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime
MIOSR,5,0.02,0.025,36,400,45,0.009153354866333752,0.011603302536014593,0.019028930638699926,1.0,14.0,0.0,0.0,15.90467357635498
STLSQ,5,0.02,0.025,36,400,45,0.009153354866333752,0.011603302536014593,0.019028930638699926,1.0,14.0,0.0,0.0,1.3035314083099365
SSR,5,0.02,0.025,36,400,45,0.009153354866502924,0.0116033025362441,0.019028930639080177,1.0,14.0,0.0,0.0,1.0160267353057861
SR3,5,0.02,0.025,36,400,45,0.009153354866333752,0.011603302536014593,0.019028930638699926,1.0,14.0,0.0,0.0,156.24175095558167
E-STLSQ,5,0.02,0.025,36,400,45,0.009153354866333752,0.011603302536014593,0.019028930638699926,1.0,14.0,0.0,0.0,0.6160693168640137
MIOSR,5,0.02,0.05,36,400,45,0.019056968768735555,0.0239139213498058,0.04096143757752668,1.0,14.0,0.0,0.0,31.785770416259766
STLSQ,5,0.02,0.05,36,400,45,0.7459718288807503,0.7819942184551097,1.0,0.5333333333333333,8.0,1.0,6.0,1.3183636665344238
SSR,5,0.02,0.05,36,400,45,0.6970484992893,0.6636879204974327,0.9396012822342985,0.5789473684210527,11.0,5.0,3.0,1.0008151531219482
SR3,5,0.02,0.05,36,400,45,0.45080037970538916,0.5535295232100417,0.7597060847681854,0.7142857142857143,10.0,0.0,4.0,162.7571656703949
E-STLSQ,5,0.02,0.05,36,400,45,0.7269882793852327,0.7641213755091287,1.0,0.5333333333333333,8.0,1.0,6.0,0.5965657234191895
MIOSR,5,0.02,0.075,36,400,45,0.030162668992665967,0.03719043490295185,0.06569359095240856,1.0,14.0,0.0,0.0,21.812944650650024
STLSQ,5,0.02,0.075,36,400,45,0.700434977676293,0.6778661972745231,1.0,0.47368421052631576,9.0,5.0,5.0,1.3147344589233398
SSR,5,0.02,0.075,36,400,45,0.555512335129958,0.6794868377694858,1.0,0.5555555555555556,10.0,4.0,4.0,0.9510402679443359
SR3,5,0.02,0.075,36,400,45,0.723634796322179,0.7546875272028944,0.9298406886557944,0.6666666666666666,10.0,1.0,4.0,163.40001702308655
E-STLSQ,5,0.02,0.075,36,400,45,0.6943915844427809,0.6749641467900162,1.0,0.47368421052631576,9.0,5.0,5.0,0.6187584400177002
MIOSR,5,0.02,0.1,36,400,45,0.04232163241147015,0.05164295075525209,0.09311981142201486,1.0,14.0,0.0,0.0,22.505614280700684
