Method,Duration,Sample Rate,Noise,Pts/Domain,# Domains,Seed,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime
MIOSR,25,0.1,0.25,50,200,22,0.041087466679966544,0.04177317716518089,0.05109561209339164,1.0,3.0,0.0,0.0,7.251706838607788
STLSQ,25,0.1,0.25,50,200,22,0.041087466679966544,0.04177317716518089,0.05109561209339164,1.0,3.0,0.0,0.0,0.3185107707977295
SSR,25,0.1,0.25,50,200,22,0.041087466679965545,0.04177317716517995,0.05109561209339086,1.0,3.0,0.0,0.0,0.05909228324890137
SR3,25,0.1,0.25,50,200,22,0.041087466679966544,0.04177317716518089,0.05109561209339164,1.0,3.0,0.0,0.0,5.861915111541748
E-STLSQ,25,0.1,0.25,50,200,22,0.041087466679966544,0.04177317716518089,0.05109561209339164,1.0,3.0,0.0,0.0,0.15387701988220215
MIOSR,25,0.1,0.5,50,200,22,0.06552243096658088,0.06579980265850029,0.07181784985596351,1.0,3.0,0.0,0.0,7.48244833946228
STLSQ,25,0.1,0.5,50,200,22,0.06552243096658088,0.06579980265850029,0.07181784985596351,1.0,3.0,0.0,0.0,0.31853461265563965
SSR,25,0.1,0.5,50,200,22,0.0655224309665785,0.06579980265849791,0.07181784985596051,1.0,3.0,0.0,0.0,0.05845022201538086
SR3,25,0.1,0.5,50,200,22,0.06552243096658088,0.06579980265850029,0.07181784985596351,1.0,3.0,0.0,0.0,17.112263679504395
E-STLSQ,25,0.1,0.5,50,200,22,0.06552243096658088,0.06579980265850029,0.07181784985596351,1.0,3.0,0.0,0.0,0.16906356811523438
MIOSR,25,0.1,0.75,50,200,22,0.09675595262022885,0.0972318451744009,0.10587336520128532,1.0,3.0,0.0,0.0,7.5504560470581055
STLSQ,25,0.1,0.75,50,200,22,0.09675595262022885,0.0972318451744009,0.10587336520128532,1.0,3.0,0.0,0.0,0.33210182189941406
SSR,25,0.1,0.75,50,200,22,0.09675595262022858,0.0972318451744006,0.10587336520128487,1.0,3.0,0.0,0.0,0.0608065128326416
SR3,25,0.1,0.75,50,200,22,0.09675595262022885,0.0972318451744009,0.10587336520128532,1.0,3.0,0.0,0.0,46.75409913063049
E-STLSQ,25,0.1,0.75,50,200,22,0.09675595262022885,0.0972318451744009,0.10587336520128532,1.0,3.0,0.0,0.0,0.17149925231933594
MIOSR,25,0.1,1.0,50,200,22,0.13415266379563637,0.13479252459860766,0.14829138213305082,1.0,3.0,0.0,0.0,7.63379979133606
STLSQ,25,0.1,1.0,50,200,22,0.13415266379563637,0.13479252459860766,0.14829138213305082,1.0,3.0,0.0,0.0,0.30422210693359375
SSR,25,0.1,1.0,50,200,22,0.17790337670285317,0.17840172948391894,0.19658674366144968,1.0,3.0,0.0,0.0,0.058046579360961914
SR3,25,0.1,1.0,50,200,22,0.1932863991267386,0.16343335936247766,0.17074866753069096,0.6,3.0,2.0,0.0,47.502216815948486
E-STLSQ,25,0.1,1.0,50,200,22,0.13415266379563637,0.13479252459860766,0.14829138213305082,1.0,3.0,0.0,0.0,0.15590810775756836
MIOSR,25,0.1,1.25,50,200,22,0.17697258156032217,0.17768330357120335,0.1944690668159922,1.0,3.0,0.0,0.0,8.919348955154419
STLSQ,25,0.1,1.25,50,200,22,0.17697258156032217,0.17768330357120335,0.1944690668159922,1.0,3.0,0.0,0.0,0.31050872802734375
SSR,25,0.1,1.25,50,200,22,0.21798794141900865,0.21835950820605862,0.23580314926555002,1.0,3.0,0.0,0.0,0.05806875228881836
SR3,25,0.1,1.25,50,200,22,0.2572752218007451,0.22238942225627187,0.2340801996634806,0.6,3.0,2.0,0.0,46.85205435752869
E-STLSQ,25,0.1,1.25,50,200,22,0.17697258156032217,0.17768330357120335,0.1944690668159922,1.0,3.0,0.0,0.0,0.144012451171875
MIOSR,25,0.1,1.5,50,200,22,0.2243946721609782,0.22512211606647495,0.24421387192770205,1.0,3.0,0.0,0.0,9.282317638397217
STLSQ,25,0.1,1.5,50,200,22,0.2243946721609782,0.22512211606647495,0.24421387192770205,1.0,3.0,0.0,0.0,0.331531286239624
SSR,25,0.1,1.5,50,200,22,0.2624430066979695,0.26277703712736084,0.27984522602583517,1.0,3.0,0.0,0.0,0.057892799377441406
SR3,25,0.1,1.5,50,200,22,0.3222637846680506,0.2838650603378,0.30197577554219335,0.6,3.0,2.0,0.0,41.012051582336426
E-STLSQ,25,0.1,1.5,50,200,22,0.27600850278260897,0.27704466350694795,0.30197577554219335,1.0,3.0,0.0,0.0,0.14758729934692383
MIOSR,25,0.1,1.75,50,200,22,0.7757961664444655,0.8356622728743108,1.0,0.2,1.0,2.0,2.0,9.38569688796997
STLSQ,25,0.1,1.75,50,200,22,0.2755406857978839,0.276267586064783,0.29726524357585504,1.0,3.0,0.0,0.0,0.3261730670928955
SSR,25,0.1,1.75,50,200,22,0.4182920415012928,0.42083606470815615,0.47111661137499605,1.0,3.0,0.0,0.0,0.058589935302734375
SR3,25,0.1,1.75,50,200,22,0.39267084591704826,0.3512175968680916,0.40336644223899043,0.375,3.0,5.0,0.0,43.95534014701843
E-STLSQ,25,0.1,1.75,50,200,22,0.2755406857978839,0.276267586064783,0.29726524357585504,1.0,3.0,0.0,0.0,0.14686250686645508
MIOSR,25,0.1,2.0,50,200,22,0.788679085477704,0.8409916790296267,1.0,0.2,1.0,2.0,2.0,9.62887692451477
STLSQ,25,0.1,2.0,50,200,22,0.3294984582866652,0.33022943916161746,0.3532700658224118,1.0,3.0,0.0,0.0,0.3225224018096924
SSR,25,0.1,2.0,50,200,22,0.4596876345704722,0.4615081341987992,0.5087499272762864,1.0,3.0,0.0,0.0,0.057932138442993164
