Method,Duration,Sample Rate,Noise,Pts/Domain,# Domains,Seed,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime
MIOSR,25,0.1,0.25,50,200,30,0.039269758125776745,0.044836950606732845,0.05984399436377563,1.0,3.0,0.0,0.0,2.6980934143066406
STLSQ,25,0.1,0.25,50,200,30,0.039269758125776745,0.044836950606732845,0.05984399436377563,1.0,3.0,0.0,0.0,0.26499485969543457
SSR,25,0.1,0.25,50,200,30,0.03926975812577608,0.04483695060673234,0.05984399436377508,1.0,3.0,0.0,0.0,0.04800271987915039
SR3,25,0.1,0.25,50,200,30,0.039269758125776745,0.044836950606732845,0.05984399436377563,1.0,3.0,0.0,0.0,9.168950319290161
E-STLSQ,25,0.1,0.25,50,200,30,0.039269758125776745,0.044836950606732845,0.05984399436377563,1.0,3.0,0.0,0.0,0.13028240203857422
MIOSR,25,0.1,0.5,50,200,30,0.065091933162355,0.07395816478058728,0.10156986217008501,1.0,3.0,0.0,0.0,2.627082109451294
STLSQ,25,0.1,0.5,50,200,30,0.065091933162355,0.07395816478058728,0.10156986217008501,1.0,3.0,0.0,0.0,0.24880647659301758
SSR,25,0.1,0.5,50,200,30,0.06509193316234944,0.07395816478057991,0.10156986217007669,1.0,3.0,0.0,0.0,0.04780411720275879
SR3,25,0.1,0.5,50,200,30,0.065091933162355,0.07395816478058728,0.10156986217008501,1.0,3.0,0.0,0.0,11.194124221801758
E-STLSQ,25,0.1,0.5,50,200,30,0.065091933162355,0.07395816478058728,0.10156986217008501,1.0,3.0,0.0,0.0,0.13646745681762695
MIOSR,25,0.1,0.75,50,200,30,0.0989736618201732,0.11509544105418947,0.15605812287509135,1.0,3.0,0.0,0.0,2.6641721725463867
STLSQ,25,0.1,0.75,50,200,30,0.0989736618201732,0.11509544105418947,0.15605812287509135,1.0,3.0,0.0,0.0,0.2589602470397949
SSR,25,0.1,0.75,50,200,30,0.09897366182017427,0.11509544105419088,0.15605812287509302,1.0,3.0,0.0,0.0,0.04733085632324219
SR3,25,0.1,0.75,50,200,30,0.0989736618201732,0.11509544105418947,0.15605812287509135,1.0,3.0,0.0,0.0,14.578027486801147
E-STLSQ,25,0.1,0.75,50,200,30,0.11534951451672555,0.13622704094109592,0.1805304919445393,1.0,3.0,0.0,0.0,0.1420128345489502
MIOSR,25,0.1,1.0,50,200,30,0.1394940964760141,0.16713857451683498,0.22147584732012204,1.0,3.0,0.0,0.0,2.6815860271453857
STLSQ,25,0.1,1.0,50,200,30,0.1394940964760141,0.16713857451683498,0.22147584732012204,1.0,3.0,0.0,0.0,0.27101588249206543
SSR,25,0.1,1.0,50,200,30,0.13949409647601227,0.167138574516832,0.2214758473201186,1.0,3.0,0.0,0.0,0.04672527313232422
SR3,25,0.1,1.0,50,200,30,0.1394940964760141,0.16713857451683498,0.22147584732012204,1.0,3.0,0.0,0.0,32.920421838760376
E-STLSQ,25,0.1,1.0,50,200,30,0.1394940964760141,0.16713857451683498,0.22147584732012204,1.0,3.0,0.0,0.0,0.1433579921722412
MIOSR,25,0.1,1.25,50,200,30,0.18735765761508558,0.22831149060467285,0.2954235574252314,1.0,3.0,0.0,0.0,2.9129109382629395
STLSQ,25,0.1,1.25,50,200,30,0.18735765761508558,0.22831149060467285,0.2954235574252314,1.0,3.0,0.0,0.0,0.27999234199523926
SSR,25,0.1,1.25,50,200,30,0.1873576576150835,0.22831149060467065,0.29542355742522897,1.0,3.0,0.0,0.0,0.046654462814331055
SR3,25,0.1,1.25,50,200,30,0.18735765761508558,0.22831149060467285,0.2954235574252314,1.0,3.0,0.0,0.0,48.867836236953735
E-STLSQ,25,0.1,1.25,50,200,30,0.18735765761508558,0.22831149060467285,0.2954235574252314,1.0,3.0,0.0,0.0,0.14851617813110352
MIOSR,25,0.1,1.5,50,200,30,0.2499822123585164,0.2962979906487754,0.37524601784052714,1.0,3.0,0.0,0.0,3.5573253631591797
STLSQ,25,0.1,1.5,50,200,30,0.2499822123585164,0.2962979906487754,0.37524601784052714,1.0,3.0,0.0,0.0,0.2584362030029297
SSR,25,0.1,1.5,50,200,30,0.24998221235851636,0.2962979906487754,0.37524601784052747,1.0,3.0,0.0,0.0,0.04673576354980469
SR3,25,0.1,1.5,50,200,30,0.2499822123585164,0.2962979906487754,0.37524601784052714,1.0,3.0,0.0,0.0,53.79732418060303
E-STLSQ,25,0.1,1.5,50,200,30,0.3050458132855229,0.364875725137529,0.48388746630076185,1.0,3.0,0.0,0.0,0.13545441627502441
MIOSR,25,0.1,1.75,50,200,30,0.8349971953287496,0.8458144506084907,1.0,0.2,1.0,2.0,2.0,3.702028274536133
STLSQ,25,0.1,1.75,50,200,30,0.31779953799506705,0.3686359267224188,0.45829756929653287,1.0,3.0,0.0,0.0,0.2474203109741211
SSR,25,0.1,1.75,50,200,30,0.6285276314870535,0.6165289776186644,0.7381032913278907,0.75,3.0,1.0,0.0,0.04678463935852051
SR3,25,0.1,1.75,50,200,30,0.4582804967957543,0.4930510470503103,0.6405597558550555,0.3,3.0,7.0,0.0,52.97867250442505
E-STLSQ,25,0.1,1.75,50,200,30,0.5684870632569864,0.6261654259378836,0.756087931377958,1.0,3.0,0.0,0.0,0.12136411666870117
MIOSR,25,0.1,2.0,50,200,30,0.8471447166588056,0.8496121444813902,1.0,0.2,1.0,2.0,2.0,3.659412384033203
STLSQ,25,0.1,2.0,50,200,30,0.5386594064799054,0.5188405506300557,0.6000454814531311,0.75,3.0,1.0,0.0,0.24734258651733398
SSR,25,0.1,2.0,50,200,30,0.6785981227338699,0.6611046134405828,0.785941730545019,0.75,3.0,1.0,0.0,0.04691600799560547
SR3,25,0.1,2.0,50,200,30,0.5489978739413758,0.5750250443687069,0.7417333297362825,0.3333333333333333,3.0,6.0,0.0,41.67388439178467
E-STLSQ,25,0.1,2.0,50,200,30,0.6722387528678381,0.6947225758055565,1.0,0.5,2.0,1.0,1.0,0.12368178367614746
MIOSR,25,0.1,2.25,50,200,30,0.8610160102080551,0.8544177075224045,1.0,0.2,1.0,2.0,2.0,3.4993197917938232
STLSQ,25,0.1,2.25,50,200,30,0.7450356948268456,0.68644136864226,0.8370698868435962,0.42857142857142855,3.0,4.0,0.0,0.2561984062194824
SSR,25,0.1,2.25,50,200,30,0.7418231024700103,0.7223074460648277,0.8424129195551118,0.42857142857142855,3.0,4.0,0.0,0.04684591293334961
SR3,25,0.1,2.25,50,200,30,0.7786719880794165,0.7111053407258752,0.8757071848464392,0.25,3.0,9.0,0.0,48.832425594329834
E-STLSQ,25,0.1,2.25,50,200,30,1.064287668701245,1.0051215192003922,1.0,0.0,0.0,3.0,3.0,0.12618732452392578
MIOSR,25,0.1,2.5,50,200,30,0.8764276637464897,0.8602808042921112,1.0,0.2,1.0,2.0,2.0,3.372183084487915
STLSQ,25,0.1,2.5,50,200,30,0.7460548529297867,0.8279940332038089,1.0,0.3333333333333333,1.0,0.0,2.0,0.24549078941345215
SSR,25,0.1,2.5,50,200,30,0.7935787029976736,0.7663478961161141,0.8882526133477635,0.42857142857142855,3.0,4.0,0.0,0.04674553871154785
SR3,25,0.1,2.5,50,200,30,0.8919552884330778,0.8117115858363628,1.0,0.15384615384615385,2.0,10.0,1.0,39.18265724182129
