Method,Duration,Sample Rate,Noise,Pts/Domain,# Domains,Seed,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime
MIOSR,25,0.1,0.25,50,200,21,0.024077309475128834,0.028136640790850292,0.03586017336243308,1.0,3.0,0.0,0.0,7.434677362442017
STLSQ,25,0.1,0.25,50,200,21,0.024077309475128834,0.028136640790850292,0.03586017336243308,1.0,3.0,0.0,0.0,0.2977628707885742
SSR,25,0.1,0.25,50,200,21,0.024077309475129354,0.02813664079085065,0.035860173362432524,1.0,3.0,0.0,0.0,0.05641293525695801
SR3,25,0.1,0.25,50,200,21,0.024077309475128834,0.028136640790850292,0.03586017336243308,1.0,3.0,0.0,0.0,9.98617696762085
E-STLSQ,25,0.1,0.25,50,200,21,0.024077309475128834,0.028136640790850292,0.03586017336243308,1.0,3.0,0.0,0.0,0.15507078170776367
MIOSR,25,0.1,0.5,50,200,21,0.02704769736557448,0.031089782569977163,0.043230148162123005,1.0,3.0,0.0,0.0,7.263087749481201
STLSQ,25,0.1,0.5,50,200,21,0.02704769736557448,0.031089782569977163,0.043230148162123005,1.0,3.0,0.0,0.0,0.3148305416107178
SSR,25,0.1,0.5,50,200,21,0.027047697365568484,0.03108978256996984,0.04323014816211446,1.0,3.0,0.0,0.0,0.056368350982666016
SR3,25,0.1,0.5,50,200,21,0.02704769736557448,0.031089782569977163,0.043230148162123005,1.0,3.0,0.0,0.0,24.64970874786377
E-STLSQ,25,0.1,0.5,50,200,21,0.02704769736557448,0.031089782569977163,0.043230148162123005,1.0,3.0,0.0,0.0,0.16738414764404297
MIOSR,25,0.1,0.75,50,200,21,0.03514326363782908,0.040602236377488686,0.057297220687231865,1.0,3.0,0.0,0.0,7.320710897445679
STLSQ,25,0.1,0.75,50,200,21,0.03514326363782908,0.040602236377488686,0.057297220687231865,1.0,3.0,0.0,0.0,0.3086700439453125
SSR,25,0.1,0.75,50,200,21,0.03514326363782664,0.040602236377485224,0.057297220687227646,1.0,3.0,0.0,0.0,0.055951833724975586
SR3,25,0.1,0.75,50,200,21,0.0575670902366264,0.05764553715994782,0.07965128176117597,0.42857142857142855,3.0,4.0,0.0,71.54831075668335
E-STLSQ,25,0.1,0.75,50,200,21,0.040229696101768964,0.048052407549240006,0.0725565180790515,1.0,3.0,0.0,0.0,0.1522047519683838
MIOSR,25,0.1,1.0,50,200,21,0.048135701017011444,0.05626080508174331,0.07787881532865204,1.0,3.0,0.0,0.0,7.402469158172607
STLSQ,25,0.1,1.0,50,200,21,0.048135701017011444,0.05626080508174331,0.07787881532865204,1.0,3.0,0.0,0.0,0.30490708351135254
SSR,25,0.1,1.0,50,200,21,0.05532584618924349,0.06577246621715571,0.08900684094268241,1.0,3.0,0.0,0.0,0.05579423904418945
SR3,25,0.1,1.0,50,200,21,0.07187124045256542,0.0735869934086762,0.10006286524102348,0.42857142857142855,3.0,4.0,0.0,74.09313321113586
E-STLSQ,25,0.1,1.0,50,200,21,0.048135701017011444,0.05626080508174331,0.07787881532865204,1.0,3.0,0.0,0.0,0.16745257377624512
MIOSR,25,0.1,1.25,50,200,21,0.06556852237573348,0.07780596635662362,0.10456559544330801,1.0,3.0,0.0,0.0,7.297030925750732
STLSQ,25,0.1,1.25,50,200,21,0.06556852237573348,0.07780596635662362,0.10456559544330801,1.0,3.0,0.0,0.0,0.2961597442626953
SSR,25,0.1,1.25,50,200,21,0.07236218295916597,0.08692958343591993,0.11513761129004696,1.0,3.0,0.0,0.0,0.056424856185913086
SR3,25,0.1,1.25,50,200,21,0.10353823734239724,0.09296900404981681,0.11803365412060329,0.3333333333333333,3.0,6.0,0.0,73.64315271377563
E-STLSQ,25,0.1,1.25,50,200,21,0.06556852237573348,0.07780596635662362,0.10456559544330801,1.0,3.0,0.0,0.0,0.16991090774536133
MIOSR,25,0.1,1.5,50,200,21,0.08680888644484423,0.10476423973655248,0.13678693313206203,1.0,3.0,0.0,0.0,7.729222536087036
STLSQ,25,0.1,1.5,50,200,21,0.08680888644484423,0.10476423973655248,0.13678693313206203,1.0,3.0,0.0,0.0,0.2973344326019287
SSR,25,0.1,1.5,50,200,21,0.15579709780389248,0.1839827916368312,0.22734322447473632,1.0,3.0,0.0,0.0,0.05592179298400879
SR3,25,0.1,1.5,50,200,21,0.12676802488018543,0.11607367569787212,0.14200415834315938,0.3333333333333333,3.0,6.0,0.0,65.46900510787964
E-STLSQ,25,0.1,1.5,50,200,21,0.08680888644484423,0.10476423973655248,0.13678693313206203,1.0,3.0,0.0,0.0,0.16529321670532227
MIOSR,25,0.1,1.75,50,200,21,0.11154157682822774,0.1364598343624782,0.17388043152841826,1.0,3.0,0.0,0.0,7.6576502323150635
STLSQ,25,0.1,1.75,50,200,21,0.11154157682822774,0.1364598343624782,0.17388043152841826,1.0,3.0,0.0,0.0,0.30539536476135254
SSR,25,0.1,1.75,50,200,21,0.17858031781998376,0.2102048480295956,0.2581846930605538,1.0,3.0,0.0,0.0,0.0561985969543457
SR3,25,0.1,1.75,50,200,21,0.15129189770388657,0.1420416833345031,0.16961910540184888,0.3333333333333333,3.0,6.0,0.0,72.62275075912476
E-STLSQ,25,0.1,1.75,50,200,21,0.11154157682822774,0.1364598343624782,0.17388043152841826,1.0,3.0,0.0,0.0,0.1516284942626953
MIOSR,25,0.1,2.0,50,200,21,0.1432587214984634,0.17212437205785944,0.2151491795753533,1.0,3.0,0.0,0.0,8.312614440917969
STLSQ,25,0.1,2.0,50,200,21,0.1432587214984634,0.17212437205785944,0.2151491795753533,1.0,3.0,0.0,0.0,0.31313562393188477
SSR,25,0.1,2.0,50,200,21,0.20505220313453362,0.2400173865727303,0.29369536801937923,1.0,3.0,0.0,0.0,0.056206703186035156
SR3,25,0.1,2.0,50,200,21,0.17706671933644022,0.17104842976421147,0.20107352677971946,0.3333333333333333,3.0,6.0,0.0,75.0959792137146
E-STLSQ,25,0.1,2.0,50,200,21,0.2391829051142538,0.25476594310079215,0.3060662162894455,1.0,3.0,0.0,0.0,0.14748477935791016
MIOSR,25,0.1,2.25,50,200,21,0.1784521209045148,0.2109783832043846,0.2598963336667438,1.0,3.0,0.0,0.0,8.742295503616333
STLSQ,25,0.1,2.25,50,200,21,0.1784521209045148,0.2109783832043846,0.2598963336667438,1.0,3.0,0.0,0.0,0.31330060958862305
SSR,25,0.1,2.25,50,200,21,0.2348633650764748,0.2728388400174378,0.33530004797220747,1.0,3.0,0.0,0.0,0.05606341361999512
SR3,25,0.1,2.25,50,200,21,0.20381488726215882,0.20303720478112466,0.23627994612820613,0.3333333333333333,3.0,6.0,0.0,76.40797781944275
E-STLSQ,25,0.1,2.25,50,200,21,0.2921610864840895,0.30917450520362066,0.3662046639238953,1.0,3.0,0.0,0.0,0.1465139389038086
MIOSR,25,0.1,2.5,50,200,21,0.8208227809262293,0.8375274384402134,1.0,0.2,1.0,2.0,2.0,9.042952537536621
STLSQ,25,0.1,2.5,50,200,21,0.21663159792958175,0.25227431860796073,0.3086558957638337,1.0,3.0,0.0,0.0,0.322160005569458
SSR,25,0.1,2.5,50,200,21,0.2676623000804856,0.308093570750641,0.3795284336481888,1.0,3.0,0.0,0.0,0.057663679122924805
SR3,25,0.1,2.5,50,200,21,0.2334705611350019,0.23776457455361133,0.28331880524854114,0.3333333333333333,3.0,6.0,0.0,76.00138688087463
E-STLSQ,25,0.1,2.5,50,200,21,0.8499838482997134,0.8476256461164272,1.0,0.25,1.0,1.0,2.0,0.15929675102233887
MIOSR,25,0.1,2.75,50,200,21,0.8349097940666005,0.84171048361721,1.0,0.2,1.0,2.0,2.0,9.006750345230103
STLSQ,25,0.1,2.75,50,200,21,0.28273278757691644,0.29254601995226953,0.3520831845855291,0.6,3.0,2.0,0.0,0.3203098773956299
SSR,25,0.1,2.75,50,200,21,0.32472677524109367,0.34520974674512467,0.418834523185625,0.6,3.0,2.0,0.0,0.057039737701416016
SR3,25,0.1,2.75,50,200,21,0.26946839503662084,0.2748574555477891,0.3335747538701893,0.3333333333333333,3.0,6.0,0.0,75.79540419578552
