Method,Duration,Sample Rate,Noise,Pts/Domain,# Domains,Seed,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime
MIOSR,25,0.1,0.25,50,200,10,0.01912582300127282,0.022073585037267564,0.02749888779241627,1.0,3.0,0.0,0.0,2.8794479370117188
STLSQ,25,0.1,0.25,50,200,10,0.01912582300127282,0.022073585037267564,0.02749888779241627,1.0,3.0,0.0,0.0,0.2939262390136719
SSR,25,0.1,0.25,50,200,10,0.019125823001269266,0.0220735850372632,0.027498887792413385,1.0,3.0,0.0,0.0,0.05061841011047363
SR3,25,0.1,0.25,50,200,10,0.01912582300127282,0.022073585037267564,0.02749888779241627,1.0,3.0,0.0,0.0,18.54662799835205
E-STLSQ,25,0.1,0.25,50,200,10,0.01912582300127282,0.022073585037267564,0.02749888779241627,1.0,3.0,0.0,0.0,0.13747763633728027
MIOSR,25,0.1,0.5,50,200,10,0.0551458885295261,0.0651794218011231,0.08000798006481924,1.0,3.0,0.0,0.0,2.875781774520874
STLSQ,25,0.1,0.5,50,200,10,0.0551458885295261,0.0651794218011231,0.08000798006481924,1.0,3.0,0.0,0.0,0.2747364044189453
SSR,25,0.1,0.5,50,200,10,0.055145888529530694,0.06517942180112862,0.08000798006482457,1.0,3.0,0.0,0.0,0.05025482177734375
SR3,25,0.1,0.5,50,200,10,0.0551458885295261,0.0651794218011231,0.08000798006481924,1.0,3.0,0.0,0.0,18.868996620178223
E-STLSQ,25,0.1,0.5,50,200,10,0.0804715203157798,0.09794470093022978,0.15898246599203147,1.0,3.0,0.0,0.0,0.14167070388793945
MIOSR,25,0.1,0.75,50,200,10,0.08362368312000583,0.09998430943110102,0.12345292959589793,1.0,3.0,0.0,0.0,3.0008015632629395
STLSQ,25,0.1,0.75,50,200,10,0.08362368312000583,0.09998430943110102,0.12345292959589793,1.0,3.0,0.0,0.0,0.27324676513671875
SSR,25,0.1,0.75,50,200,10,0.08362368312000368,0.09998430943109883,0.12345292959589527,1.0,3.0,0.0,0.0,0.049973249435424805
SR3,25,0.1,0.75,50,200,10,0.08362368312000583,0.09998430943110102,0.12345292959589793,1.0,3.0,0.0,0.0,21.405516147613525
E-STLSQ,25,0.1,0.75,50,200,10,0.13018441629418473,0.17962976737803452,0.303009047314479,1.0,3.0,0.0,0.0,0.1368851661682129
MIOSR,25,0.1,1.0,50,200,10,0.10471592263994167,0.126692733654736,0.15788900576432097,1.0,3.0,0.0,0.0,3.2400286197662354
STLSQ,25,0.1,1.0,50,200,10,0.20536773672970796,0.2499251665478847,0.40050114072409115,0.75,3.0,1.0,0.0,0.28833818435668945
SSR,25,0.1,1.0,50,200,10,0.10471592263994063,0.12669273365473438,0.15788900576431897,1.0,3.0,0.0,0.0,0.04988503456115723
SR3,25,0.1,1.0,50,200,10,0.20536773672970796,0.2499251665478847,0.40050114072409115,0.75,3.0,1.0,0.0,32.380455493927
E-STLSQ,25,0.1,1.0,50,200,10,0.21941353367920355,0.2540692151217806,0.40050114072409115,1.0,3.0,0.0,0.0,0.14480328559875488
MIOSR,25,0.1,1.25,50,200,10,0.1192534092709258,0.1458727974350593,0.18366328308629476,1.0,3.0,0.0,0.0,3.5556697845458984
STLSQ,25,0.1,1.25,50,200,10,0.19278638720030558,0.23890306340302897,0.3879507858483313,0.75,3.0,1.0,0.0,0.28653407096862793
SSR,25,0.1,1.25,50,200,10,0.11925340927092469,0.14587279743505785,0.18366328308629343,1.0,3.0,0.0,0.0,0.05167961120605469
SR3,25,0.1,1.25,50,200,10,0.19278638720030558,0.23890306340302897,0.3879507858483313,0.75,3.0,1.0,0.0,39.41006088256836
E-STLSQ,25,0.1,1.25,50,200,10,0.46272853851969503,0.5916783493910334,1.0,0.5,2.0,1.0,1.0,0.14031767845153809
MIOSR,25,0.1,1.5,50,200,10,1.1557147053685999,0.9998185251213408,1.0,0.2,1.0,2.0,2.0,3.391392469406128
STLSQ,25,0.1,1.5,50,200,10,0.17598740109545344,0.20579610316122446,0.33446923640855497,0.75,3.0,1.0,0.0,0.28653979301452637
SSR,25,0.1,1.5,50,200,10,0.39805531164647623,0.3616593272490909,0.42530774229338064,0.75,3.0,1.0,0.0,0.049909114837646484
SR3,25,0.1,1.5,50,200,10,0.17598740109545344,0.20579610316122446,0.33446923640855497,0.75,3.0,1.0,0.0,48.11115550994873
E-STLSQ,25,0.1,1.5,50,200,10,0.16333473609805596,0.2219747547273726,0.3757111670456911,1.0,3.0,0.0,0.0,0.15163278579711914
MIOSR,25,0.1,1.75,50,200,10,1.1649237641406536,1.009477897447258,1.0,0.2,1.0,2.0,2.0,3.280273199081421
STLSQ,25,0.1,1.75,50,200,10,0.13960023930801016,0.16477034906374524,0.21136567642601034,1.0,3.0,0.0,0.0,0.2805790901184082
SSR,25,0.1,1.75,50,200,10,0.5206530711756266,0.4622716637698473,0.5192564893376885,0.75,3.0,1.0,0.0,0.05019950866699219
SR3,25,0.1,1.75,50,200,10,0.1615636998957113,0.19006331444051436,0.2368791354224289,0.6,3.0,2.0,0.0,55.74808216094971
E-STLSQ,25,0.1,1.75,50,200,10,0.16657192545423125,0.2247133186284374,0.3798082122706776,1.0,3.0,0.0,0.0,0.14280915260314941
MIOSR,25,0.1,2.0,50,200,10,1.1709258933046855,1.0161522386097885,1.0,0.2,1.0,2.0,2.0,3.2971434593200684
STLSQ,25,0.1,2.0,50,200,10,0.14400249506840646,0.1661719750827874,0.2144856282149854,1.0,3.0,0.0,0.0,0.2767336368560791
SSR,25,0.1,2.0,50,200,10,0.5407370936597928,0.48281447149561874,0.5507818046420672,0.75,3.0,1.0,0.0,0.05011749267578125
SR3,25,0.1,2.0,50,200,10,0.4490222248813091,0.4177758096054543,0.5268825583548342,0.3333333333333333,3.0,6.0,0.0,60.39619994163513
E-STLSQ,25,0.1,2.0,50,200,10,0.2934240962407521,0.33389079664331056,0.5185636801372072,1.0,3.0,0.0,0.0,0.14322900772094727
MIOSR,25,0.1,2.25,50,200,10,1.1743128850357771,1.0202872135767869,1.0,0.2,1.0,2.0,2.0,3.27620005607605
STLSQ,25,0.1,2.25,50,200,10,0.492820236520154,0.4544930004668315,0.5463892800532912,0.75,3.0,1.0,0.0,0.2832510471343994
SSR,25,0.1,2.25,50,200,10,0.5576131416365817,0.5005141533794132,0.5782466171700988,0.75,3.0,1.0,0.0,0.049986839294433594
SR3,25,0.1,2.25,50,200,10,0.48203747494401195,0.44886694989172493,0.5666966959498458,0.3333333333333333,3.0,6.0,0.0,61.28471088409424
E-STLSQ,25,0.1,2.25,50,200,10,0.7426313523787287,0.7203952653724024,1.0,0.5,2.0,1.0,1.0,0.1343061923980713
MIOSR,25,0.1,2.5,50,200,10,1.1760287028059084,1.0227442723045126,1.0,0.2,1.0,2.0,2.0,3.3833329677581787
STLSQ,25,0.1,2.5,50,200,10,0.5162585826232198,0.47757389164442166,0.5768832338736598,0.75,3.0,1.0,0.0,0.28020596504211426
SSR,25,0.1,2.5,50,200,10,0.5717676229856724,0.5156924184261196,0.6021237095744995,0.75,3.0,1.0,0.0,0.04990196228027344
SR3,25,0.1,2.5,50,200,10,0.5123912734678367,0.4757009585368003,0.5987713476239559,0.3333333333333333,3.0,6.0,0.0,58.73360252380371
E-STLSQ,25,0.1,2.5,50,200,10,0.763519774240155,0.7342921180121628,1.0,0.5,2.0,1.0,1.0,0.14214038848876953
MIOSR,25,0.1,2.75,50,200,10,1.1767442090003868,1.0241663205539222,1.0,0.2,1.0,2.0,2.0,3.3830676078796387
STLSQ,25,0.1,2.75,50,200,10,0.5353423070020025,0.4966408859181058,0.6027231221932335,0.75,3.0,1.0,0.0,0.27756309509277344
SSR,25,0.1,2.75,50,200,10,0.5837221100271014,0.5287277890294708,0.6229259317834086,0.75,3.0,1.0,0.0,0.04991745948791504
SR3,25,0.1,2.75,50,200,10,0.5389562777661557,0.4983732892537127,0.6245002133398819,0.3333333333333333,3.0,6.0,0.0,57.89342522621155
E-STLSQ,25,0.1,2.75,50,200,10,0.6677679329375912,0.6774169928658427,1.0,0.5,2.0,1.0,1.0,0.13822722434997559
MIOSR,25,0.1,3.0,50,200,10,1.176870078642704,1.0249577785175596,1.0,0.2,1.0,2.0,2.0,3.510385513305664
STLSQ,25,0.1,3.0,50,200,10,0.5510969088445449,0.5125285642190238,0.6247923449489535,0.75,3.0,1.0,0.0,0.27662205696105957
SSR,25,0.1,3.0,50,200,10,0.704427034136942,0.6189618065493081,0.6761638583885191,0.75,3.0,1.0,0.0,0.04975247383117676
SR3,25,0.1,3.0,50,200,10,0.5614616714797812,0.5173512605418105,0.6453917475208966,0.3333333333333333,3.0,6.0,0.0,58.123095989227295
E-STLSQ,25,0.1,3.0,50,200,10,0.9451374221441563,0.8879216938294963,1.0,0.2,1.0,2.0,2.0,0.1316990852355957
