Method,Duration,Sample Rate,Noise,Seed,Dim,x0,runtime
Preprocessing,0.5,0.002,0.002,2,84,"(-0.19201529357398872, -1.422221304516326, 0.14898743363612743, -0.19403282214516926, -0.23889659373753291, -0.5089955369883776)",0.006034135818481445
E-STLSQ,0.5,0.002,0.002,2,84,"(-0.19201529357398872, -1.422221304516326, 0.14898743363612743, -0.19403282214516926, -0.23889659373753291, -0.5089955369883776)",1.1775176525115967
STLSQ,0.5,0.002,0.002,2,84,"(-0.19201529357398872, -1.422221304516326, 0.14898743363612743, -0.19403282214516926, -0.23889659373753291, -0.5089955369883776)",0.022910118103027344
SSR,0.5,0.002,0.002,2,84,"(-0.19201529357398872, -1.422221304516326, 0.14898743363612743, -0.19403282214516926, -0.23889659373753291, -0.5089955369883776)",0.37230515480041504
SR3,0.5,0.002,0.002,2,84,"(-0.19201529357398872, -1.422221304516326, 0.14898743363612743, -0.19403282214516926, -0.23889659373753291, -0.5089955369883776)",0.007504701614379883
MIOSR,0.5,0.002,0.002,2,84,"(-0.19201529357398872, -1.422221304516326, 0.14898743363612743, -0.19403282214516926, -0.23889659373753291, -0.5089955369883776)",23.459890842437744
MIOSR-Opt,0.5,0.002,0.002,2,84,"(-0.19201529357398872, -1.422221304516326, 0.14898743363612743, -0.19403282214516926, -0.23889659373753291, -0.5089955369883776)",23.3601655960083
MIOSR-Build,0.5,0.002,0.002,2,84,"(-0.19201529357398872, -1.422221304516326, 0.14898743363612743, -0.19403282214516926, -0.23889659373753291, -0.5089955369883776)",0.09198498725891113
Preprocessing,0.8277532798848107,0.002,0.002,2,84,"(-0.19201529357398872, -1.422221304516326, 0.14898743363612743, -0.19403282214516926, -0.23889659373753291, -0.5089955369883776)",0.005052804946899414
E-STLSQ,0.8277532798848107,0.002,0.002,2,84,"(-0.19201529357398872, -1.422221304516326, 0.14898743363612743, -0.19403282214516926, -0.23889659373753291, -0.5089955369883776)",1.6521577835083008
STLSQ,0.8277532798848107,0.002,0.002,2,84,"(-0.19201529357398872, -1.422221304516326, 0.14898743363612743, -0.19403282214516926, -0.23889659373753291, -0.5089955369883776)",0.02805495262145996
SSR,0.8277532798848107,0.002,0.002,2,84,"(-0.19201529357398872, -1.422221304516326, 0.14898743363612743, -0.19403282214516926, -0.23889659373753291, -0.5089955369883776)",0.4100956916809082
SR3,0.8277532798848107,0.002,0.002,2,84,"(-0.19201529357398872, -1.422221304516326, 0.14898743363612743, -0.19403282214516926, -0.23889659373753291, -0.5089955369883776)",0.007284402847290039
