Method,Duration,Sample Rate,Noise,Seed,Dim,x0,runtime
Preprocessing,0.5,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",0.0062503814697265625
E-STLSQ,0.5,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",1.3218193054199219
STLSQ,0.5,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",0.021552324295043945
SSR,0.5,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",0.3963172435760498
SR3,0.5,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",0.0073757171630859375
MIOSR,0.5,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",32.07333326339722
MIOSR-Opt,0.5,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",31.97281002998352
MIOSR-Build,0.5,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",0.09236860275268555
Preprocessing,0.8277532798848107,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",0.005071163177490234
E-STLSQ,0.8277532798848107,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",1.5539984703063965
STLSQ,0.8277532798848107,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",0.030533313751220703
SSR,0.8277532798848107,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",0.42447614669799805
SR3,0.8277532798848107,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",0.0076448917388916016
MIOSR,0.8277532798848107,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",17.623939752578735
MIOSR-Opt,0.8277532798848107,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",17.536623239517212
MIOSR-Build,0.8277532798848107,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",0.0780634880065918
Preprocessing,1.3703509847201238,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",0.006054878234863281
E-STLSQ,1.3703509847201238,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",2.4218080043792725
STLSQ,1.3703509847201238,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",0.08788013458251953
SSR,1.3703509847201238,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",0.5495126247406006
SR3,1.3703509847201238,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",3.7262840270996094
MIOSR,1.3703509847201238,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",11.087898015975952
MIOSR-Opt,1.3703509847201238,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",10.994250535964966
MIOSR-Build,1.3703509847201238,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",0.08230042457580566
Preprocessing,2.268625044390925,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",0.0068247318267822266
E-STLSQ,2.268625044390925,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",3.569721221923828
STLSQ,2.268625044390925,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",0.07313704490661621
SSR,2.268625044390925,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",0.7639353275299072
SR3,2.268625044390925,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",4.4483702182769775
MIOSR,2.268625044390925,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",6.870218276977539
MIOSR-Opt,2.268625044390925,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",6.773317337036133
MIOSR-Build,2.268625044390925,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",0.08357548713684082
Preprocessing,3.7557236426468257,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",0.009183645248413086
E-STLSQ,3.7557236426468257,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",6.440377473831177
STLSQ,3.7557236426468257,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",0.07671427726745605
SSR,3.7557236426468257,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",0.8821389675140381
SR3,3.7557236426468257,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",6.326833486557007
MIOSR,3.7557236426468257,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",3.4583120346069336
MIOSR-Opt,3.7557236426468257,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",3.3433542251586914
MIOSR-Build,3.7557236426468257,0.002,0.002,43,84,"(-1.154836300830663, 0.3271996178384442, -1.0998271074420352, -0.7782311401039537, -0.5185828325665807, 1.077412472845793)",0.09185171127319336
