Method,Duration,Sample Rate,Noise,Seed,Dim,x0,runtime
Preprocessing,0.5,0.002,0.002,12,84,"(-1.0375114728609829, 0.7201490895462141, -0.710054954444596, 0.10121818014089312, -1.456275112543741, 1.256241024299655)",0.0069730281829833984
E-STLSQ,0.5,0.002,0.002,12,84,"(-1.0375114728609829, 0.7201490895462141, -0.710054954444596, 0.10121818014089312, -1.456275112543741, 1.256241024299655)",1.1915838718414307
STLSQ,0.5,0.002,0.002,12,84,"(-1.0375114728609829, 0.7201490895462141, -0.710054954444596, 0.10121818014089312, -1.456275112543741, 1.256241024299655)",0.025361061096191406
SSR,0.5,0.002,0.002,12,84,"(-1.0375114728609829, 0.7201490895462141, -0.710054954444596, 0.10121818014089312, -1.456275112543741, 1.256241024299655)",0.36634135246276855
SR3,0.5,0.002,0.002,12,84,"(-1.0375114728609829, 0.7201490895462141, -0.710054954444596, 0.10121818014089312, -1.456275112543741, 1.256241024299655)",0.0067865848541259766
MIOSR,0.5,0.002,0.002,12,84,"(-1.0375114728609829, 0.7201490895462141, -0.710054954444596, 0.10121818014089312, -1.456275112543741, 1.256241024299655)",26.914299726486206
MIOSR-Opt,0.5,0.002,0.002,12,84,"(-1.0375114728609829, 0.7201490895462141, -0.710054954444596, 0.10121818014089312, -1.456275112543741, 1.256241024299655)",26.819294452667236
MIOSR-Build,0.5,0.002,0.002,12,84,"(-1.0375114728609829, 0.7201490895462141, -0.710054954444596, 0.10121818014089312, -1.456275112543741, 1.256241024299655)",0.08759832382202148
Preprocessing,0.8277532798848107,0.002,0.002,12,84,"(-1.0375114728609829, 0.7201490895462141, -0.710054954444596, 0.10121818014089312, -1.456275112543741, 1.256241024299655)",0.004760026931762695
E-STLSQ,0.8277532798848107,0.002,0.002,12,84,"(-1.0375114728609829, 0.7201490895462141, -0.710054954444596, 0.10121818014089312, -1.456275112543741, 1.256241024299655)",1.4247546195983887
STLSQ,0.8277532798848107,0.002,0.002,12,84,"(-1.0375114728609829, 0.7201490895462141, -0.710054954444596, 0.10121818014089312, -1.456275112543741, 1.256241024299655)",0.02870035171508789
SSR,0.8277532798848107,0.002,0.002,12,84,"(-1.0375114728609829, 0.7201490895462141, -0.710054954444596, 0.10121818014089312, -1.456275112543741, 1.256241024299655)",0.41352248191833496
SR3,0.8277532798848107,0.002,0.002,12,84,"(-1.0375114728609829, 0.7201490895462141, -0.710054954444596, 0.10121818014089312, -1.456275112543741, 1.256241024299655)",0.007222175598144531
MIOSR,0.8277532798848107,0.002,0.002,12,84,"(-1.0375114728609829, 0.7201490895462141, -0.710054954444596, 0.10121818014089312, -1.456275112543741, 1.256241024299655)",14.52604079246521
MIOSR-Opt,0.8277532798848107,0.002,0.002,12,84,"(-1.0375114728609829, 0.7201490895462141, -0.710054954444596, 0.10121818014089312, -1.456275112543741, 1.256241024299655)",14.440972328186035
MIOSR-Build,0.8277532798848107,0.002,0.002,12,84,"(-1.0375114728609829, 0.7201490895462141, -0.710054954444596, 0.10121818014089312, -1.456275112543741, 1.256241024299655)",0.07683205604553223
Preprocessing,1.3703509847201238,0.002,0.002,12,84,"(-1.0375114728609829, 0.7201490895462141, -0.710054954444596, 0.10121818014089312, -1.456275112543741, 1.256241024299655)",0.00635838508605957
E-STLSQ,1.3703509847201238,0.002,0.002,12,84,"(-1.0375114728609829, 0.7201490895462141, -0.710054954444596, 0.10121818014089312, -1.456275112543741, 1.256241024299655)",2.2316105365753174
STLSQ,1.3703509847201238,0.002,0.002,12,84,"(-1.0375114728609829, 0.7201490895462141, -0.710054954444596, 0.10121818014089312, -1.456275112543741, 1.256241024299655)",0.04395580291748047
SSR,1.3703509847201238,0.002,0.002,12,84,"(-1.0375114728609829, 0.7201490895462141, -0.710054954444596, 0.10121818014089312, -1.456275112543741, 1.256241024299655)",0.507429838180542
