Method,Duration,Sample Rate,Noise,Seed,Dim,x0,runtime
Preprocessing,0.5,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.001155853271484375
MIOSOS,0.5,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.26924896240234375
MIOSOS-Opt,0.5,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.2601158618927002
MIOSOS-Build,0.5,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.00733494758605957
Preprocessing,0.8277532798848107,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.000827789306640625
MIOSOS,0.8277532798848107,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.03143763542175293
MIOSOS-Opt,0.8277532798848107,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.02373480796813965
MIOSOS-Build,0.8277532798848107,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.005584239959716797
Preprocessing,1.3703509847201238,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.0009207725524902344
MIOSOS,1.3703509847201238,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.023077011108398438
MIOSOS-Opt,1.3703509847201238,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.01623082160949707
MIOSOS-Build,1.3703509847201238,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.004415988922119141
Preprocessing,2.268625044390925,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.0010521411895751953
MIOSOS,2.268625044390925,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.02243494987487793
MIOSOS-Opt,2.268625044390925,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.013637065887451172
MIOSOS-Build,2.268625044390925,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.005103111267089844
Preprocessing,3.7557236426468257,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.0013947486877441406
MIOSOS,3.7557236426468257,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.028502225875854492
MIOSOS-Opt,3.7557236426468257,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.017390012741088867
MIOSOS-Build,3.7557236426468257,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.004703044891357422
Preprocessing,6.217625127083679,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.0019040107727050781
MIOSOS,6.217625127083679,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.026057004928588867
MIOSOS-Opt,6.217625127083679,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.013490438461303711
MIOSOS-Build,6.217625127083679,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.004586219787597656
Preprocessing,10.293319184075452,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.002747058868408203
MIOSOS,10.293319184075452,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.03179812431335449
MIOSOS-Opt,10.293319184075452,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.01106405258178711
MIOSOS-Build,10.293319184075452,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.004583120346069336
Preprocessing,17.040657431039403,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.0038928985595703125
MIOSOS,17.040657431039403,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.03923821449279785
MIOSOS-Opt,17.040657431039403,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.015687942504882812
MIOSOS-Build,17.040657431039403,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.0049097537994384766
Preprocessing,28.210920159872682,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.006657838821411133
MIOSOS,28.210920159872682,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.0501246452331543
MIOSOS-Opt,28.210920159872682,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.014811992645263672
MIOSOS-Build,28.210920159872682,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.005338191986083984
Preprocessing,46.70336338180629,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.010178089141845703
MIOSOS,46.70336338180629,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.07066082954406738
MIOSOS-Opt,46.70336338180629,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.013912677764892578
MIOSOS-Build,46.70336338180629,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.00798177719116211
Preprocessing,77.31772444188466,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.015495061874389648
MIOSOS,77.31772444188466,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.09715414047241211
MIOSOS-Opt,77.31772444188466,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.01038217544555664
MIOSOS-Build,77.31772444188466,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.006747722625732422
Preprocessing,128.0,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.02844691276550293
MIOSOS,128.0,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.14834022521972656
MIOSOS-Opt,128.0,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.010934829711914062
MIOSOS-Build,128.0,0.002,0.002,1,10,"(-0.9626656152083075, 0.552933203326048)",0.007159233093261719
