Method,Duration,Sample Rate,Noise,Seed,x0,insample_r2,validation_r2,validation_mse,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime,threshold,alpha,nu,group_sparsity
STLSQ,1.0,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.45537680610280495,-0.2868859832127047,0.02535450793548199,-7.568671196994172,0.6814097898334964,4.948177578536698,5.880029060064393,10.837762557944204,0.07142857142857142,1.0,6.0,7.0,1.7205321788787842,0.28117686979742307,0.01,,
E-STLSQ,1.0,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",-2.697542078963775,-3.7658201733734784,0.10946757206390863,-0.7258860554930335,0.3422485532146455,1.0471757856712116,1.0068717180043714,1.0,0.0,0.0,1.0,8.0,8.476661920547485,0.21209508879201905,0.01,,
SR3,1.0,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.5399191635655882,-22819933.511828143,544375.5813292976,-1220242581765898.0,7189130.005678451,72874335.70513198,54821797.644900426,69082854.0874055,0.19047619047619047,8.0,34.0,0.0,5.800454616546631,0.00031622776601683794,,0.03333333333333333,
SSR,1.0,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.5352218286116235,0.13954571034332003,0.017735952889739594,-0.8425416932685529,0.34266097986121646,1.6053478969247361,1.3222817385840997,1.571171899441895,0.07692307692307693,1,5,7,0.2769336700439453,,"(0.2, 0.05)",,
MIOSR,1.0,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.5354914407510745,0.1350616732563228,0.01781549296015068,0.16748056217335355,0.2156968392432063,1.3146645688475984,1.2323076568419877,1.5771608140919484,0.3,3,2,5,83.14007568359375,,"(0, 0.05)",,"(3, 2)"
STLSQ,1.2866648980094317,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.5734519476971793,-0.05061234588484037,0.01827849294252679,-5.550276829659635,0.6110388522957264,1.603011794751648,1.2072758268972117,1.1159034517964956,0.23076923076923078,3.0,5.0,5.0,1.7578110694885254,0.15998587196060574,0.05,,
E-STLSQ,1.2866648980094317,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",-1.9920203160146701,-1.8820812291015647,0.05341450730019886,-0.81866089749447,0.3509958152618823,1.050560138638004,1.0078890273941197,1.0,0.0,0.0,1.0,8.0,8.735866069793701,0.18420699693267165,0.05,,
SR3,1.2866648980094317,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.5820860138919517,-8547649.141529636,150809.2880212111,-1888751931108.4766,272137.9203528265,4567794.424099301,2791879.569192816,3206329.8970036944,0.19047619047619047,8.0,34.0,0.0,1.269759178161621,0.00031622776601683794,,0.03333333333333333,
SSR,1.2866648980094317,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.4729126570175981,0.1461434927465745,0.014275501298342215,-0.9122554560121854,0.34934150832904476,1.31803517510537,1.2105329939494698,1.9136371565326507,0.18181818181818182,2,3,6,0.2837069034576416,,"(0.2, 0.2)",,
MIOSR,1.2866648980094317,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.5742968011940319,0.15706081369237695,0.014062220954299515,-2.217347518872013,0.45979179042301893,1.7838744698482545,1.4717432934073058,1.6269283521590197,0.08333333333333333,1,4,7,86.86949491500854,,"(0.01, 0)",,"(3, 2)"
STLSQ,1.6555065597696215,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.45240307982211253,-0.16668898722449,0.019426365789983253,-0.47008124658175754,0.31703506338256343,0.9510946426177529,0.9843491145446827,1.3026355701293535,0.2222222222222222,2.0,1.0,6.0,1.83579421043396,0.32374575428176433,0.05,,
E-STLSQ,1.6555065597696215,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.20363195904767722,-0.31523999382766654,0.022519358379631704,-0.5460352919736545,0.32362773097930414,0.8946019396097653,0.9233435134613044,1.0,0.1111111111111111,1.0,1.0,7.0,9.571303129196167,0.32374575428176433,0.05,,
SR3,1.6555065597696215,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.6516976849357132,-445367.032620142,8719.934900748769,-5164316669.853221,15194.149836205423,292158.8281435104,162334.54647450746,150974.76068224962,0.19047619047619047,8.0,34.0,0.0,1.3239305019378662,0.00031622776601683794,,0.03333333333333333,
SSR,1.6555065597696215,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.642592497588445,0.18411245316449576,0.013975366799823662,-0.8681595411753686,0.3470283812777945,1.5514287347935756,1.2813657325065841,1.539462889781842,0.16666666666666666,2,4,6,0.28729248046875,,"(0.05, 0.2)",,
MIOSR,1.6555065597696215,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.6467640706103308,0.21037653530849743,0.013406253768334344,-1.1462514176375094,0.378582975008286,1.2636690143461375,1.0390690263682938,1.0,0.25,3,4,5,82.49473738670349,,"(0, 0.2)",,"(3, 4)"
