Method,Duration,Sample Rate,Noise,Pts/Domain,# Domains,Seed,x0,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime,threshold,alpha,nu,group_sparsity
STLSQ,50,0.002,0.01,400,2400,15,"(0.6976353945371574, -1.926624450474009)",0.9994720005256742,0.10794775734187464,0.07551444422904743,0.0711743203204974,0.07790833361341765,0.6666666666666666,4.0,2.0,0.0,5.399434328079224,22.788026464072555,0.01,,
SSR,50,0.002,0.01,400,2400,15,"(0.6976353945371574, -1.926624450474009)",0.9999680773476592,0.025803381147301914,0.0005660596782711136,0.0005536384179924169,0.0006113779636893746,1.0,4,0,0,0.24663710594177246,,"(0.001, 0.0)",,
SR3,50,0.002,0.01,400,2400,15,"(0.6976353945371574, -1.926624450474009)",0.9833345624926068,0.6055560044473265,0.2331646003639423,0.23896686821883145,0.30215077793295464,0.5714285714285714,4.0,3.0,0.0,183.70938968658447,3.833801150963311,,0.3333333333333333,
E-STLSQ,50,0.002,0.01,400,2400,15,"(0.6976353945371574, -1.926624450474009)",0.9995999927299206,0.09392583505700094,0.06714320363324112,0.06324933475132047,0.06893379465838241,0.6666666666666666,4.0,2.0,0.0,9.041531801223755,32.0,0.01,,
MIOSR,50,0.002,0.01,400,2400,15,"(0.6976353945371574, -1.926624450474009)",0.999968098006153,0.025802291448586655,0.00047407620893130664,0.0005193785020696677,0.0006113779636948516,1.0,4,0,0,54.81412720680237,,"(0, 0)",,"(1, 3)"
STLSQ,50,0.002,0.014273992181725854,400,2400,15,"(0.6976353945371574, -1.926624450474009)",0.9993702827885922,0.11791435164743266,0.08062289189559237,0.07607955621538608,0.08360037151104471,0.6666666666666666,4.0,2.0,0.0,5.317013740539551,22.788026464072555,0.01,,
SSR,50,0.002,0.014273992181725854,400,2400,15,"(0.6976353945371574, -1.926624450474009)",0.9850527288981468,0.575956214368336,0.32831512900102644,0.28548844748866636,0.2728349625713949,0.5714285714285714,4,3,0,0.2445516586303711,,"(0.001, 1e-05)",,
SR3,50,0.002,0.014273992181725854,400,2400,15,"(0.6976353945371574, -1.926624450474009)",0.9641009467524391,0.8889571302946626,0.32819020484440553,0.3328787713317534,0.4029316416106452,0.5714285714285714,4.0,3.0,0.0,196.40372514724731,5.383600770529424,,0.3333333333333333,
E-STLSQ,50,0.002,0.014273992181725854,400,2400,15,"(0.6976353945371574, -1.926624450474009)",0.9995137900572848,0.10358008265315295,0.07218241441553913,0.06811410876879735,0.07472815372775488,0.6666666666666666,4.0,2.0,0.0,9.002939701080322,32.0,0.01,,
MIOSR,50,0.002,0.014273992181725854,400,2400,15,"(0.6976353945371574, -1.926624450474009)",0.9999687544117905,0.025506391406635808,0.0007506365727990016,0.0009389365498506395,0.001218985584748496,1.0,4,0,0,55.49922227859497,,"(0, 0)",,"(1, 3)"
STLSQ,50,0.002,0.02037468528039708,400,2400,15,"(0.6976353945371574, -1.926624450474009)",0.9993110202695263,0.12335939930803552,0.08135582342729603,0.07698675984305166,0.0853471944233443,0.6666666666666666,4.0,2.0,0.0,5.215658187866211,22.788026464072555,0.01,,
SSR,50,0.002,0.02037468528039708,400,2400,15,"(0.6976353945371574, -1.926624450474009)",0.9809842070119601,0.6489225903453597,0.27570434596735494,0.27039015762936014,0.28126129069723826,0.5714285714285714,4,3,0,0.24115681648254395,,"(0.001, 1e-05)",,
SR3,50,0.002,0.02037468528039708,400,2400,15,"(0.6976353945371574, -1.926624450474009)",0.9472769702441914,1.0774045402236307,0.39553714761778636,0.3973665501879255,0.47284365611278883,0.42857142857142855,3.0,3.0,1.0,213.07834553718567,27.0040153838336,,0.03333333333333333,
E-STLSQ,50,0.002,0.02037468528039708,400,2400,15,"(0.6976353945371574, -1.926624450474009)",0.9994340225134289,0.11180987226055808,0.07259080326749442,0.06862452991483836,0.07590928996474755,0.6666666666666666,4.0,2.0,0.0,8.887503623962402,32.0,0.01,,
MIOSR,50,0.002,0.02037468528039708,400,2400,15,"(0.6976353945371574, -1.926624450474009)",0.9999685954492781,0.02557489742858201,0.0014882346912079153,0.001808763753282585,0.0024426069073032095,1.0,4,0,0,55.63999962806702,,"(0, 0)",,"(1, 3)"
STLSQ,50,0.002,0.029082809839751277,400,2400,15,"(0.6976353945371574, -1.926624450474009)",0.9992740312246756,0.12665595162348287,0.07743760041593785,0.073812497806464,0.0834808092965827,0.6666666666666666,4.0,2.0,0.0,5.212264776229858,22.788026464072555,0.01,,
SSR,50,0.002,0.029082809839751277,400,2400,15,"(0.6976353945371574, -1.926624450474009)",0.9760380875428,0.7293603821086343,0.48756921655350505,0.42862362069837606,0.4319737473308484,0.5714285714285714,4,3,0,0.24351859092712402,,"(0.001, 0.001)",,
