Method,Duration,Sample Rate,Noise,Pts/Domain,# Domains,Seed,x0,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime,threshold,alpha,nu,group_sparsity
STLSQ,50,0.002,0.01,400,2400,30,"(0.28828707213666993, -0.7155090621893008)",0.9980148497047768,0.2143650037758486,0.08464495590189516,0.08165175608947085,0.0893384167625576,0.5,4.0,4.0,0.0,5.275740146636963,11.556336753650719,0.05,,
SSR,50,0.002,0.01,400,2400,30,"(0.28828707213666993, -0.7155090621893008)",0.9999656646083436,0.02756055866356527,0.0006325010203838827,0.0006392211099047728,0.0008001984866727874,1.0,4,0,0,0.26717400550842285,,"(0.001, 0.0)",,
SR3,50,0.002,0.01,400,2400,30,"(0.28828707213666993, -0.7155090621893008)",0.9801699325838532,0.6761002258785687,0.3406122861531206,0.33108211893538364,0.42936412508007304,0.5714285714285714,4.0,3.0,0.0,194.05710339546204,3.235250789349133,,0.3333333333333333,
E-STLSQ,50,0.002,0.01,400,2400,30,"(0.28828707213666993, -0.7155090621893008)",0.9978352498103009,0.2238563599628633,0.08838876973592122,0.08533220329245818,0.09330072419838564,0.5,4.0,4.0,0.0,9.498638153076172,12.58001052815192,0.05,,
MIOSR,50,0.002,0.01,400,2400,30,"(0.28828707213666993, -0.7155090621893008)",0.9999658168078904,0.027553741916479753,0.0005076297276775665,0.0005963563759774463,0.0008001984867237096,1.0,4,0,0,57.46244931221008,,"(0, 0)",,"(1, 3)"
STLSQ,50,0.002,0.014273992181725854,400,2400,30,"(0.28828707213666993, -0.7155090621893008)",0.9946755456016533,0.35114451613003905,0.13818580655061488,0.13336964779440386,0.14575808359843825,0.5,4.0,4.0,0.0,5.273245573043823,11.556336753650719,0.05,,
SSR,50,0.002,0.014273992181725854,400,2400,30,"(0.28828707213666993, -0.7155090621893008)",0.9999666898971743,0.027113799958194608,0.0010392938016559605,0.001076511772729769,0.0013535342583403203,1.0,4,0,0,0.25176239013671875,,"(0.001, 0.0)",,
SR3,50,0.002,0.014273992181725854,400,2400,30,"(0.28828707213666993, -0.7155090621893008)",0.9665749058524857,0.8776854371567264,0.39634532509508236,0.38465995264005143,0.5052167275641937,0.5714285714285714,4.0,3.0,0.0,163.75457406044006,4.543088688368595,,0.3333333333333333,
E-STLSQ,50,0.002,0.014273992181725854,400,2400,30,"(0.28828707213666993, -0.7155090621893008)",0.9942107601117268,0.3661504439036608,0.1441417960969937,0.13914248361952747,0.1519824642374251,0.5,4.0,4.0,0.0,9.037410259246826,12.58001052815192,0.05,,
MIOSR,50,0.002,0.014273992181725854,400,2400,30,"(0.28828707213666993, -0.7155090621893008)",0.9999668558881691,0.027106232981438903,0.0009144242123402813,0.001050977464673349,0.0013535342583613403,1.0,4,0,0,57.060532569885254,,"(0, 0)",,"(1, 3)"
STLSQ,50,0.002,0.02037468528039708,400,2400,30,"(0.28828707213666993, -0.7155090621893008)",0.9927803543661314,0.40882214584953314,0.26610968037880345,0.2501549576420656,0.27285387768579444,0.6666666666666666,4.0,2.0,0.0,5.287184000015259,22.788026464072555,0.01,,
SSR,50,0.002,0.02037468528039708,400,2400,30,"(0.28828707213666993, -0.7155090621893008)",0.9822102367409908,0.6421216816037429,0.25314412313339146,0.2507237727829551,0.26585026891928903,0.4444444444444444,4,5,0,0.2498490810394287,,"(0.001, 1e-05)",,
SR3,50,0.002,0.02037468528039708,400,2400,30,"(0.28828707213666993, -0.7155090621893008)",0.9408629687041316,1.1675530518168498,0.46161275859472084,0.4621137754605874,0.5956792045623089,0.5714285714285714,4.0,3.0,0.0,131.22056245803833,6.379615113094513,,0.1,
E-STLSQ,50,0.002,0.02037468528039708,400,2400,30,"(0.28828707213666993, -0.7155090621893008)",0.9932431964846422,0.3954673320583028,0.25735213792570744,0.24227782113269558,0.2657603208142711,0.6666666666666666,4.0,2.0,0.0,8.94525408744812,22.788026464072555,0.01,,
MIOSR,50,0.002,0.02037468528039708,400,2400,30,"(0.28828707213666993, -0.7155090621893008)",0.999968697693259,0.026292299038830725,0.0016917051675175154,0.0019759902081374144,0.002362314877953242,1.0,4,0,0,58.48854327201843,,"(0, 0)",,"(1, 3)"
STLSQ,50,0.002,0.029082809839751277,400,2400,30,"(0.28828707213666993, -0.7155090621893008)",0.9924160995007476,0.41902726788559513,0.2679585349952133,0.25204263849821157,0.27607422305778845,0.6666666666666666,4.0,2.0,0.0,5.295092344284058,22.788026464072555,0.01,,
