Method,Duration,Sample Rate,Noise,Pts/Domain,# Domains,Seed,x0,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime,threshold,alpha,nu,group_sparsity
STLSQ,50,0.002,0.01,400,2400,11,"(-0.6394606222464616, -2.8831485510742523)",0.9999610579851337,0.02857417316386011,0.025584983871823674,0.024136820767716335,0.026653065565036993,0.6666666666666666,4.0,2.0,0.0,5.533826112747192,24.80661639972334,0.01,,
SSR,50,0.002,0.01,400,2400,11,"(-0.6394606222464616, -2.8831485510742523)",0.9805250719761901,0.6502670040465015,0.40087371693572493,0.343425890581417,0.32506929801591583,0.5,4,4,0,0.262434720993042,,"(1e-05, 1e-05)",,
SR3,50,0.002,0.01,400,2400,11,"(-0.6394606222464616, -2.8831485510742523)",0.9607383846264493,0.8986961851113551,0.37385100383325437,0.3167069697453816,0.32105050208510394,0.25,4.0,12.0,0.0,130.62308168411255,0.5,,0.03333333333333333,
E-STLSQ,50,0.002,0.01,400,2400,11,"(-0.6394606222464616, -2.8831485510742523)",0.9999811774011373,0.01945833852564654,0.01423642181301428,0.013427448562584493,0.01482591331730602,0.6666666666666666,4.0,2.0,0.0,8.998191118240356,32.0,0.01,,
MIOSR,50,0.002,0.01,400,2400,11,"(-0.6394606222464616, -2.8831485510742523)",0.9999663306115301,0.026640906033785394,0.00062400403102017,0.0006559945027248148,0.0007211471282804934,1.0,4,0,0,55.38140082359314,,"(0, 0)",,"(1, 3)"
STLSQ,50,0.002,0.014273992181725854,400,2400,11,"(-0.6394606222464616, -2.8831485510742523)",0.9999536612021837,0.031261981467051635,0.027561594801690542,0.02610071759670026,0.02923412820281479,0.6666666666666666,4.0,2.0,0.0,5.214835166931152,24.80661639972334,0.01,,
SSR,50,0.002,0.014273992181725854,400,2400,11,"(-0.6394606222464616, -2.8831485510742523)",0.9781289332952822,0.6887780518056017,0.37750223907261665,0.3321224907514108,0.31755211925148874,0.5,4,4,0,0.24077177047729492,,"(1e-05, 1e-05)",,
SR3,50,0.002,0.014273992181725854,400,2400,11,"(-0.6394606222464616, -2.8831485510742523)",0.9147971356769853,1.3431558551158773,0.5355821842666202,0.46888915922432955,0.4724274033934949,0.25,4.0,12.0,0.0,149.73882627487183,0.5,,0.03333333333333333,
E-STLSQ,50,0.002,0.014273992181725854,400,2400,11,"(-0.6394606222464616, -2.8831485510742523)",0.9999787782849925,0.02074221796785419,0.01610021189514698,0.015182660262609105,0.016911228328188994,0.6666666666666666,4.0,2.0,0.0,8.671034097671509,32.0,0.01,,
MIOSR,50,0.002,0.014273992181725854,400,2400,11,"(-0.6394606222464616, -2.8831485510742523)",0.9999665492520149,0.026548300237820954,0.0006176523694564895,0.0006528339557781476,0.0006648294296677607,1.0,4,0,0,55.54447102546692,,"(0, 0)",,"(1, 3)"
