Method,Duration,Sample Rate,Noise,Pts/Domain,# Domains,Seed,x0,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime,threshold,alpha,nu,group_sparsity
STLSQ,50,0.002,0.01,400,2400,38,"(-0.2304537609665125, 2.158247079543714)",0.9844011043338522,0.5848157893235577,0.3512724049275959,0.33066699900651797,0.3609349518914117,0.6666666666666666,4.0,2.0,0.0,5.381748914718628,24.80661639972334,0.01,,
SSR,50,0.002,0.01,400,2400,38,"(-0.2304537609665125, 2.158247079543714)",0.9752470776513077,0.7372752637130995,0.4914859444918496,0.4309963838128469,0.43115085136309445,0.5714285714285714,4,3,0,0.2585296630859375,,"(1e-05, 0.001)",,
SR3,50,0.002,0.01,400,2400,38,"(-0.2304537609665125, 2.158247079543714)",0.9722865206219753,0.7792813185701692,0.3158080889003033,0.304068584648608,0.3333333333333333,0.5,3.0,2.0,1.0,93.7603759765625,27.0040153838336,,0.03333333333333333,
E-STLSQ,50,0.002,0.01,400,2400,38,"(-0.2304537609665125, 2.158247079543714)",0.984615146375692,0.5807624852003496,0.35420976045297303,0.3332014365826835,0.36267114060641537,0.6666666666666666,4.0,2.0,0.0,8.97318720817566,24.80661639972334,0.01,,
MIOSR,50,0.002,0.01,400,2400,38,"(-0.2304537609665125, 2.158247079543714)",0.9999716510634282,0.024479933138388203,0.00016184534446395116,0.0002555378447620732,0.00037911813759346674,1.0,4,0,0,52.70594096183777,,"(0, 0)",,"(1, 3)"
STLSQ,50,0.002,0.014273992181725854,400,2400,38,"(-0.2304537609665125, 2.158247079543714)",0.9832066727087344,0.6067921881451147,0.36584797121524476,0.3442530280650881,0.37531090040317117,0.6666666666666666,4.0,2.0,0.0,5.263598680496216,24.80661639972334,0.01,,
SSR,50,0.002,0.014273992181725854,400,2400,38,"(-0.2304537609665125, 2.158247079543714)",0.9751264915361763,0.7390680700863307,0.49196866452937627,0.43142699946064955,0.4318843485282366,0.5714285714285714,4,3,0,0.24757933616638184,,"(1e-05, 0.001)",,
SR3,50,0.002,0.014273992181725854,400,2400,38,"(-0.2304537609665125, 2.158247079543714)",0.9182657879713014,1.3379992944188177,0.5284965885175802,0.4812244012681852,0.5481421910990213,0.5714285714285714,4.0,3.0,0.0,44.20572757720947,9.752109233635803,,0.1,
E-STLSQ,50,0.002,0.014273992181725854,400,2400,38,"(-0.2304537609665125, 2.158247079543714)",0.9835364829226423,0.6007978131318554,0.3639310754414523,0.3424684990118849,0.373270717611192,0.6666666666666666,4.0,2.0,0.0,8.745330095291138,27.0040153838336,0.01,,
MIOSR,50,0.002,0.014273992181725854,400,2400,38,"(-0.2304537609665125, 2.158247079543714)",0.9999725721432006,0.024054679645462047,0.00029122083978505575,0.0003361452179808447,0.00041519194965703815,1.0,4,0,0,55.5032160282135,,"(0, 0)",,"(1, 3)"
STLSQ,50,0.002,0.02037468528039708,400,2400,38,"(-0.2304537609665125, 2.158247079543714)",0.9825701399002884,0.61818506006578,0.3751855665212018,0.3527708482466548,0.383643992145456,0.6666666666666666,4.0,2.0,0.0,5.278975963592529,24.80661639972334,0.01,,
SSR,50,0.002,0.02037468528039708,400,2400,38,"(-0.2304537609665125, 2.158247079543714)",0.9748648630415433,0.7429439379149921,0.49307403158537283,0.4323686569439666,0.43345545334697616,0.5714285714285714,4,3,0,0.2518770694732666,,"(0.001, 0.001)",,
SR3,50,0.002,0.02037468528039708,400,2400,38,"(-0.2304537609665125, 2.158247079543714)",0.8662834644846384,1.7112186534193818,0.6603898439857423,0.5982246482944468,0.6786774435690314,0.5714285714285714,4.0,3.0,0.0,152.56248092651367,12.58001052815192,,0.03333333333333333,
E-STLSQ,50,0.002,0.02037468528039708,400,2400,38,"(-0.2304537609665125, 2.158247079543714)",0.9829453314171822,0.61148558365609,0.37331669755916264,0.3510109702476775,0.3815410021903192,0.6666666666666666,4.0,2.0,0.0,8.761013746261597,27.0040153838336,0.01,,
MIOSR,50,0.002,0.02037468528039708,400,2400,38,"(-0.2304537609665125, 2.158247079543714)",0.9999740405946052,0.023361085042615234,0.0006936422683144761,0.0009780043579829874,0.0014355815919374255,1.0,4,0,0,57.975738286972046,,"(0, 0)",,"(1, 3)"
STLSQ,50,0.002,0.029082809839751277,400,2400,38,"(-0.2304537609665125, 2.158247079543714)",0.9823387544681967,0.6222757574797895,0.38266858202025644,0.35927934012124835,0.3887327804853717,0.6666666666666666,4.0,2.0,0.0,5.240336894989014,24.80661639972334,0.01,,
SSR,50,0.002,0.029082809839751277,400,2400,38,"(-0.2304537609665125, 2.158247079543714)",0.9743019573782,0.751214749300322,0.49521385362225423,0.4343825419400535,0.4367605902328296,0.5714285714285714,4,3,0,0.24987435340881348,,"(0.001, 0.001)",,
