Method,Duration,Sample Rate,Noise,Seed,Dim,x0,runtime
Preprocessing,0.5,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.004166126251220703
E-STLSQ,0.5,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.17309927940368652
STLSQ,0.5,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.004059553146362305
SSR,0.5,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.026968002319335938
SR3,0.5,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",1.882606029510498
MIOSR,0.5,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.9515907764434814
MIOSR-Opt,0.5,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.9144241809844971
MIOSR-Build,0.5,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.033895015716552734
Preprocessing,0.8277532798848107,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.003256559371948242
E-STLSQ,0.8277532798848107,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.18474388122558594
STLSQ,0.8277532798848107,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.004285573959350586
SSR,0.8277532798848107,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.028020143508911133
SR3,0.8277532798848107,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",1.9558217525482178
MIOSR,0.8277532798848107,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",1.7041749954223633
MIOSR-Opt,0.8277532798848107,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",1.683075189590454
MIOSR-Build,0.8277532798848107,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.018442392349243164
Preprocessing,1.3703509847201238,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.003447294235229492
E-STLSQ,1.3703509847201238,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.20984911918640137
STLSQ,1.3703509847201238,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.0047643184661865234
SSR,1.3703509847201238,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.02974557876586914
SR3,1.3703509847201238,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.0029430389404296875
MIOSR,1.3703509847201238,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",1.4230985641479492
MIOSR-Opt,1.3703509847201238,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",1.402134656906128
MIOSR-Build,1.3703509847201238,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.0181427001953125
Preprocessing,2.268625044390925,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.003977537155151367
E-STLSQ,2.268625044390925,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.25507020950317383
STLSQ,2.268625044390925,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.0054357051849365234
SSR,2.268625044390925,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.03199958801269531
SR3,2.268625044390925,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.0031180381774902344
MIOSR,2.268625044390925,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",1.3033850193023682
MIOSR-Opt,2.268625044390925,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",1.2822730541229248
MIOSR-Build,2.268625044390925,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.01815938949584961
Preprocessing,3.7557236426468257,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.004712104797363281
E-STLSQ,3.7557236426468257,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.3230884075164795
STLSQ,3.7557236426468257,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.00833439826965332
SSR,3.7557236426468257,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.03713059425354004
SR3,3.7557236426468257,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.003893613815307617
MIOSR,3.7557236426468257,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.9810519218444824
MIOSR-Opt,3.7557236426468257,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.9587891101837158
MIOSR-Build,3.7557236426468257,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.018391132354736328
Preprocessing,6.217625127083679,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.006860256195068359
E-STLSQ,6.217625127083679,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.43700361251831055
STLSQ,6.217625127083679,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.00906682014465332
SSR,6.217625127083679,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.04468846321105957
SR3,6.217625127083679,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.005125522613525391
MIOSR,6.217625127083679,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.9215748310089111
MIOSR-Opt,6.217625127083679,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.8977160453796387
MIOSR-Build,6.217625127083679,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.019107818603515625
Preprocessing,10.293319184075452,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.008732795715332031
E-STLSQ,10.293319184075452,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.8533010482788086
STLSQ,10.293319184075452,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.02045750617980957
SSR,10.293319184075452,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.05896329879760742
SR3,10.293319184075452,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",3.6655147075653076
MIOSR,10.293319184075452,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.8298041820526123
MIOSR-Opt,10.293319184075452,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.8035352230072021
MIOSR-Build,10.293319184075452,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.018866777420043945
Preprocessing,17.040657431039403,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.01101541519165039
E-STLSQ,17.040657431039403,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",1.270392656326294
STLSQ,17.040657431039403,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.028669357299804688
SSR,17.040657431039403,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.08216094970703125
SR3,17.040657431039403,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",4.883446455001831
MIOSR,17.040657431039403,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.9038310050964355
MIOSR-Opt,17.040657431039403,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.8704149723052979
MIOSR-Build,17.040657431039403,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.021210670471191406
Preprocessing,28.210920159872682,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.017720460891723633
E-STLSQ,28.210920159872682,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",2.0314481258392334
STLSQ,28.210920159872682,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.04689598083496094
SSR,28.210920159872682,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.11919999122619629
SR3,28.210920159872682,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",6.852029323577881
MIOSR,28.210920159872682,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.8602080345153809
MIOSR-Opt,28.210920159872682,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.8221397399902344
MIOSR-Build,28.210920159872682,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.02211284637451172
Preprocessing,46.70336338180629,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.026674270629882812
E-STLSQ,46.70336338180629,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",3.171020269393921
STLSQ,46.70336338180629,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.07412576675415039
SSR,46.70336338180629,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.21980953216552734
SR3,46.70336338180629,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",10.227386951446533
MIOSR,46.70336338180629,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.8341751098632812
MIOSR-Opt,46.70336338180629,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.7837424278259277
MIOSR-Build,46.70336338180629,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.02414250373840332
Preprocessing,77.31772444188466,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.0428006649017334
E-STLSQ,77.31772444188466,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",5.106028079986572
STLSQ,77.31772444188466,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.10191869735717773
SSR,77.31772444188466,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.3190786838531494
SR3,77.31772444188466,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",17.209489345550537
MIOSR,77.31772444188466,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.9212796688079834
MIOSR-Opt,77.31772444188466,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.8472371101379395
MIOSR-Build,77.31772444188466,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.0279386043548584
Preprocessing,128.0,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.0727989673614502
E-STLSQ,128.0,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",8.56983494758606
STLSQ,128.0,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.16939306259155273
SSR,128.0,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.5119917392730713
SR3,128.0,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",29.856258153915405
MIOSR,128.0,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.8705754280090332
MIOSR-Opt,128.0,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.7628803253173828
MIOSR-Build,128.0,0.002,0.002,20,21,"(-1.019702788503497, -0.6304474628147155)",0.03519010543823242
