Method,Duration,Sample Rate,Noise,Seed,Dim,x0,runtime
Preprocessing,0.5,0.002,0.002,3,21,"(-1.0483130498069346, -0.3464375141894311)",0.005041360855102539
E-STLSQ,0.5,0.002,0.002,3,21,"(-1.0483130498069346, -0.3464375141894311)",0.1992642879486084
STLSQ,0.5,0.002,0.002,3,21,"(-1.0483130498069346, -0.3464375141894311)",0.005421876907348633
SSR,0.5,0.002,0.002,3,21,"(-1.0483130498069346, -0.3464375141894311)",0.029169321060180664
SR3,0.5,0.002,0.002,3,21,"(-1.0483130498069346, -0.3464375141894311)",1.9755339622497559
MIOSR,0.5,0.002,0.002,3,21,"(-1.0483130498069346, -0.3464375141894311)",0.944148063659668
MIOSR-Opt,0.5,0.002,0.002,3,21,"(-1.0483130498069346, -0.3464375141894311)",0.9008369445800781
MIOSR-Build,0.5,0.002,0.002,3,21,"(-1.0483130498069346, -0.3464375141894311)",0.039052724838256836
Preprocessing,0.8277532798848107,0.002,0.002,3,21,"(-1.0483130498069346, -0.3464375141894311)",0.003932476043701172
E-STLSQ,0.8277532798848107,0.002,0.002,3,21,"(-1.0483130498069346, -0.3464375141894311)",0.2542445659637451
STLSQ,0.8277532798848107,0.002,0.002,3,21,"(-1.0483130498069346, -0.3464375141894311)",0.007982015609741211
SSR,0.8277532798848107,0.002,0.002,3,21,"(-1.0483130498069346, -0.3464375141894311)",0.038004398345947266
SR3,0.8277532798848107,0.002,0.002,3,21,"(-1.0483130498069346, -0.3464375141894311)",2.069798231124878
MIOSR,0.8277532798848107,0.002,0.002,3,21,"(-1.0483130498069346, -0.3464375141894311)",1.3323922157287598
MIOSR-Opt,0.8277532798848107,0.002,0.002,3,21,"(-1.0483130498069346, -0.3464375141894311)",1.3078300952911377
MIOSR-Build,0.8277532798848107,0.002,0.002,3,21,"(-1.0483130498069346, -0.3464375141894311)",0.02110004425048828
Preprocessing,1.3703509847201238,0.002,0.002,3,21,"(-1.0483130498069346, -0.3464375141894311)",0.003587961196899414
E-STLSQ,1.3703509847201238,0.002,0.002,3,21,"(-1.0483130498069346, -0.3464375141894311)",0.22788763046264648
STLSQ,1.3703509847201238,0.002,0.002,3,21,"(-1.0483130498069346, -0.3464375141894311)",0.0055119991302490234
SSR,1.3703509847201238,0.002,0.002,3,21,"(-1.0483130498069346, -0.3464375141894311)",0.032227277755737305
SR3,1.3703509847201238,0.002,0.002,3,21,"(-1.0483130498069346, -0.3464375141894311)",0.0031807422637939453
MIOSR,1.3703509847201238,0.002,0.002,3,21,"(-1.0483130498069346, -0.3464375141894311)",0.9575366973876953
MIOSR-Opt,1.3703509847201238,0.002,0.002,3,21,"(-1.0483130498069346, -0.3464375141894311)",0.9348461627960205
MIOSR-Build,1.3703509847201238,0.002,0.002,3,21,"(-1.0483130498069346, -0.3464375141894311)",0.019801616668701172
