Method,Duration,Sample Rate,Noise,Seed,Dim,x0,runtime
Preprocessing,0.5,0.002,0.002,19,21,"(0.9248831315070849, 0.6503105130198787)",0.0045549869537353516
E-STLSQ,0.5,0.002,0.002,19,21,"(0.9248831315070849, 0.6503105130198787)",0.1907813549041748
STLSQ,0.5,0.002,0.002,19,21,"(0.9248831315070849, 0.6503105130198787)",0.004692554473876953
SSR,0.5,0.002,0.002,19,21,"(0.9248831315070849, 0.6503105130198787)",0.028869152069091797
SR3,0.5,0.002,0.002,19,21,"(0.9248831315070849, 0.6503105130198787)",1.9555702209472656
MIOSR,0.5,0.002,0.002,19,21,"(0.9248831315070849, 0.6503105130198787)",1.9432425498962402
MIOSR-Opt,0.5,0.002,0.002,19,21,"(0.9248831315070849, 0.6503105130198787)",1.9053120613098145
MIOSR-Build,0.5,0.002,0.002,19,21,"(0.9248831315070849, 0.6503105130198787)",0.034449100494384766
Preprocessing,0.8277532798848107,0.002,0.002,19,21,"(0.9248831315070849, 0.6503105130198787)",0.0036003589630126953
E-STLSQ,0.8277532798848107,0.002,0.002,19,21,"(0.9248831315070849, 0.6503105130198787)",0.21784567832946777
STLSQ,0.8277532798848107,0.002,0.002,19,21,"(0.9248831315070849, 0.6503105130198787)",0.003041505813598633
SSR,0.8277532798848107,0.002,0.002,19,21,"(0.9248831315070849, 0.6503105130198787)",0.029978513717651367
SR3,0.8277532798848107,0.002,0.002,19,21,"(0.9248831315070849, 0.6503105130198787)",2.042975664138794
MIOSR,0.8277532798848107,0.002,0.002,19,21,"(0.9248831315070849, 0.6503105130198787)",1.1281399726867676
MIOSR-Opt,0.8277532798848107,0.002,0.002,19,21,"(0.9248831315070849, 0.6503105130198787)",1.1054036617279053
MIOSR-Build,0.8277532798848107,0.002,0.002,19,21,"(0.9248831315070849, 0.6503105130198787)",0.019835710525512695
Preprocessing,1.3703509847201238,0.002,0.002,19,21,"(0.9248831315070849, 0.6503105130198787)",0.0034165382385253906
E-STLSQ,1.3703509847201238,0.002,0.002,19,21,"(0.9248831315070849, 0.6503105130198787)",0.23069405555725098
STLSQ,1.3703509847201238,0.002,0.002,19,21,"(0.9248831315070849, 0.6503105130198787)",0.003383159637451172
