Method,Duration,Sample Rate,Noise,Seed,x0,insample_r2,validation_r2,validation_mse,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime,threshold,alpha,nu,group_sparsity
STLSQ,0.25,0.002,0.002,46,"(2.838323508057506, 1.3483370605273013, 17.471292745472468)",0.9794553703931886,0.9173552352002335,77.50747486634084,-4.720785751308616,155.67046473247237,0.46104282317346346,0.42292724865700115,0.34255406884997114,0.5,5.0,3.0,2.0,1.3624601364135742,0.9102981779915218,0.2,,
E-STLSQ,0.25,0.002,0.002,46,"(2.838323508057506, 1.3483370605273013, 17.471292745472468)",0.3763569591493243,-7.870854368746019,2397.715105661278,-84.0911605752643,606.8856940360804,3.9763889767265868,2.7796712422472867,2.426114877642573,0.375,6.0,9.0,1.0,7.0395612716674805,0.29470517025518095,0.2,,
SR3,0.25,0.002,0.002,46,"(2.838323508057506, 1.3483370605273013, 17.471292745472468)",0.3221189522267348,-8.8037787565072,13021.990975693936,-0.3036460464694902,73.45485688372361,1.910232393942479,1.3183596590346711,1.0,0.1,1.0,3.0,6.0,8.696967363357544,15.627069765469948,,0.03333333333333333,
SSR,0.25,0.002,0.002,46,"(2.838323508057506, 1.3483370605273013, 17.471292745472468)",0.979390174024264,0.9250991564511458,50.52884278850349,-4.377007505889717,151.04674700952864,0.29725195028332985,0.32569188130655113,0.3427227489432327,0.5454545454545454,6,4,1,0.10816669464111328,,"(0.2, 0.2, 0.05)",,
MIOSR,0.25,0.002,0.002,46,"(2.838323508057506, 1.3483370605273013, 17.471292745472468)",0.9795865323304532,0.9297190862567515,33.534020987629006,0.9903683134554386,6.412355667237504,0.05959865241908735,0.06917469055674562,0.06898937619579597,0.75,6,1,1,121.53053212165833,,"(0, 0.001, 0)",,"(2, 3, 2)"
STLSQ,0.3513325357035531,0.002,0.002,46,"(2.838323508057506, 1.3483370605273013, 17.471292745472468)",0.9803361098833564,0.6162798120487595,2864.591527009469,-2.488754916311096,130.6531600818755,5.5989844588114295,6.1390281267095475,6.737308368013437,0.25,4.0,9.0,3.0,1.3891024589538574,1.0481131341546852,0.05,,
E-STLSQ,0.3513325357035531,0.002,0.002,46,"(2.838323508057506, 1.3483370605273013, 17.471292745472468)",-0.4276722525631676,-2.230282491993289,7790.475563150742,-1.2047261085287786,101.81879812416116,1.1968899240788111,0.9628586717652794,0.8667950858651395,0.3076923076923077,4.0,6.0,3.0,7.23369836807251,0.9102981779915218,0.05,,
SR3,0.3513325357035531,0.002,0.002,46,"(2.838323508057506, 1.3483370605273013, 17.471292745472468)",-0.5282431316429063,-3.998998420693345,10872.560820170826,-0.2759284962129255,76.11814946593668,1.2038346375165585,1.0328042887068176,1.0,0.1111111111111111,1.0,2.0,6.0,13.567222595214844,13.572287829716537,,0.1,
SSR,0.3513325357035531,0.002,0.002,46,"(2.838323508057506, 1.3483370605273013, 17.471292745472468)",0.9797374060849829,0.9903597169520135,25.229015762298513,0.9518477064908957,14.358849783233117,0.523957453787894,0.5824318549601782,0.6125762029370144,0.7,7,3,0,0.1082613468170166,,"(0.2, 0.001, 0.2)",,
MIOSR,0.3513325357035531,0.002,0.002,46,"(2.838323508057506, 1.3483370605273013, 17.471292745472468)",0.9797196597332812,0.9883105871244472,29.18838230515416,0.9971561653170428,3.323574730242606,0.06822246509368327,0.0709000223916681,0.06949091853883171,0.75,6,1,1,127.22135210037231,,"(0, 0, 0)",,"(2, 3, 2)"
STLSQ,0.4937382025755537,0.002,0.002,46,"(2.838323508057506, 1.3483370605273013, 17.471292745472468)",0.9961767794429646,0.9543479894529514,18.925377780679238,0.9999462079391621,0.5179584056476316,0.002063263687268191,0.0017330940101198142,0.0013703254666640621,1.0,7.0,0.0,0.0,1.4487218856811523,0.6866488450043002,0.05,,
