Method,Duration,Sample Rate,Noise,Seed,Dim,x0,runtime
Preprocessing,0.5,0.002,0.002,19,462,"(0.8400619459411102, 0.3200654919587338, 0.6585036853446329, -0.20161722267655705, 0.40527238430191254, 1.7714038339717015)",0.0037620067596435547
MIOSOS,0.5,0.002,0.002,19,462,"(0.8400619459411102, 0.3200654919587338, 0.6585036853446329, -0.20161722267655705, 0.40527238430191254, 1.7714038339717015)",155.33529806137085
MIOSOS-Opt,0.5,0.002,0.002,19,462,"(0.8400619459411102, 0.3200654919587338, 0.6585036853446329, -0.20161722267655705, 0.40527238430191254, 1.7714038339717015)",154.91519379615784
MIOSOS-Build,0.5,0.002,0.002,19,462,"(0.8400619459411102, 0.3200654919587338, 0.6585036853446329, -0.20161722267655705, 0.40527238430191254, 1.7714038339717015)",0.3418769836425781
Preprocessing,0.8277532798848107,0.002,0.002,19,462,"(0.8400619459411102, 0.3200654919587338, 0.6585036853446329, -0.20161722267655705, 0.40527238430191254, 1.7714038339717015)",0.0036187171936035156
MIOSOS,0.8277532798848107,0.002,0.002,19,462,"(0.8400619459411102, 0.3200654919587338, 0.6585036853446329, -0.20161722267655705, 0.40527238430191254, 1.7714038339717015)",180.56322312355042
MIOSOS-Opt,0.8277532798848107,0.002,0.002,19,462,"(0.8400619459411102, 0.3200654919587338, 0.6585036853446329, -0.20161722267655705, 0.40527238430191254, 1.7714038339717015)",180.09906578063965
MIOSOS-Build,0.8277532798848107,0.002,0.002,19,462,"(0.8400619459411102, 0.3200654919587338, 0.6585036853446329, -0.20161722267655705, 0.40527238430191254, 1.7714038339717015)",0.3362429141998291
Preprocessing,1.3703509847201238,0.002,0.002,19,462,"(0.8400619459411102, 0.3200654919587338, 0.6585036853446329, -0.20161722267655705, 0.40527238430191254, 1.7714038339717015)",0.004990100860595703
MIOSOS,1.3703509847201238,0.002,0.002,19,462,"(0.8400619459411102, 0.3200654919587338, 0.6585036853446329, -0.20161722267655705, 0.40527238430191254, 1.7714038339717015)",143.47291374206543
MIOSOS-Opt,1.3703509847201238,0.002,0.002,19,462,"(0.8400619459411102, 0.3200654919587338, 0.6585036853446329, -0.20161722267655705, 0.40527238430191254, 1.7714038339717015)",142.95731115341187
