Method,Duration,Sample Rate,Noise,Seed,Dim,x0,runtime
Preprocessing,0.5,0.002,0.002,10,462,"(0.7365975213910517, -0.42687458477907, -0.6923448971608588, -0.3894821146866697, -0.18317065561674056, -1.666691507488151)",0.0038061141967773438
MIOSOS,0.5,0.002,0.002,10,462,"(0.7365975213910517, -0.42687458477907, -0.6923448971608588, -0.3894821146866697, -0.18317065561674056, -1.666691507488151)",180.51377320289612
MIOSOS-Opt,0.5,0.002,0.002,10,462,"(0.7365975213910517, -0.42687458477907, -0.6923448971608588, -0.3894821146866697, -0.18317065561674056, -1.666691507488151)",180.09795761108398
MIOSOS-Build,0.5,0.002,0.002,10,462,"(0.7365975213910517, -0.42687458477907, -0.6923448971608588, -0.3894821146866697, -0.18317065561674056, -1.666691507488151)",0.33994245529174805
Preprocessing,0.8277532798848107,0.002,0.002,10,462,"(0.7365975213910517, -0.42687458477907, -0.6923448971608588, -0.3894821146866697, -0.18317065561674056, -1.666691507488151)",0.0043451786041259766
MIOSOS,0.8277532798848107,0.002,0.002,10,462,"(0.7365975213910517, -0.42687458477907, -0.6923448971608588, -0.3894821146866697, -0.18317065561674056, -1.666691507488151)",180.6049280166626
MIOSOS-Opt,0.8277532798848107,0.002,0.002,10,462,"(0.7365975213910517, -0.42687458477907, -0.6923448971608588, -0.3894821146866697, -0.18317065561674056, -1.666691507488151)",180.12097573280334
MIOSOS-Build,0.8277532798848107,0.002,0.002,10,462,"(0.7365975213910517, -0.42687458477907, -0.6923448971608588, -0.3894821146866697, -0.18317065561674056, -1.666691507488151)",0.3648359775543213
Preprocessing,1.3703509847201238,0.002,0.002,10,462,"(0.7365975213910517, -0.42687458477907, -0.6923448971608588, -0.3894821146866697, -0.18317065561674056, -1.666691507488151)",0.0050868988037109375
MIOSOS,1.3703509847201238,0.002,0.002,10,462,"(0.7365975213910517, -0.42687458477907, -0.6923448971608588, -0.3894821146866697, -0.18317065561674056, -1.666691507488151)",180.70086288452148
MIOSOS-Opt,1.3703509847201238,0.002,0.002,10,462,"(0.7365975213910517, -0.42687458477907, -0.6923448971608588, -0.3894821146866697, -0.18317065561674056, -1.666691507488151)",180.11220455169678
MIOSOS-Build,1.3703509847201238,0.002,0.002,10,462,"(0.7365975213910517, -0.42687458477907, -0.6923448971608588, -0.3894821146866697, -0.18317065561674056, -1.666691507488151)",0.3948483467102051
Preprocessing,2.268625044390925,0.002,0.002,10,462,"(0.7365975213910517, -0.42687458477907, -0.6923448971608588, -0.3894821146866697, -0.18317065561674056, -1.666691507488151)",0.005738019943237305
MIOSOS,2.268625044390925,0.002,0.002,10,462,"(0.7365975213910517, -0.42687458477907, -0.6923448971608588, -0.3894821146866697, -0.18317065561674056, -1.666691507488151)",95.8261148929596
MIOSOS-Opt,2.268625044390925,0.002,0.002,10,462,"(0.7365975213910517, -0.42687458477907, -0.6923448971608588, -0.3894821146866697, -0.18317065561674056, -1.666691507488151)",95.20120167732239
MIOSOS-Build,2.268625044390925,0.002,0.002,10,462,"(0.7365975213910517, -0.42687458477907, -0.6923448971608588, -0.3894821146866697, -0.18317065561674056, -1.666691507488151)",0.37786102294921875
Preprocessing,3.7557236426468257,0.002,0.002,10,462,"(0.7365975213910517, -0.42687458477907, -0.6923448971608588, -0.3894821146866697, -0.18317065561674056, -1.666691507488151)",0.0072667598724365234
MIOSOS,3.7557236426468257,0.002,0.002,10,462,"(0.7365975213910517, -0.42687458477907, -0.6923448971608588, -0.3894821146866697, -0.18317065561674056, -1.666691507488151)",87.04746699333191
MIOSOS-Opt,3.7557236426468257,0.002,0.002,10,462,"(0.7365975213910517, -0.42687458477907, -0.6923448971608588, -0.3894821146866697, -0.18317065561674056, -1.666691507488151)",86.33493089675903
MIOSOS-Build,3.7557236426468257,0.002,0.002,10,462,"(0.7365975213910517, -0.42687458477907, -0.6923448971608588, -0.3894821146866697, -0.18317065561674056, -1.666691507488151)",0.3867959976196289
Preprocessing,6.217625127083679,0.002,0.002,10,462,"(0.7365975213910517, -0.42687458477907, -0.6923448971608588, -0.3894821146866697, -0.18317065561674056, -1.666691507488151)",0.010397911071777344
MIOSOS,6.217625127083679,0.002,0.002,10,462,"(0.7365975213910517, -0.42687458477907, -0.6923448971608588, -0.3894821146866697, -0.18317065561674056, -1.666691507488151)",36.39978885650635
MIOSOS-Opt,6.217625127083679,0.002,0.002,10,462,"(0.7365975213910517, -0.42687458477907, -0.6923448971608588, -0.3894821146866697, -0.18317065561674056, -1.666691507488151)",35.52961182594299
MIOSOS-Build,6.217625127083679,0.002,0.002,10,462,"(0.7365975213910517, -0.42687458477907, -0.6923448971608588, -0.3894821146866697, -0.18317065561674056, -1.666691507488151)",0.44213008880615234
Preprocessing,10.293319184075452,0.002,0.002,10,462,"(0.7365975213910517, -0.42687458477907, -0.6923448971608588, -0.3894821146866697, -0.18317065561674056, -1.666691507488151)",0.02120804786682129
MIOSOS,10.293319184075452,0.002,0.002,10,462,"(0.7365975213910517, -0.42687458477907, -0.6923448971608588, -0.3894821146866697, -0.18317065561674056, -1.666691507488151)",19.915327787399292
MIOSOS-Opt,10.293319184075452,0.002,0.002,10,462,"(0.7365975213910517, -0.42687458477907, -0.6923448971608588, -0.3894821146866697, -0.18317065561674056, -1.666691507488151)",18.83253312110901
MIOSOS-Build,10.293319184075452,0.002,0.002,10,462,"(0.7365975213910517, -0.42687458477907, -0.6923448971608588, -0.3894821146866697, -0.18317065561674056, -1.666691507488151)",0.5051131248474121
