Method,Duration,Sample Rate,Noise,Seed,Dim,x0,runtime
Preprocessing,0.5,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.0012578964233398438
MIOSOS,0.5,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.0619509220123291
MIOSOS-Opt,0.5,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.05029582977294922
MIOSOS-Build,0.5,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.010160684585571289
Preprocessing,0.8277532798848107,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.0009472370147705078
MIOSOS,0.8277532798848107,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.05982685089111328
MIOSOS-Opt,0.8277532798848107,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.05087113380432129
MIOSOS-Build,0.8277532798848107,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.007136821746826172
Preprocessing,1.3703509847201238,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.0009851455688476562
MIOSOS,1.3703509847201238,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.03680706024169922
MIOSOS-Opt,1.3703509847201238,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.025622129440307617
MIOSOS-Build,1.3703509847201238,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.006982088088989258
Preprocessing,2.268625044390925,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.0011761188507080078
MIOSOS,2.268625044390925,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.039431095123291016
MIOSOS-Opt,2.268625044390925,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.028605937957763672
MIOSOS-Build,2.268625044390925,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.007331132888793945
Preprocessing,3.7557236426468257,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.0015478134155273438
MIOSOS,3.7557236426468257,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.03738212585449219
MIOSOS-Opt,3.7557236426468257,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.024930715560913086
MIOSOS-Build,3.7557236426468257,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.007256031036376953
Preprocessing,6.217625127083679,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.002187013626098633
MIOSOS,6.217625127083679,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.03363609313964844
MIOSOS-Opt,6.217625127083679,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.017583608627319336
MIOSOS-Build,6.217625127083679,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.0075609683990478516
Preprocessing,10.293319184075452,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.0028810501098632812
MIOSOS,10.293319184075452,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.03719305992126465
MIOSOS-Opt,10.293319184075452,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.01580977439880371
MIOSOS-Build,10.293319184075452,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.00790858268737793
Preprocessing,17.040657431039403,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.004410982131958008
MIOSOS,17.040657431039403,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.05321812629699707
MIOSOS-Opt,17.040657431039403,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.02406001091003418
MIOSOS-Build,17.040657431039403,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.008648157119750977
Preprocessing,28.210920159872682,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.0063190460205078125
MIOSOS,28.210920159872682,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.060774803161621094
MIOSOS-Opt,28.210920159872682,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.015245914459228516
MIOSOS-Build,28.210920159872682,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.010422945022583008
Preprocessing,46.70336338180629,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.01001596450805664
MIOSOS,46.70336338180629,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.08577895164489746
MIOSOS-Opt,46.70336338180629,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.019365310668945312
MIOSOS-Build,46.70336338180629,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.011323213577270508
Preprocessing,77.31772444188466,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.016258955001831055
MIOSOS,77.31772444188466,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.11840319633483887
MIOSOS-Opt,77.31772444188466,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.014368534088134766
MIOSOS-Build,77.31772444188466,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.014573097229003906
Preprocessing,128.0,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.03253602981567383
MIOSOS,128.0,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.18973684310913086
MIOSOS-Opt,128.0,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.015225648880004883
MIOSOS-Build,128.0,0.002,0.002,4,20,"(0.01951137714452117, -0.8726461216277228, 12.458149579645973)",0.019630908966064453
