Method,Duration,Sample Rate,Noise,Seed,Dim,x0,runtime
Preprocessing,0.5,0.002,0.002,34,56,"(-4.614383191185904, 2.8010046052467494, 12.781112660024)",0.3672003746032715
E-STLSQ,0.5,0.002,0.002,34,56,"(-4.614383191185904, 2.8010046052467494, 12.781112660024)",1.6814005374908447
STLSQ,0.5,0.002,0.002,34,56,"(-4.614383191185904, 2.8010046052467494, 12.781112660024)",0.021285295486450195
SSR,0.5,0.002,0.002,34,56,"(-4.614383191185904, 2.8010046052467494, 12.781112660024)",0.10893869400024414
SR3,0.5,0.002,0.002,34,56,"(-4.614383191185904, 2.8010046052467494, 12.781112660024)",1.9864556789398193
MIOSR,0.5,0.002,0.002,34,56,"(-4.614383191185904, 2.8010046052467494, 12.781112660024)",35.64945602416992
MIOSR-Opt,0.5,0.002,0.002,34,56,"(-4.614383191185904, 2.8010046052467494, 12.781112660024)",35.562081813812256
MIOSR-Build,0.5,0.002,0.002,34,56,"(-4.614383191185904, 2.8010046052467494, 12.781112660024)",0.08245444297790527
Preprocessing,0.8277532798848107,0.002,0.002,34,56,"(-4.614383191185904, 2.8010046052467494, 12.781112660024)",0.0036025047302246094
E-STLSQ,0.8277532798848107,0.002,0.002,34,56,"(-4.614383191185904, 2.8010046052467494, 12.781112660024)",0.8402209281921387
STLSQ,0.8277532798848107,0.002,0.002,34,56,"(-4.614383191185904, 2.8010046052467494, 12.781112660024)",0.020715951919555664
SSR,0.8277532798848107,0.002,0.002,34,56,"(-4.614383191185904, 2.8010046052467494, 12.781112660024)",0.1045997142791748
SR3,0.8277532798848107,0.002,0.002,34,56,"(-4.614383191185904, 2.8010046052467494, 12.781112660024)",2.076328992843628
MIOSR,0.8277532798848107,0.002,0.002,34,56,"(-4.614383191185904, 2.8010046052467494, 12.781112660024)",37.768656730651855
MIOSR-Opt,0.8277532798848107,0.002,0.002,34,56,"(-4.614383191185904, 2.8010046052467494, 12.781112660024)",37.73677158355713
MIOSR-Build,0.8277532798848107,0.002,0.002,34,56,"(-4.614383191185904, 2.8010046052467494, 12.781112660024)",0.027521848678588867
Preprocessing,1.3703509847201238,0.002,0.002,34,56,"(-4.614383191185904, 2.8010046052467494, 12.781112660024)",0.003998517990112305
E-STLSQ,1.3703509847201238,0.002,0.002,34,56,"(-4.614383191185904, 2.8010046052467494, 12.781112660024)",0.6754283905029297
STLSQ,1.3703509847201238,0.002,0.002,34,56,"(-4.614383191185904, 2.8010046052467494, 12.781112660024)",0.012578248977661133
SSR,1.3703509847201238,0.002,0.002,34,56,"(-4.614383191185904, 2.8010046052467494, 12.781112660024)",0.11873173713684082
SR3,1.3703509847201238,0.002,0.002,34,56,"(-4.614383191185904, 2.8010046052467494, 12.781112660024)",2.30600905418396
MIOSR,1.3703509847201238,0.002,0.002,34,56,"(-4.614383191185904, 2.8010046052467494, 12.781112660024)",13.902290105819702
MIOSR-Opt,1.3703509847201238,0.002,0.002,34,56,"(-4.614383191185904, 2.8010046052467494, 12.781112660024)",13.86874270439148
MIOSR-Build,1.3703509847201238,0.002,0.002,34,56,"(-4.614383191185904, 2.8010046052467494, 12.781112660024)",0.028701305389404297
Preprocessing,2.268625044390925,0.002,0.002,34,56,"(-4.614383191185904, 2.8010046052467494, 12.781112660024)",0.004319429397583008
E-STLSQ,2.268625044390925,0.002,0.002,34,56,"(-4.614383191185904, 2.8010046052467494, 12.781112660024)",0.7409200668334961
STLSQ,2.268625044390925,0.002,0.002,34,56,"(-4.614383191185904, 2.8010046052467494, 12.781112660024)",0.01438283920288086
SSR,2.268625044390925,0.002,0.002,34,56,"(-4.614383191185904, 2.8010046052467494, 12.781112660024)",0.1391901969909668
