Method,Duration,Sample Rate,Noise,Seed,x0,insample_r2,validation_r2,validation_mse,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,constraint_violation,runtime,threshold,nu,group_sparsity,alpha
SR3,10.0,0.01,0.01,43,"(-2.4186834925256155, 0.6852852771057627, -2.303472507305873, -1.6299234883635934)",0.9932522652019118,0.9939545625523869,0.09153487232295415,0.9998639571598202,0.03446341929412541,0.0017411867430900821,0.0015464114368931169,0.0019280029974431123,1.0,6.0,0.0,0.0,0.0003801024628461829,1.147599220275879,0.009540954763499945,0.03333333333333333,,
MIOSR,10.0,0.01,0.01,43,"(-2.4186834925256155, 0.6852852771057627, -2.303472507305873, -1.6299234883635934)",0.9932647297007571,0.9939570286859355,0.09150018574588148,0.9999815204843732,0.009177098171512067,0.0006640173054247597,0.0005914756214738421,0.0006898876719247937,1.0,6.0,0.0,0.0,7.158873756486078e-05,11.715161085128784,,,6.0,0.01
Con-SR3,10.0,0.01,0.01,43,"(-2.4186834925256155, 0.6852852771057627, -2.303472507305873, -1.6299234883635934)",0.9932632590160893,0.9939547704836491,0.09153327764588912,0.9999801029335439,0.00851075705102763,0.0008019609857894728,0.0007847779975100488,0.0010463760054757465,1.0,6.0,0.0,0.0,1.850371707708594e-17,1.2815651893615723,0.010985411419875584,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.01,43,"(-2.4186834925256155, 0.6852852771057627, -2.303472507305873, -1.6299234883635934)",0.9932643850302758,0.9939571047912844,0.09149834106984793,0.9999955132192888,0.005880221673881926,0.0005779569714210732,0.0006167402541344942,0.0008256245138535956,1.0,6.0,0.0,0.0,0.0,10.866752862930298,,,8.0,0.01
SR3,10.0,0.01,0.020000000000000004,43,"(-2.4186834925256155, 0.6852852771057627, -2.303472507305873, -1.6299234883635934)",0.973521657902932,0.9761809807019064,0.36520278542062046,0.9996383909762615,0.053649378737024286,0.001811015312362909,0.0016291158673473786,0.001738758640289939,1.0,6.0,0.0,0.0,0.0003926474815415572,1.1472101211547852,0.019306977288832496,0.03333333333333333,,
MIOSR,10.0,0.01,0.020000000000000004,43,"(-2.4186834925256155, 0.6852852771057627, -2.303472507305873, -1.6299234883635934)",0.9735738744597626,0.97615713873408,0.365572679655048,0.9999652089851135,0.011461800088497596,0.0007516725106336648,0.0006813400608493463,0.0008076411230635294,1.0,6.0,0.0,0.0,0.00010321477121241762,10.95233416557312,,,6.0,0.01
Con-SR3,10.0,0.01,0.020000000000000004,43,"(-2.4186834925256155, 0.6852852771057627, -2.303472507305873, -1.6299234883635934)",0.9735495908242204,0.9761808279856238,0.36521753712849575,0.9995660207605782,0.04005763234201501,0.0018914667136857239,0.0015970211025101923,0.0018310366433182956,1.0,6.0,0.0,0.0,4.625929269271485e-18,1.3868522644042969,0.019306977288832496,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.020000000000000004,43,"(-2.4186834925256155, 0.6852852771057627, -2.303472507305873, -1.6299234883635934)",0.9735731671053227,0.976157056809529,0.3655715201951313,0.9999887729615731,0.007728284915226038,0.000819814622803301,0.0010048742415357888,0.00141121163550062,1.0,6.0,0.0,0.0,0.0,11.034522533416748,,,6.0,0.01
SR3,10.0,0.01,0.030000000000000006,43,"(-2.4186834925256155, 0.6852852771057627, -2.303472507305873, -1.6299234883635934)",0.9421654732524127,0.9477174088799143,0.8198278648861808,0.9982231228956963,0.123803619214589,0.006922693249613374,0.005952612934440931,0.0071742732905041295,1.0,6.0,0.0,0.0,6.336924384691088e-05,1.1538515090942383,0.025595479226995357,0.03333333333333333,,
MIOSR,10.0,0.01,0.030000000000000006,43,"(-2.4186834925256155, 0.6852852771057627, -2.303472507305873, -1.6299234883635934)",0.942357641358691,0.9476164231268076,0.8213999288801455,0.9999257312718914,0.01845100428355028,0.0038756791111075,0.003901646736633566,0.004674309233617335,1.0,6.0,0.0,0.0,9.596772679496685e-05,10.929190874099731,,,6.0,0.01
Con-SR3,10.0,0.01,0.030000000000000006,43,"(-2.4186834925256155, 0.6852852771057627, -2.303472507305873, -1.6299234883635934)",0.9422285307311071,0.9477242672447594,0.8197472503889789,0.9976025993563423,0.09893362580893335,0.007382771734740706,0.006247544393349856,0.006549071325076317,1.0,6.0,0.0,0.0,0.0,1.2637560367584229,0.029470517025518096,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.030000000000000006,43,"(-2.4186834925256155, 0.6852852771057627, -2.303472507305873, -1.6299234883635934)",0.942357041949079,0.9476159097711823,0.8214039350764027,0.9999395069210788,0.018335320288328093,0.003929951084089673,0.004078268415576849,0.005237484078008281,1.0,6.0,0.0,0.0,0.0,10.8789541721344,,,6.0,0.01
SR3,10.0,0.01,0.04000000000000001,43,"(-2.4186834925256155, 0.6852852771057627, -2.303472507305873, -1.6299234883635934)",0.901157511469429,0.9101475655914467,1.454359671283667,0.9933946543026233,0.243331637306459,0.016137724234316753,0.013721368314753533,0.015395526975547802,1.0,6.0,0.0,0.0,0.0005401320123357053,1.065721035003662,0.03393221771895328,0.03333333333333333,,
MIOSR,10.0,0.01,0.04000000000000001,43,"(-2.4186834925256155, 0.6852852771057627, -2.303472507305873, -1.6299234883635934)",0.9017023569968656,0.9099305441704106,1.457804102485829,0.99973431519578,0.03934878640358124,0.00913360502552848,0.009099589086149829,0.010852469687195887,1.0,6.0,0.0,0.0,5.3332919589060834e-05,11.41408109664917,,,6.0,0.01
Con-SR3,10.0,0.01,0.04000000000000001,43,"(-2.4186834925256155, 0.6852852771057627, -2.303472507305873, -1.6299234883635934)",0.9013163053769458,0.910181923965302,1.4538288996963895,0.9925856273179594,0.17911458828285268,0.01564071047384314,0.013524229076557256,0.013683727122876577,1.0,6.0,0.0,0.0,1.1564823173178714e-17,1.2333815097808838,0.03906939937054617,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.04000000000000001,43,"(-2.4186834925256155, 0.6852852771057627, -2.303472507305873, -1.6299234883635934)",0.9017021767156551,0.9099298842801471,1.4578111782278005,0.9997444994911591,0.03990104433031666,0.00916309448995188,0.009182145201290829,0.01116687648719572,1.0,6.0,0.0,0.0,0.0,11.866286277770996,,,6.0,0.01
SR3,10.0,0.01,0.05000000000000001,43,"(-2.4186834925256155, 0.6852852771057627, -2.303472507305873, -1.6299234883635934)",0.8528386362318287,0.8654060612828351,2.2677070061314835,0.9830311736813956,0.3928753530128275,0.028084787661905315,0.02405350543059072,0.026056062128335222,1.0,6.0,0.0,0.0,0.0013301069079442035,1.0683643817901611,0.03906939937054617,0.03333333333333333,,
MIOSR,10.0,0.01,0.05000000000000001,43,"(-2.4186834925256155, 0.6852852771057627, -2.303472507305873, -1.6299234883635934)",0.8540251639567367,0.865063563972943,2.2732827884134887,0.9991812611908412,0.07135866326325173,0.0163319885169681,0.016207447939851828,0.019256707665366024,1.0,6.0,0.0,0.0,2.0170982293070867e-05,13.686262607574463,,,6.0,0.01
Con-SR3,10.0,0.01,0.05000000000000001,43,"(-2.4186834925256155, 0.6852852771057627, -2.303472507305873, -1.6299234883635934)",0.8531896567677146,0.8654955629275531,2.2661763277406326,0.9832759124683064,0.27445223896289506,0.02633403074370863,0.023100202855176246,0.023042468020801565,1.0,6.0,0.0,0.0,1.850371707708594e-17,1.2849643230438232,0.0517947467923121,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.05000000000000001,43,"(-2.4186834925256155, 0.6852852771057627, -2.303472507305873, -1.6299234883635934)",0.8540251387273775,0.865064000325851,2.273277497445333,0.9992484868956526,0.07042828392809089,0.01632116599538981,0.016178998673314234,0.019137134318178872,1.0,6.0,0.0,0.0,0.0,12.46763014793396,,,6.0,0.01
