Method,Duration,Sample Rate,Noise,Seed,x0,insample_r2,validation_r2,validation_mse,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,constraint_violation,runtime,threshold,nu,group_sparsity,alpha
SR3,10.0,0.01,0.01,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.9794918198085025,0.4874122305728348,1.3963876317784356,-1614090.203396606,3785.630065422384,53.61112117370556,36.311171023405144,34.45083604764377,0.35294117647058826,6.0,11.0,0.0,31.296606111350926,213.69919681549072,0.3727593720314938,0.03333333333333333,,
MIOSR,10.0,0.01,0.01,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.9894588970116007,0.9930973764423884,0.037685706620044286,-1.007495534504413,4.4163463260038,0.11110503630856466,0.08330290920381489,0.08491313498903061,0.5555555555555556,5.0,3.0,1.0,0.08302754675766656,16.923182725906372,,,8.0,0.01
Con-SR3,10.0,0.01,0.01,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.9897507075534356,0.1445153835397388,2.468844269502386,-1129962.1514419685,3212.7323512933613,45.46665855402697,29.866677411529704,28.529327418603497,0.3333333333333333,6.0,12.0,0.0,2.2743288733787872e-12,732.5192687511444,0.28117686979742307,1.0,,
Con-MIOSR,10.0,0.01,0.01,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.989458543214732,0.9932591343008754,0.037322947093533156,-0.7650926234194181,4.559090287907931,0.04336028515455825,0.03878944410224899,0.05,0.625,5.0,2.0,1.0,0.0,14.026125431060791,,,9.0,0.001
SR3,10.0,0.01,0.020000000000000004,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.9595677899499272,0.4616936478354562,1.5422557908601193,-1333963.6410327477,3981.0600383338533,44.0194543332889,37.8269097691875,38.05726817326757,0.29411764705882354,5.0,11.0,1.0,17.619430262944537,230.44965767860413,0.0517947467923121,0.03333333333333333,,
MIOSR,10.0,0.01,0.020000000000000004,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.9595095396921847,0.9719804591686518,0.1552708059137481,-6.95945813883897,9.447944060307378,0.10552168177443799,0.09525624722707235,0.11453794737073358,0.5714285714285714,4.0,1.0,2.0,0.1327947317453959,19.440990447998047,,,5.0,0.01
Con-SR3,10.0,0.01,0.020000000000000004,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.9584803202952601,0.9149554986601697,0.31930113047708186,-1479636.2795906563,3663.252334576023,45.19093103500227,33.98177104029214,32.43471449797082,0.4166666666666667,5.0,6.0,1.0,9.607129906423022e-14,746.8154802322388,0.49417133613238334,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.020000000000000004,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.9596912417824781,0.9740595123231076,0.14789054820031555,0.923610801254893,0.9572018213140663,0.010147027941615582,0.00951064515905714,0.01056288289807724,1.0,6.0,0.0,0.0,0.0,15.260683536529541,,,6.0,0.0001
SR3,10.0,0.01,0.030000000000000006,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.7013003282703584,0.8533914773171163,0.6451370971890058,-644820.4008047155,2767.0641759330306,28.893055868937168,26.243755947878107,26.494100602173397,0.38461538461538464,5.0,7.0,1.0,12.968285567970662,206.3277463912964,0.42919342601287785,0.03333333333333333,,
MIOSR,10.0,0.01,0.030000000000000006,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.9177707466294891,0.9419914900444113,0.3374001689271319,-2.3115667026682543,6.113421866204453,0.9244885152952939,0.7939184525128922,1.0,0.3,3.0,4.0,3.0,0.022768483688578676,24.705346822738647,,,7.0,0.01
Con-SR3,10.0,0.01,0.030000000000000006,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.9153317476310892,0.9082152141097625,0.4347085597224816,-521337.27005193866,2177.5748401023234,26.995949672092525,20.139028666427556,19.30348538187938,0.4166666666666667,5.0,6.0,1.0,4.1707378291751716e-14,695.5799436569214,0.42919342601287785,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.030000000000000006,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.9177528568602977,0.9420555969381654,0.33590464279484533,-3.2587187942387152,6.942879669499594,0.8824302274182334,0.7792619526640424,1.0,0.3,3.0,4.0,3.0,1.3185424974082594e-12,15.61180853843689,,,7.0,0.0001
SR3,10.0,0.01,0.04000000000000001,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.8681242754070311,0.8172133946991387,0.8554796171400363,-277633.40076636133,1763.6814836970102,21.565077299998897,16.74981418519173,16.733547651970998,0.3333333333333333,6.0,12.0,0.0,11.18101676690867,165.6537024974823,0.03393221771895328,3.3333333333333335,,
MIOSR,10.0,0.01,0.04000000000000001,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.8668133669769813,0.9041118994831492,0.5937466089538628,-1.9681094677680868,5.808956214147861,0.9365671739255881,0.7988332402312851,1.0,0.3,3.0,4.0,3.0,0.030299870141999457,27.24099326133728,,,7.0,0.01
Con-SR3,10.0,0.01,0.04000000000000001,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.855619006121048,0.8559679006971705,0.821941384671372,-272284.2482894004,1581.7051811253573,19.548757003194652,14.486773629283402,14.099770212736228,0.4,6.0,9.0,0.0,1.037318379341438e-13,487.9685423374176,0.15998587196060574,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.04000000000000001,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.8667676523826447,0.9042212485012096,0.590232046088229,-2.554201153573323,6.317586437147175,0.8808268171681447,0.7791773063252015,1.0,0.3,3.0,4.0,3.0,0.0,15.578357458114624,,,7.0,0.0001
SR3,10.0,0.01,0.05000000000000001,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.8144785924540925,0.8121931747966287,1.0742564727602004,-139099.15303342897,1224.9162395315027,15.549805625617308,11.64068630634174,11.561793558590914,0.3333333333333333,6.0,12.0,0.0,8.43170837818393,123.85177707672119,0.044984326689694466,3.3333333333333335,,
MIOSR,10.0,0.01,0.05000000000000001,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.8129029986443186,0.8609495088629344,0.9169550439675461,-27.539962323810965,18.07323399475901,1.2775371490906364,0.8731050071026594,1.0,0.25,3.0,6.0,3.0,0.2541969102522235,26.21309518814087,,,9.0,0.01
Con-SR3,10.0,0.01,0.05000000000000001,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.7872934113390931,0.8255513547382172,1.0288574677771978,-134179.879637661,1111.579709954381,13.897400009162135,10.170445542083577,9.908572878562108,0.42857142857142855,6.0,8.0,0.0,0.0614354024576409,364.05495858192444,0.244205309454865,1.0,,
Con-MIOSR,10.0,0.01,0.05000000000000001,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.812709251824695,0.8608652114386326,0.9167121876273046,-2.046705458446148,5.826524268005821,0.8801104307174709,0.7791380386464085,1.0,0.3,3.0,4.0,3.0,0.0,15.289464235305786,,,7.0,0.0001
SR3,10.0,0.01,0.06000000000000001,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.7427847633028178,0.779072566108768,1.4372112657060865,-74963.30265462161,884.6651642383079,11.553903928803615,8.417354806637189,8.312123275751237,0.3333333333333333,6.0,12.0,0.0,6.418979672167896,78.39796209335327,0.03906939937054617,0.03333333333333333,,
MIOSR,10.0,0.01,0.06000000000000001,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.7594495130206004,0.8146962577286854,1.3123727875012612,-26.875246917831184,17.831363490172382,1.27941228063613,0.8733681157591406,1.0,0.25,3.0,6.0,3.0,0.2547619056673169,23.20347571372986,,,9.0,0.01
Con-SR3,10.0,0.01,0.06000000000000001,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.760517981165708,0.7796010465432147,1.4328818005548567,-70578.41964565616,806.7501288218128,10.129953871075601,7.370894138196181,7.195692486757889,0.42857142857142855,6.0,8.0,0.0,0.02814080345067301,230.9286892414093,0.09102981779915217,3.3333333333333335,,
Con-MIOSR,10.0,0.01,0.06000000000000001,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.7591662643061439,0.8144951294951929,1.3148816144183781,-1.6899784195396261,5.455628574097155,0.8802177526131586,0.7791309549732495,1.0,0.3,3.0,4.0,3.0,0.0,15.277543306350708,,,7.0,0.0001
SR3,10.0,0.01,0.07,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.7102512643681145,0.7428259187290136,1.8736598118666155,-44276.32559266903,671.5571563378911,9.04248921235877,6.40476673543409,6.283856353915713,0.35294117647058826,6.0,11.0,0.0,5.085403912933365,36.419209718704224,0.06866488450043001,0.1,,
MIOSR,10.0,0.01,0.07,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.7085743047496008,0.7673844645760769,1.7790341329821895,-26.27006491276226,17.613030348078407,1.2805907400154777,0.8731791224053617,1.0,0.25,3.0,6.0,3.0,0.2546755523180906,22.583662271499634,,,9.0,0.01
Con-SR3,10.0,0.01,0.07,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.7103328649702904,0.7422569633670564,1.8743681932009277,-39299.69689514652,602.4125631989812,7.635520420152625,5.499053548264561,5.37726860296807,0.3333333333333333,6.0,12.0,0.0,2.8001304978412613e-12,110.01768946647644,0.012648552168552958,3.3333333333333335,,
Con-MIOSR,10.0,0.01,0.07,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.7081935223915887,0.7671083364186004,1.7843775740679093,-1.4364427578008208,5.176523684881767,0.8810178605147817,0.7791534542218732,1.0,0.3,3.0,4.0,3.0,2.93894538335356e-13,15.035271883010864,,,7.0,0.0001
SR3,10.0,0.01,0.08,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.6640160819677348,0.6977927123167937,2.413730297196013,-27298.663350764517,521.7660703398676,7.241642739377129,4.9931046066798,4.864742606350491,0.3333333333333333,6.0,12.0,0.0,4.076961193643661,21.265538215637207,0.006250551925273976,0.03333333333333333,,
MIOSR,10.0,0.01,0.08,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.6611832354266179,0.7204719831124422,2.3166450513028223,-25.670480513147858,17.399684855461487,1.2816173643709563,0.8728252258524133,1.0,0.25,3.0,6.0,3.0,0.25425019051160874,21.700637817382812,,,9.0,0.01
Con-SR3,10.0,0.01,0.08,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.6619469686802328,0.7069635781433454,2.3730933010136317,-23621.488083594093,466.78364506163507,5.942678336366908,4.2693645929740685,4.1640909556205346,0.5,6.0,6.0,0.0,7.138734048339757e-14,57.24658823013306,0.1206792640639329,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.08,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.6607017031027584,0.7201502188241098,2.3248840285542207,-1.2512350739607916,4.963357691766356,0.8823821280482181,0.7792124476743354,1.0,0.3,3.0,4.0,3.0,1.2352482462822204e-11,14.287582635879517,,,7.0,0.0001
SR3,10.0,0.01,0.09000000000000001,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.6204404807796566,0.6556152176317717,3.0172664294708333,-17649.16804229108,416.1449253175991,5.981196715878325,4.0014578816043205,3.8681297174556746,0.3333333333333333,6.0,12.0,0.0,3.332384342293959,11.493351936340332,0.022229964825261943,3.3333333333333335,,
MIOSR,10.0,0.01,0.09000000000000001,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.6174767167030777,0.6749288080266733,2.9249310404017157,-25.04974154701821,17.181177928442402,1.2827088334184655,0.8724577740082834,1.0,0.25,3.0,6.0,3.0,0.253625104511974,21.76686191558838,,,9.0,0.01
Con-SR3,10.0,0.01,0.09000000000000001,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.6183631181630138,0.6622929631958853,2.9849689137348494,-14894.841045419924,370.9967615139718,4.799394726122003,3.395961542636647,3.3105100532473033,0.5,6.0,6.0,0.0,4.393707619954057e-14,32.250696659088135,0.1206792640639329,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.09000000000000001,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.6168959410365009,0.6745787141085875,2.936091583507263,-1.1112073399642783,4.796538907622359,0.8842022599589648,0.7793210327046222,1.0,0.3,3.0,4.0,3.0,3.143383701479744e-12,14.328331232070923,,,7.0,0.0001
SR3,10.0,0.01,0.1,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.5805359499092007,0.6135079570261894,3.698921320547657,-11857.424889853686,338.8383497494359,5.087660436849821,3.2790536797414895,3.1405145520477467,0.3157894736842105,6.0,13.0,0.0,2.7705835884188725,6.748462438583374,0.022229964825261943,3.3333333333333335,,
MIOSR,10.0,0.01,0.1,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.5770011729920024,0.6294798365313461,3.645910012051914,-1.0761986817336746,4.918344267082284,0.9516034557128878,0.8014174947041612,1.0,0.3,3.0,4.0,3.0,0.038873270393281985,21.31301259994507,,,7.0,0.0001
Con-SR3,10.0,0.01,0.1,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.5797355787435463,0.6134611142119372,3.6993263911246075,-9542.707155811006,297.89152915867743,4.118893939089841,2.735968137582974,2.662635735521474,0.3,6.0,14.0,0.0,6.616929226765933e-13,19.001405477523804,0.001,0.3333333333333333,,
Con-MIOSR,10.0,0.01,0.1,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.5766132421488603,0.630970740692006,3.6176786159872054,-1.0013914648623878,4.6621587603365455,0.8863903664335229,0.7794958952157106,1.0,0.3,3.0,4.0,3.0,0.0,14.905366659164429,,,7.0,0.0001
SR3,20.0,0.01,0.01,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.9914897699190574,0.9735317184782131,0.1590537612479552,-7596.593796775295,315.77448538050345,4.677130346532418,2.7022691369298704,2.4625908881447933,0.3333333333333333,6.0,12.0,0.0,2.4926521832436213,205.937974691391,0.002329951810515372,0.1,,
MIOSR,20.0,0.01,0.01,28,"(1.438935780693205, 0.38477976956255544, -2.356401257196371, -0.6434461243264882)",0.9914377930430683,0.9926805282984079,0.05007454077297666,0.9775842386279487,0.3655809454844844,0.0077674549685242,0.007060911754729648,0.00810705915349142,0.75,6.0,2.0,0.0,0.004498968900952857,16.755489110946655,,,8.0,0.01
