Method,Duration,Sample Rate,Noise,Seed,x0,insample_r2,validation_r2,validation_mse,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,constraint_violation,runtime,threshold,nu,group_sparsity,alpha
SR3,10.0,0.01,0.01,32,"(2.254967771160074, -0.7997794008271804, 0.34638432792354834, 2.8629745337452297)",0.9930402900060123,0.9939728845248788,0.09611969153067518,0.9999225232311002,0.027302616175587324,0.0036127661409335924,0.004354826954160153,0.006114086964887022,1.0,6.0,0.0,0.0,5.9471356522994755e-05,1.0553889274597168,0.016768329368110083,0.03333333333333333,,
MIOSR,10.0,0.01,0.01,32,"(2.254967771160074, -0.7997794008271804, 0.34638432792354834, 2.8629745337452297)",0.9930400498497371,0.9939723453291338,0.0961269861692412,0.9999497653863116,0.022060838452395665,0.003676562508949333,0.004418573651995701,0.006201216445147928,1.0,6.0,0.0,0.0,5.1288277931523886e-05,12.233426809310913,,,6.0,0.01
Con-SR3,10.0,0.01,0.01,32,"(2.254967771160074, -0.7997794008271804, 0.34638432792354834, 2.8629745337452297)",0.9930634202249465,0.9939801054611439,0.09600272848536429,0.9999839086826947,0.012442320822644995,0.0030679689680892415,0.003924675283317358,0.005525359716732958,1.0,6.0,0.0,0.0,5.782411586589357e-17,1.2113754749298096,0.009540954763499945,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.01,32,"(2.254967771160074, -0.7997794008271804, 0.34638432792354834, 2.8629745337452297)",0.9930723272798998,0.9939817063897649,0.09596930588094213,0.9999931180927177,0.008752822613321288,0.002885263292853684,0.0030018414365203657,0.0035433651169169966,1.0,6.0,0.0,0.0,3.6564270130175675e-13,10.614820957183838,,,6.0,0.01
SR3,10.0,0.01,0.020000000000000004,32,"(2.254967771160074, -0.7997794008271804, 0.34638432792354834, 2.8629745337452297)",0.9726604543483934,0.9762925985497877,0.38405191171849734,0.9997458020862183,0.05854376866903238,0.008943573687571524,0.010614139765247934,0.014721659894003869,1.0,6.0,0.0,0.0,3.827807687319107e-05,1.053525447845459,0.03393221771895328,0.03333333333333333,,
MIOSR,10.0,0.01,0.020000000000000004,32,"(2.254967771160074, -0.7997794008271804, 0.34638432792354834, 2.8629745337452297)",0.9727612802602439,0.9763282605862164,0.3834404091824842,0.9999031302467039,0.03143767086106113,0.008031955295247974,0.008539133357074012,0.010725482380100293,1.0,6.0,0.0,0.0,0.0001562601011176982,11.609473705291748,,,6.0,0.01
Con-SR3,10.0,0.01,0.020000000000000004,32,"(2.254967771160074, -0.7997794008271804, 0.34638432792354834, 2.8629745337452297)",0.9726994028363622,0.976301558634498,0.38391699066169227,0.9997957777232995,0.046209529255982804,0.009230811940934025,0.010166130478581496,0.013587715839923464,1.0,6.0,0.0,0.0,3.932039878880763e-17,1.2111849784851074,0.019306977288832496,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.020000000000000004,32,"(2.254967771160074, -0.7997794008271804, 0.34638432792354834, 2.8629745337452297)",0.9727547848760982,0.976323090230812,0.38351699731224886,0.999934219231392,0.027158970674863586,0.007869302648149508,0.008054088775034782,0.009010938141384317,1.0,6.0,0.0,0.0,0.0,10.684384822845459,,,8.0,0.01
SR3,10.0,0.01,0.030000000000000006,32,"(2.254967771160074, -0.7997794008271804, 0.34638432792354834, 2.8629745337452297)",0.940221133492869,0.9480788625745518,0.8629184631758311,0.9990776613195343,0.11993321150789098,0.018236174092547387,0.019717433558498216,0.0259009313564339,1.0,6.0,0.0,0.0,5.456252698015501e-05,1.0203635692596436,0.044984326689694466,0.03333333333333333,,
MIOSR,10.0,0.01,0.030000000000000006,32,"(2.254967771160074, -0.7997794008271804, 0.34638432792354834, 2.8629745337452297)",0.9404285300071931,0.9481471245703799,0.8616950800468992,0.9996388841411641,0.06103111092357387,0.015321963846488772,0.015937172091822015,0.019223828110086827,1.0,6.0,0.0,0.0,0.00024410758793501353,11.606816530227661,,,6.0,0.01
