Method,Duration,Sample Rate,Noise,Seed,x0,insample_r2,validation_r2,validation_mse,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,constraint_violation,runtime,threshold,nu,group_sparsity,alpha
SR3,10.0,0.01,0.01,25,"(2.325558537088628, 0.5169611893552903, -1.389595918307316, -1.9734779316811248)",0.9917567875404105,0.9822322301289701,0.08060153846077109,0.9928131129098675,0.1311945346101139,0.008520770943048936,0.008380730095568563,0.010674713009952708,1.0,6.0,0.0,0.0,0.0009182425739229667,1.0721592903137207,0.06866488450043001,3.3333333333333335,,
MIOSR,10.0,0.01,0.01,25,"(2.325558537088628, 0.5169611893552903, -1.389595918307316, -1.9734779316811248)",0.9934149607217941,0.9828985578545469,0.07911147856983688,0.9999186171376309,0.021450232485699584,0.0010143249100909271,0.0009408489146165691,0.0012072214977769669,1.0,6.0,0.0,0.0,0.00013620198924856283,18.073307514190674,,,6.0,0.0001
Con-SR3,10.0,0.01,0.01,25,"(2.325558537088628, 0.5169611893552903, -1.389595918307316, -1.9734779316811248)",0.9928175316448336,0.982610776410404,0.07959482819372801,0.9992075525037967,0.08816064876435405,0.004808251438660846,0.005191429815914756,0.007154923172553396,1.0,6.0,0.0,0.0,2.0816681711721685e-17,1.3199057579040527,0.03393221771895328,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.01,25,"(2.325558537088628, 0.5169611893552903, -1.389595918307316, -1.9734779316811248)",0.9934207994506307,0.982933482811652,0.07849778917555643,0.9999895004459207,0.010554677897141637,0.0013269442313856032,0.0013252524786058005,0.001652792789231805,1.0,6.0,0.0,0.0,0.0,11.957385540008545,,,6.0,0.0001
SR3,10.0,0.01,0.020000000000000004,25,"(2.325558537088628, 0.5169611893552903, -1.389595918307316, -1.9734779316811248)",0.9649535666202462,0.9081054321715067,0.40200208895528755,0.9634536243924152,0.3556998808349024,0.037842948655984594,0.03836405725193972,0.05117180264407986,0.8571428571428571,6.0,1.0,0.0,0.01880490788213379,1.0921969413757324,0.07906043210907697,0.03333333333333333,,
MIOSR,10.0,0.01,0.020000000000000004,25,"(2.325558537088628, 0.5169611893552903, -1.389595918307316, -1.9734779316811248)",0.974206831396516,0.9370729156584887,0.31415250025250807,0.9999023408926402,0.02932162883759549,0.002397520109160162,0.00237000777648425,0.0030656910984148134,1.0,6.0,0.0,0.0,0.00010541701572025729,17.929959058761597,,,6.0,0.0001
Con-SR3,10.0,0.01,0.020000000000000004,25,"(2.325558537088628, 0.5169611893552903, -1.389595918307316, -1.9734779316811248)",0.9710372580748545,0.9357446213964171,0.3187416521793178,0.9957329319799385,0.2069857323986924,0.009736782585574416,0.010882507785291104,0.015148269008808057,1.0,6.0,0.0,0.0,1.9197606467476666e-16,1.3594884872436523,0.07906043210907697,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.020000000000000004,25,"(2.325558537088628, 0.5169611893552903, -1.389595918307316, -1.9734779316811248)",0.9742033334958436,0.9370791478720732,0.31403515641390867,0.9999454757102088,0.025039548755925806,0.002688543895669165,0.003480805096265171,0.004908793226453323,1.0,6.0,0.0,0.0,0.0,12.742684125900269,,,6.0,0.0001
SR3,10.0,0.01,0.030000000000000006,25,"(2.325558537088628, 0.5169611893552903, -1.389595918307316, -1.9734779316811248)",0.9245820145292813,0.7956899033763198,0.9747101904999409,0.9098474774155625,0.5538464528379461,0.1001189839130368,0.07394670176845251,0.07965130398808,0.6666666666666666,6.0,3.0,0.0,0.028869638914740037,1.0651695728302002,0.06866488450043001,0.03333333333333333,,
MIOSR,10.0,0.01,0.030000000000000006,25,"(2.325558537088628, 0.5169611893552903, -1.389595918307316, -1.9734779316811248)",0.9437501228610853,0.8736412495604297,0.7068426388727809,0.9997316406635551,0.0513162786635971,0.006008456434982596,0.005925165425127833,0.007067875909853916,1.0,6.0,0.0,0.0,0.00016138823938529936,18.143583297729492,,,6.0,0.0001
