Method,Duration,Sample Rate,Noise,Seed,x0,insample_r2,validation_r2,validation_mse,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,constraint_violation,runtime,threshold,nu,group_sparsity,alpha
SR3,10.0,0.01,0.01,15,"(2.1916862303621505, -2.017556406611873, -2.800018504208568, -0.8699796011477319)",0.9913316658077992,0.9915792273073636,0.10222235958996068,0.9998355614744229,0.030294937508613236,0.001105884635219199,0.0009949569434373558,0.0011593463195453957,1.0,6.0,0.0,0.0,0.0003468615444334998,1.0306217670440674,0.019306977288832496,0.03333333333333333,,
MIOSR,10.0,0.01,0.01,15,"(2.1916862303621505, -2.017556406611873, -2.800018504208568, -0.8699796011477319)",0.9913284204146936,0.9915741568239782,0.10228155392296973,0.999826878990732,0.027861069207043503,0.0010783322329859053,0.0009286509099354471,0.001052831294155121,1.0,6.0,0.0,0.0,0.0003346407112115683,10.493836164474487,,,6.0,0.01
Con-SR3,10.0,0.01,0.01,15,"(2.1916862303621505, -2.017556406611873, -2.800018504208568, -0.8699796011477319)",0.9913312619017269,0.9915673283620567,0.10236236090575256,0.9999806989657266,0.013267483009857112,0.0012043501020940139,0.0013366366677985942,0.001814506506655711,1.0,6.0,0.0,0.0,1.1564823173178714e-17,1.2105457782745361,0.019306977288832496,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.01,15,"(2.1916862303621505, -2.017556406611873, -2.800018504208568, -0.8699796011477319)",0.9913884369406591,0.9916512945123059,0.10139462651866554,0.9999748120319826,0.012321554384308948,0.000972841724728156,0.0008370243906789709,0.0009335470479375774,1.0,6.0,0.0,0.0,1.136197617472116e-13,10.192456483840942,,,6.0,0.0001
SR3,10.0,0.01,0.020000000000000004,15,"(2.1916862303621505, -2.017556406611873, -2.800018504208568, -0.8699796011477319)",0.9662840001641715,0.9670537275669768,0.40877568753716326,0.9996694379400262,0.044124647941220264,0.003558598979348509,0.003293167618833784,0.004189159660517139,1.0,6.0,0.0,0.0,0.0006029985329201575,1.0217926502227783,0.0517947467923121,0.03333333333333333,,
MIOSR,10.0,0.01,0.020000000000000004,15,"(2.1916862303621505, -2.017556406611873, -2.800018504208568, -0.8699796011477319)",0.9664702510577967,0.967312805364287,0.4057599980495097,0.9997221202620541,0.036185545483681456,0.004714322236036876,0.004259145251797721,0.004466331746013408,1.0,6.0,0.0,0.0,8.652918759974315e-05,10.004358530044556,,,6.0,0.0001
Con-SR3,10.0,0.01,0.020000000000000004,15,"(2.1916862303621505, -2.017556406611873, -2.800018504208568, -0.8699796011477319)",0.9663062734589487,0.9670455065279326,0.4089071945975794,0.9998339142042132,0.03377813096892147,0.002730107757435212,0.0029965157413082764,0.0041409374894088025,1.0,6.0,0.0,0.0,3.23815048849004e-17,1.2571096420288086,0.029470517025518096,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.020000000000000004,15,"(2.1916862303621505, -2.017556406611873, -2.800018504208568, -0.8699796011477319)",0.9664698178772084,0.9673189326767944,0.4056756131790632,0.9997572893915196,0.03874925658587522,0.004619807361938176,0.0041935770777099205,0.0044790878548063295,1.0,6.0,0.0,0.0,3.9068285643632333e-13,10.256292343139648,,,6.0,0.0001
SR3,10.0,0.01,0.030000000000000006,15,"(2.1916862303621505, -2.017556406611873, -2.800018504208568, -0.8699796011477319)",0.9273008023248042,0.9284011606427938,0.9198526747256942,0.9990598585849477,0.07720823559585403,0.010980243534435365,0.010670677549391683,0.012431858381259264,1.0,6.0,0.0,0.0,0.000765089366329394,1.0161340236663818,0.09102981779915217,0.03333333333333333,,
MIOSR,10.0,0.01,0.030000000000000006,15,"(2.1916862303621505, -2.017556406611873, -2.800018504208568, -0.8699796011477319)",0.9276466328460522,0.9289788390028465,0.9128848216647324,0.9988691937427866,0.07387353561649417,0.011221006776030098,0.010327665530827184,0.010792079945731392,1.0,6.0,0.0,0.0,0.00016737023619547523,10.443674087524414,,,6.0,0.0001
Con-SR3,10.0,0.01,0.030000000000000006,15,"(2.1916862303621505, -2.017556406611873, -2.800018504208568, -0.8699796011477319)",0.9273891170315427,0.9284617613783106,0.9192219589535695,0.9988772320427634,0.08604359997805464,0.009618494681996841,0.009044227777838181,0.011099246051960332,1.0,6.0,0.0,0.0,4.625929269271485e-18,1.2442238330841064,0.03906939937054617,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.030000000000000006,15,"(2.1916862303621505, -2.017556406611873, -2.800018504208568, -0.8699796011477319)",0.9276450515046885,0.9289941229947378,0.9126617615916559,0.9990007519863535,0.07916696135822313,0.011034781761010316,0.01019185133536064,0.010721733575783876,1.0,6.0,0.0,0.0,4.1918690740772035e-12,10.626707077026367,,,6.0,0.0001
SR3,10.0,0.01,0.04000000000000001,15,"(2.1916862303621505, -2.017556406611873, -2.800018504208568, -0.8699796011477319)",0.8771291362864951,0.8778118879693302,1.6450561892367497,0.9953773915908952,0.16943970042098586,0.04958600668895901,0.046145260676322096,0.0573919559061236,0.8571428571428571,6.0,1.0,0.0,0.0007800551344653688,1.0345592498779297,0.06866488450043001,0.03333333333333333,,
MIOSR,10.0,0.01,0.04000000000000001,15,"(2.1916862303621505, -2.017556406611873, -2.800018504208568, -0.8699796011477319)",0.8782176210901025,0.8795354699062266,1.6221657409935526,0.9968798063233699,0.12368340070092894,0.02039003529515268,0.01893826087783016,0.01976497586722603,1.0,6.0,0.0,0.0,0.00027059026601638364,12.468945980072021,,,6.0,0.0001
