Method,Duration,Sample Rate,Noise,Seed,x0,insample_r2,validation_r2,validation_mse,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,constraint_violation,runtime,threshold,nu,group_sparsity,alpha
SR3,10.0,0.01,0.01,23,"(0.10868580963018859, 2.8083488651479707, 1.6679328598900733, -1.3672472359670516)",0.9903662787179948,0.9898712607385474,0.08863966809218835,0.9993187899804813,0.09106778118770147,0.008168219548776667,0.00859385537467038,0.01171083253412697,1.0,6.0,0.0,0.0,0.0008804408889696094,1.1925380229949951,0.03393221771895328,0.03333333333333333,,
MIOSR,10.0,0.01,0.01,23,"(0.10868580963018859, 2.8083488651479707, 1.6679328598900733, -1.3672472359670516)",0.9908986496684562,0.9902643859158751,0.08419593286558569,0.9999938344325348,0.006864136888420772,0.0025566152591642677,0.0026357183071327862,0.0031486592729098595,1.0,6.0,0.0,0.0,4.7493557168112877e-05,17.95601177215576,,,6.0,0.01
Con-SR3,10.0,0.01,0.01,23,"(0.10868580963018859, 2.8083488651479707, 1.6679328598900733, -1.3672472359670516)",0.990613036047318,0.9897681320258329,0.08858433265962665,0.9997809115601978,0.04448614366431638,0.009085764987722749,0.010354695847177794,0.013697273092412532,1.0,6.0,0.0,0.0,1.6653345369377348e-16,1.504384994506836,0.044984326689694466,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.01,23,"(0.10868580963018859, 2.8083488651479707, 1.6679328598900733, -1.3672472359670516)",0.9908979600441243,0.9902619180366792,0.08420354516234271,0.9999949744479867,0.007123446003448733,0.0026293864427131227,0.0026348966665816903,0.0026827248160843364,1.0,6.0,0.0,0.0,8.530849637811144e-12,13.476463317871094,,,6.0,0.0001
SR3,10.0,0.01,0.020000000000000004,23,"(0.10868580963018859, 2.8083488651479707, 1.6679328598900733, -1.3672472359670516)",0.9624099392454515,0.959812896866728,0.35887030304758133,0.9961563253968322,0.22484994261674385,0.04126824147914218,0.0389488598456171,0.04567522989245363,0.8571428571428571,6.0,1.0,0.0,0.0016473427026527376,1.1605298519134521,0.05963623316594643,0.03333333333333333,,
MIOSR,10.0,0.01,0.020000000000000004,23,"(0.10868580963018859, 2.8083488651479707, 1.6679328598900733, -1.3672472359670516)",0.9645192365779556,0.9621149429183353,0.33657807909842685,0.9999526706263315,0.019256143440018046,0.006820807882174078,0.006905284928529271,0.007774497454112406,1.0,6.0,0.0,0.0,0.00010168081346449236,17.813393592834473,,,6.0,0.01
Con-SR3,10.0,0.01,0.020000000000000004,23,"(0.10868580963018859, 2.8083488651479707, 1.6679328598900733, -1.3672472359670516)",0.9638484579851538,0.9609146141819167,0.3472793034414325,0.9994226197750011,0.0764162580955113,0.019599451968914623,0.02247935822841221,0.02974995773338529,1.0,6.0,0.0,0.0,6.47630097698008e-17,1.416273593902588,0.09102981779915217,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.020000000000000004,23,"(0.10868580963018859, 2.8083488651479707, 1.6679328598900733, -1.3672472359670516)",0.9645161431254983,0.9621037914346265,0.3366268813032113,0.9999574261684305,0.020791832150281256,0.006985799469973307,0.00699709809340828,0.007389244680194085,1.0,6.0,0.0,0.0,0.0,15.040323257446289,,,6.0,0.0001
SR3,10.0,0.01,0.030000000000000006,23,"(0.10868580963018859, 2.8083488651479707, 1.6679328598900733, -1.3672472359670516)",0.9142922723699629,0.9101147973115491,0.8288306039695775,0.9845762068518258,0.42398425785683724,0.09932372502753604,0.08031596318494652,0.08517334194825572,0.75,6.0,2.0,0.0,0.0024929768008968775,1.1851015090942383,0.07906043210907697,0.03333333333333333,,
MIOSR,10.0,0.01,0.030000000000000006,23,"(0.10868580963018859, 2.8083488651479707, 1.6679328598900733, -1.3672472359670516)",0.9233530879299157,0.9185948777473933,0.7567620222756781,0.9998219065985386,0.037513578569185003,0.01288498707506768,0.012948221702672198,0.013963910271055147,1.0,6.0,0.0,0.0,0.00016277782728087165,18.390387296676636,,,6.0,0.01
