Method,Duration,Sample Rate,Noise,Seed,x0,insample_r2,validation_r2,validation_mse,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,constraint_violation,runtime,threshold,nu,group_sparsity,alpha
SR3,10.0,0.01,0.01,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.9788730876150236,0.9845607465326934,0.11371462049419925,-6.996184502134307,6.818235094284344,1.1646292140226504,0.9748418570355634,1.0506770237531062,0.35294117647058826,6.0,11.0,0.0,0.07036322761376519,29.616569995880127,0.0026826957952797246,0.03333333333333333,,
MIOSR,10.0,0.01,0.01,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.9796508013221471,0.9879444609067627,0.08837695830152047,0.9998721995806077,0.039275159038261544,0.006184295982985243,0.008541046887227934,0.012076425782380884,1.0,6.0,0.0,0.0,4.524529855927615e-05,19.316543340682983,,,6.0,0.0001
Con-SR3,10.0,0.01,0.01,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.9757297123679809,0.986697243861572,0.09693848612230557,-8.20508436413586,6.982487076870315,1.0600137914008883,1.0116088739021907,1.1034359693158478,0.375,6.0,10.0,0.0,0.0007009761392631949,70.51749467849731,0.002329951810515372,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.01,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.9796498460825034,0.9879253798516927,0.08852354834710074,0.9998867499635711,0.03427349090099921,0.005695705472885296,0.007657671985200308,0.010818956986563877,1.0,6.0,0.0,0.0,0.0,18.309295177459717,,,9.0,0.0001
SR3,10.0,0.01,0.020000000000000004,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.9227858295472288,0.9429067719879065,0.43213564502288504,-32.42441672660313,15.11362722670447,2.4732946530790065,2.125581835255133,2.282291435300013,0.35294117647058826,6.0,11.0,0.0,0.10599446342078667,32.07581853866577,0.0035564803062231283,0.03333333333333333,,
MIOSR,10.0,0.01,0.020000000000000004,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.9236969667014951,0.9534367305522011,0.3532839634944646,0.9994418003303057,0.08188018416639684,0.014613474402270527,0.01911982409215683,0.026968379479723525,1.0,6.0,0.0,0.0,0.00011434659276275451,20.943968057632446,,,6.0,0.0001
Con-SR3,10.0,0.01,0.020000000000000004,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.9003476593090846,0.9484902456291011,0.3879664184638524,-45.171641910434914,15.635847747279858,2.3100429439858368,2.208305923228735,2.392222853344177,0.42857142857142855,6.0,8.0,0.0,0.005056089759588341,75.3558578491211,0.009540954763499945,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.020000000000000004,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.9236912619404714,0.9533446238401402,0.35401749054451587,0.9994853059265522,0.0722942471520059,0.01337623547719884,0.016923916915488474,0.023787769323753705,1.0,6.0,0.0,0.0,4.447183362306835e-13,18.764737129211426,,,6.0,0.0001
SR3,10.0,0.01,0.030000000000000006,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.8455523345161725,0.8808026625878258,0.9456050774656376,-75.20856437900919,23.89116653090354,3.767136149322387,3.3027631092193137,3.524481671180888,0.35294117647058826,6.0,11.0,0.0,0.11815429598665474,31.377833604812622,0.0026826957952797246,0.03333333333333333,,
MIOSR,10.0,0.01,0.030000000000000006,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.8452695783395036,0.9007395334922264,0.7939428554520653,0.9986279696247496,0.12794061814495733,0.025368638025861253,0.031826141961951965,0.04463318599285637,1.0,6.0,0.0,0.0,0.0002068838417846446,22.50594139099121,,,6.0,0.0001
Con-SR3,10.0,0.01,0.030000000000000006,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.8009228308050937,0.8914486243178095,0.8605944787863224,-113.48895658125988,24.654269289017492,3.587906591869994,3.422116676549428,3.682392592426318,0.4,6.0,9.0,0.0,0.004564566151778267,76.95954060554504,0.008286427728546842,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.030000000000000006,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.8452528260895045,0.900506651030852,0.7959020536353181,0.99868901386005,0.1148400449905849,0.023147322451692633,0.0279274120072186,0.03887574914241787,1.0,6.0,0.0,0.0,0.0,21.75922989845276,,,6.0,0.0001
SR3,10.0,0.01,0.04000000000000001,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.7597996520576301,0.8031573008157044,1.665305999229952,-131.44528897504264,32.28359432835776,4.951513034719213,4.381974318091454,4.6407338497745565,0.35294117647058826,6.0,11.0,0.0,0.12700577173219837,27.103180170059204,0.0020235896477251575,3.3333333333333335,,
MIOSR,10.0,0.01,0.04000000000000001,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.7583062424451186,0.8354552800254607,1.4092882530303612,0.9973382309738424,0.177492222391114,0.03845607440000616,0.04660275295798825,0.06487273222526446,1.0,6.0,0.0,0.0,0.00032147921092819803,24.1631817817688,,,6.0,0.0001
Con-SR3,10.0,0.01,0.04000000000000001,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.7591960491566948,0.8200684326649496,1.52653944100528,-209.57145551575,33.39975848869294,4.806199340949892,4.556794055519802,4.870864148444421,0.3333333333333333,6.0,12.0,0.0,0.0019998738478123057,75.1365876197815,0.008286427728546842,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.04000000000000001,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.7582708973212281,0.8350149573631793,1.4132635056713954,0.9973778790560056,0.16250858117379624,0.035002189045811684,0.04066161074121166,0.05592461501239676,1.0,6.0,0.0,0.0,0.0,21.540847778320312,,,6.0,0.0001
SR3,10.0,0.01,0.05000000000000001,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.6743027630827527,0.7158820271655468,2.5994563777868844,-194.19778379269468,39.71588590693103,6.010717542111152,5.286167260748385,5.550047013174823,0.35294117647058826,6.0,11.0,0.0,0.17160941585252443,24.198740482330322,0.006250551925273976,3.3333333333333335,,
MIOSR,10.0,0.01,0.05000000000000001,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.6725201858663132,0.763283747388831,2.198021634697073,0.9954719793635505,0.2304824449340416,0.053678861976680155,0.06334118809505704,0.08745394945328222,1.0,6.0,0.0,0.0,0.00045619899410402853,26.232697248458862,,,6.0,0.0001
Con-SR3,10.0,0.01,0.05000000000000001,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.6739574025842556,0.7414631980224093,2.3796289557062558,-318.23585049325504,41.11852473058907,5.8389922447663025,5.507212140472215,5.844498872163056,0.3157894736842105,6.0,13.0,0.0,0.0025552499983390966,74.87820267677307,0.009540954763499945,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.05000000000000001,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.672458781629773,0.7625828960142,2.20489568558706,0.9954251146285381,0.21547158027345087,0.04877779910619902,0.05507305529226799,0.0747575827504462,1.0,6.0,0.0,0.0,0.0,21.613941192626953,,,6.0,0.0001
SR3,10.0,0.01,0.06000000000000001,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.5940585731423538,0.6258088233741215,3.7421056178265295,-255.9187098009615,45.893689344512744,6.843111085804385,5.982085548078908,6.220619150310082,0.35294117647058826,6.0,11.0,0.0,0.21150015248928625,20.847245454788208,0.012648552168552958,0.03333333333333333,,
MIOSR,10.0,0.01,0.06000000000000001,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.5938039640428148,0.6558495023159008,3.451729670555313,-11.493292272727864,8.786956475780729,0.7642549831818126,0.6933372228492145,0.8573933691866309,0.5,4.0,2.0,2.0,0.13021657831905684,25.0785915851593,,,6.0,0.01
Con-SR3,10.0,0.01,0.06000000000000001,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.5950627844335401,0.6572533851744291,3.4617511420450047,-424.3319848262283,47.451436498572264,6.644816300187468,6.237105181592885,6.567247471351417,0.3157894736842105,6.0,13.0,0.0,0.0030273864144838383,67.2399365901947,0.012648552168552958,3.3333333333333335,,
Con-MIOSR,10.0,0.01,0.06000000000000001,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.5939309851885832,0.6860614424386797,3.1868566016595077,-15.530497516113439,12.919269374076498,2.210917822868917,2.112267138868253,2.2196062582977394,0.625,5.0,2.0,1.0,0.0,22.70966863632202,,,7.0,0.01
SR3,10.0,0.01,0.07,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.5233141623831162,0.5360321482400906,5.114853577737264,-310.28936673927194,50.71564642036512,7.442948613112986,6.465328988352927,6.6524407717461,0.3333333333333333,6.0,12.0,0.0,0.24396595643301436,16.767925024032593,0.014563484775012436,0.03333333333333333,,
MIOSR,10.0,0.01,0.07,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.5232300024908807,0.5888801817890683,4.557170460297874,-11.274503411107371,8.7136303232006,0.7675095783014473,0.6846059287632333,0.8415568998659246,0.5,4.0,2.0,2.0,0.12832461940410508,24.267996549606323,,,6.0,0.01
Con-SR3,10.0,0.01,0.07,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.5243275421315614,0.5708928816968573,4.79144998971649,-516.4075611066033,52.3242814777358,7.2365305758500105,6.745582524198868,7.041551125832832,0.3157894736842105,6.0,13.0,0.0,0.003394353109121459,58.088156938552856,0.0071968567300115215,3.3333333333333335,,
Con-MIOSR,10.0,0.01,0.07,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.523577945795231,0.5729799444700088,4.7406016514149645,-135.9787918306874,36.882843154984414,6.193619761058701,5.8024543660138725,6.006928963118115,0.6,6.0,4.0,0.0,0.0,23.316490650177002,,,10.0,0.01
SR3,10.0,0.01,0.08,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.4595890759366331,0.4538531372262096,6.6689103799689775,-352.60426110754713,54.21223087416335,7.820904616381263,6.751508327785604,6.865834197262943,0.35294117647058826,6.0,11.0,0.0,0.270459533950766,13.809758424758911,0.019306977288832496,0.03333333333333333,,
MIOSR,10.0,0.01,0.08,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.46076717842206383,0.5254155333677163,5.831251895445233,-11.024540226299411,8.629550690569467,0.7698630122036537,0.6747706820260448,0.8229974842381009,0.5,4.0,2.0,2.0,0.12625660993075138,25.8647780418396,,,6.0,0.01
Con-SR3,10.0,0.01,0.08,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.4625021915288627,0.4890860002436601,6.33845204299117,-585.7686903173351,55.79000316343517,7.610893718544978,7.048228507517191,7.287536584187273,0.3,6.0,14.0,0.0,4.644432986348572e-15,51.9897301197052,0.0071968567300115215,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.08,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.4586376183958852,0.508052692424644,6.0878684681622675,-11.065192756749896,10.758208506559528,1.0450664898907123,0.7565376732034959,0.8149209520276286,0.3333333333333333,3.0,3.0,3.0,0.0,22.02563738822937,,,6.0,0.01
SR3,10.0,0.01,0.09000000000000001,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.2379612595003005,0.36549299087813747,8.727716486726706,-377.863169571326,56.568579043523776,7.994913134364839,6.863251135393217,6.88961433837916,0.3333333333333333,5.0,9.0,1.0,0.2918395472808057,11.552010536193848,0.029470517025518096,0.03333333333333333,,
MIOSR,10.0,0.01,0.09000000000000001,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.4058718561153689,0.4667763218984833,7.2726508347817465,-10.746022400363508,8.535284351301408,0.7712329109198016,0.6640254074205912,0.8018144398010665,0.5,4.0,2.0,2.0,0.12402982024054321,24.383554458618164,,,6.0,0.01
Con-SR3,10.0,0.01,0.09000000000000001,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.40783598498871115,0.41150076443413103,8.12192622025151,-632.4239544664912,57.95672649464309,7.787023329309297,7.169882826480155,7.334988193551586,0.3,6.0,14.0,0.0,3.0808688933348094e-15,46.354352951049805,0.005428675439323859,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.09000000000000001,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.40392738857418176,0.45159633088378764,7.527387771937901,-10.712418230844145,10.612473135226853,1.0113508877197148,0.7310885396692159,0.790999623467759,0.3333333333333333,3.0,3.0,3.0,0.0,22.446292877197266,,,6.0,0.01
SR3,10.0,0.01,0.1,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.19118415290631657,0.2847360295061743,10.880984256995308,-392.9327245521373,57.68435254152754,8.004382228724802,6.826793126902264,6.754259697302461,0.3333333333333333,5.0,9.0,1.0,0.2993830688737786,9.656821727752686,0.03393221771895328,0.03333333333333333,,
MIOSR,10.0,0.01,0.1,44,"(2.1038752687204516, -2.483139310363369, 1.5371214800300832, -0.8764990959983447)",0.3577789509717046,0.4135526964796573,8.88002625076425,-10.441845894555664,8.431453738207193,0.771550650442638,0.6525743718204636,0.7781269329722078,0.5,4.0,2.0,2.0,0.1216620502496728,24.88234806060791,,,6.0,0.01
