Method,Duration,Sample Rate,Noise,Seed,x0,insample_r2,validation_r2,validation_mse,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,constraint_violation,runtime,threshold,nu,group_sparsity,alpha
SR3,10.0,0.01,0.01,36,"(1.4357530288191338, 0.6384609261651502, 2.8411349256361245, -2.24200735049077)",0.9962990334132581,0.9955234289092423,0.08143334239348535,0.9998493514096076,0.03582481169786067,0.0020070601350399655,0.0016793855817854864,0.001976443140960904,1.0,6.0,0.0,0.0,0.00031770335008733663,1.1255927085876465,0.03906939937054617,0.03333333333333333,,
MIOSR,10.0,0.01,0.01,36,"(1.4357530288191338, 0.6384609261651502, 2.8411349256361245, -2.24200735049077)",0.9963454220036333,0.9955830611056462,0.08017691058765078,0.999961822808834,0.019128555749620097,0.0018833568861007116,0.0020920727710135806,0.0028700659914692173,1.0,6.0,0.0,0.0,7.904414658153429e-05,12.106722831726074,,,6.0,0.01
Con-SR3,10.0,0.01,0.01,36,"(1.4357530288191338, 0.6384609261651502, 2.8411349256361245, -2.24200735049077)",0.9963210239385192,0.995561171356377,0.08108477214831551,0.9999511922805165,0.026739740505114462,0.002664236749894203,0.002715310782192918,0.003010481934553999,1.0,6.0,0.0,0.0,1.1564823173178715e-16,1.2774531841278076,0.016768329368110083,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.01,36,"(1.4357530288191338, 0.6384609261651502, 2.8411349256361245, -2.24200735049077)",0.9963445507497861,0.9955825579037442,0.08020460087016137,0.9999738180715712,0.017160849086629223,0.002610485150525412,0.0028755498098546536,0.0038141712471727596,1.0,6.0,0.0,0.0,9.4402726376804e-12,11.668553829193115,,,8.0,0.01
SR3,10.0,0.01,0.020000000000000004,36,"(1.4357530288191338, 0.6384609261651502, 2.8411349256361245, -2.24200735049077)",0.9852424664957952,0.9823884844608678,0.3274254124893716,0.999133115760958,0.08964840481351109,0.003925340738168961,0.0035133363602804606,0.004497222694350822,1.0,6.0,0.0,0.0,0.0006004653877131708,1.1339573860168457,0.07906043210907697,0.03333333333333333,,
MIOSR,10.0,0.01,0.020000000000000004,36,"(1.4357530288191338, 0.6384609261651502, 2.8411349256361245, -2.24200735049077)",0.9855231662536301,0.9825770323586607,0.32018166392536535,0.9998408458425555,0.03886215605084453,0.003999274676355314,0.004932132359713589,0.006913515530556635,1.0,6.0,0.0,0.0,0.00018391409297982322,11.525023460388184,,,6.0,0.01
Con-SR3,10.0,0.01,0.020000000000000004,36,"(1.4357530288191338, 0.6384609261651502, 2.8411349256361245, -2.24200735049077)",0.98530368807632,0.9823755799558528,0.3286084389847119,0.9995573722602573,0.08075141503013741,0.005783913340505351,0.005678569927066083,0.006827185554804771,1.0,6.0,0.0,0.0,7.632783294297951e-17,1.3553073406219482,0.03906939937054617,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.020000000000000004,36,"(1.4357530288191338, 0.6384609261651502, 2.8411349256361245, -2.24200735049077)",0.9855210078064649,0.9825836498444616,0.32019322511668347,0.9998829543234884,0.03628722098539952,0.005020037950394399,0.006412314779696391,0.009019521955857202,1.0,6.0,0.0,0.0,2.601904802723709e-12,11.545727491378784,,,8.0,0.01
SR3,10.0,0.01,0.030000000000000006,36,"(1.4357530288191338, 0.6384609261651502, 2.8411349256361245, -2.24200735049077)",0.966526735679732,0.9608097501346136,0.7577626533287469,0.9955388251313991,0.20315055463071569,0.0356644146353625,0.04678596646139653,0.06578864558271899,0.8571428571428571,6.0,1.0,0.0,0.0007715165555664261,1.1036922931671143,0.03393221771895328,0.03333333333333333,,
MIOSR,10.0,0.01,0.030000000000000006,36,"(1.4357530288191338, 0.6384609261651502, 2.8411349256361245, -2.24200735049077)",0.9679489609839258,0.9617354421956618,0.7186466181447225,0.9996078852941812,0.062011478268118994,0.00896526230974696,0.009844359920477925,0.01326896529382282,1.0,6.0,0.0,0.0,0.00021655634610853505,11.691593647003174,,,6.0,0.01
Con-SR3,10.0,0.01,0.030000000000000006,36,"(1.4357530288191338, 0.6384609261651502, 2.8411349256361245, -2.24200735049077)",0.9674555430336866,0.9613202998148678,0.7263702133607794,0.9965956748723122,0.21531874703008028,0.03646578756322695,0.02783479638293169,0.03007197263060757,0.6666666666666666,6.0,3.0,0.0,0.003242290720600336,1.3545973300933838,0.019306977288832496,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.030000000000000006,36,"(1.4357530288191338, 0.6384609261651502, 2.8411349256361245, -2.24200735049077)",0.9679424349431018,0.9617314279626372,0.7188863983193317,0.9996993476099183,0.05870054042594671,0.009097389608984577,0.011326778907322142,0.01588337680193841,1.0,6.0,0.0,0.0,0.0,11.420581579208374,,,6.0,0.01
SR3,10.0,0.01,0.04000000000000001,36,"(1.4357530288191338, 0.6384609261651502, 2.8411349256361245, -2.24200735049077)",0.9408288813980625,0.9317076198015772,1.3724726150407518,0.9894643545225907,0.3116488097217793,0.053674486252487885,0.06795254847109328,0.09540538301560213,0.8571428571428571,6.0,1.0,0.0,0.0008927330269677819,1.1355724334716797,0.0517947467923121,0.03333333333333333,,
MIOSR,10.0,0.01,0.04000000000000001,36,"(1.4357530288191338, 0.6384609261651502, 2.8411349256361245, -2.24200735049077)",0.9442635502526548,0.9341345662132245,1.2744242441312486,0.9992355742294959,0.0877345341986273,0.01569884371314193,0.016399547007822323,0.021002845179206586,1.0,6.0,0.0,0.0,0.00027371786090464356,12.002465963363647,,,6.0,0.01
Con-SR3,10.0,0.01,0.04000000000000001,36,"(1.4357530288191338, 0.6384609261651502, 2.8411349256361245, -2.24200735049077)",0.9430541396226029,0.9329649240692833,1.2957955295136143,0.9909141834957224,0.35141263598543365,0.05314202143494678,0.04081247033197954,0.04478600252455989,0.6666666666666666,6.0,3.0,0.0,0.005328592193338741,1.3593292236328125,0.029470517025518096,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.04000000000000001,36,"(1.4357530288191338, 0.6384609261651502, 2.8411349256361245, -2.24200735049077)",0.944253181136201,0.9341278844321006,1.2748397715439674,0.999382259522126,0.08502927398412169,0.015871310104832226,0.017924495478582485,0.02432987272892051,1.0,6.0,0.0,0.0,0.0,12.130234479904175,,,6.0,0.01
SR3,10.0,0.01,0.05000000000000001,36,"(1.4357530288191338, 0.6384609261651502, 2.8411349256361245, -2.24200735049077)",0.9150509950657271,0.8967858443496416,2.120773880010378,0.9284542165899774,0.8329711501132582,0.14334244175897695,0.10138908061820238,0.12976111508048885,0.35294117647058826,6.0,11.0,0.0,0.024129528559312715,1.0071067810058594,0.004714866363457394,0.03333333333333333,,
MIOSR,10.0,0.01,0.05000000000000001,36,"(1.4357530288191338, 0.6384609261651502, 2.8411349256361245, -2.24200735049077)",0.9152875504141731,0.9011088523264965,1.985656600837273,0.9986748419570357,0.11700242894648309,0.024269377577672557,0.02480041364682889,0.03031852487344333,1.0,6.0,0.0,0.0,0.00032285735983987596,12.54213833808899,,,6.0,0.01
Con-SR3,10.0,0.01,0.05000000000000001,36,"(1.4357530288191338, 0.6384609261651502, 2.8411349256361245, -2.24200735049077)",0.9129030531762723,0.8986308595767452,2.0316318227522157,0.9809500351496443,0.508600832096828,0.0709739613274107,0.05510173880747449,0.06096981320784556,0.6666666666666666,6.0,3.0,0.0,0.007721286892294806,1.2260360717773438,0.044984326689694466,0.03333333333333333,,
Con-MIOSR,10.0,0.01,0.05000000000000001,36,"(1.4357530288191338, 0.6384609261651502, 2.8411349256361245, -2.24200735049077)",0.9152732420105655,0.9010991375196793,1.9862854040204247,0.9988796997021014,0.11548606688656451,0.02447902673928674,0.02629042292830494,0.03427307517240885,1.0,6.0,0.0,0.0,0.0,12.521374225616455,,,6.0,0.01
SR3,10.0,0.01,0.06000000000000001,36,"(1.4357530288191338, 0.6384609261651502, 2.8411349256361245, -2.24200735049077)",0.8814874287858161,0.856929148600398,3.080808173293639,0.8837354214484602,1.0515974202736529,0.186729264860549,0.1288690646603789,0.16395966732373396,0.35294117647058826,6.0,11.0,0.0,0.030317872521733125,1.0541996955871582,0.006250551925273976,0.03333333333333333,,
MIOSR,10.0,0.01,0.06000000000000001,36,"(1.4357530288191338, 0.6384609261651502, 2.8411349256361245, -2.24200735049077)",0.8819514655272751,0.864053590062489,2.85030862592001,0.9978686495992728,0.14994696523330947,0.0345988241444187,0.03498995667833004,0.04112153344424363,1.0,6.0,0.0,0.0,0.0003640670842657105,12.571664094924927,,,6.0,0.01
