Method,Duration,Sample Rate,Noise,Seed,x0,insample_r2,validation_r2,validation_mse,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime,threshold,alpha,nu,group_sparsity
STLSQ,0.25,0.002,0.002,37,"(4.444966028573068, -0.35901825695592393, 15.783850868714728)",-3.292876205732084,-10.092415460259067,12366.759506893331,-0.00016267428713572966,64.64077742366524,1.0,1.0,1.0,0.0,0.0,0.0,7.0,3.4751193523406982,0.7906043210907697,0.2,,
E-STLSQ,0.25,0.002,0.002,37,"(4.444966028573068, -0.35901825695592393, 15.783850868714728)",-3.292876205732084,-10.092415460259067,12366.759506893331,-0.00016267428713572966,64.64077742366524,1.0,1.0,1.0,0.0,0.0,0.0,7.0,18.44316053390503,0.29470517025518095,0.2,,
SR3,0.25,0.002,0.002,37,"(4.444966028573068, -0.35901825695592393, 15.783850868714728)",0.9909128755941463,-2310679558629.3423,882235574213982.5,-5613289681926826.0,4666260450.114122,6179393.183081289,4153377.403360385,3894436.179749778,0.043478260869565216,7.0,154.0,0.0,28.31292223930359,27.464741148160503,,3.3333333333333335,
SSR,0.25,0.002,0.002,37,"(4.444966028573068, -0.35901825695592393, 15.783850868714728)",0.9792221401680014,0.23018711882834322,3544.474704749342,0.0778387383985834,66.08239959306174,0.6960948376780741,0.7078020455774487,0.677056464173611,0.3333333333333333,4,5,3,1.0279340744018555,,"(0.0, 0.0, 0.05)",,
MIOSR,0.25,0.002,0.002,37,"(4.444966028573068, -0.35901825695592393, 15.783850868714728)",0.9795498424091663,0.47040307782282054,1009.9026403200277,0.9152371366310312,21.82339621276349,0.2720513529139566,0.34672398521054565,0.3849187979929513,0.4444444444444444,4,2,3,1567.3873364925385,,"(0, 0.2, 0)",,"(2, 2, 2)"
STLSQ,0.3513325357035531,0.002,0.002,37,"(4.444966028573068, -0.35901825695592393, 15.783850868714728)",0.9732302399856049,0.6626240618517757,2621.098871696801,-0.035962832785736566,50.71795288483267,0.49464511547608114,0.37543068527821466,0.35714285714285715,0.36363636363636365,4.0,4.0,3.0,4.6441850662231445,0.517947467923121,0.001,,
E-STLSQ,0.3513325357035531,0.002,0.002,37,"(4.444966028573068, -0.35901825695592393, 15.783850868714728)",-1.3481126592751849,-1.4866543737382392,9380.55752216828,-0.23498014232980635,72.8368164548049,0.8787437290399052,0.8759250399806114,0.8841093204988749,0.25,2.0,1.0,5.0,35.25911355018616,0.7906043210907697,0.001,,
SR3,0.3513325357035531,0.002,0.002,37,"(4.444966028573068, -0.35901825695592393, 15.783850868714728)",0.9916653205485733,-3874185.0602267687,12909447938.3393,-11363463680.052149,6645353.830612138,29378.360035229314,17030.014286506197,12883.456080112353,0.0546875,7.0,121.0,0.0,29.659961938858032,27.464741148160503,,0.1,
SSR,0.3513325357035531,0.002,0.002,37,"(4.444966028573068, -0.35901825695592393, 15.783850868714728)",0.9889627673583666,0.9921299313997788,48.530826054895364,0.16815555456961334,71.71830138541159,0.5955813247233696,0.46642958029515996,0.383753085086861,0.35714285714285715,5,7,2,1.0774686336517334,,"(0.0, 0.01, 0.2)",,
MIOSR,0.3513325357035531,0.002,0.002,37,"(4.444966028573068, -0.35901825695592393, 15.783850868714728)",0.9873462100920262,0.9866622040268774,40.71337065890692,0.998489794786144,2.548388925581629,0.05635642304570435,0.06711596639053037,0.06652214169263512,0.75,6,1,1,1467.147587776184,,"(0, 0.01, 0)",,"(2, 3, 2)"
STLSQ,0.4937382025755537,0.002,0.002,37,"(4.444966028573068, -0.35901825695592393, 15.783850868714728)",0.9977858467458008,0.9565773046688718,17.969326591656266,0.9999523505334065,0.4652403560406129,0.0005460964161781045,0.0004562152816207013,0.00032425924587701057,1.0,7.0,0.0,0.0,5.7018349170684814,0.517947467923121,0.001,,
E-STLSQ,0.4937382025755537,0.002,0.002,37,"(4.444966028573068, -0.35901825695592393, 15.783850868714728)",0.9977353010857549,0.9556402053412955,18.340314255086668,0.9998756457643102,0.7514828524232525,0.007563418777315677,0.0072461949690929015,0.006114990977439965,1.0,7.0,0.0,0.0,45.231486082077026,0.19306977288832497,0.001,,
SR3,0.4937382025755537,0.002,0.002,37,"(4.444966028573068, -0.35901825695592393, 15.783850868714728)",0.997953765503152,-376.4765470491446,231465.91121902145,-104357.05198760571,14571.856959293134,27.708078244023845,27.34290988724012,29.88530202228784,0.12727272727272726,7.0,48.0,0.0,30.981279850006104,31.622776601683793,,0.03333333333333333,
SSR,0.4937382025755537,0.002,0.002,37,"(4.444966028573068, -0.35901825695592393, 15.783850868714728)",0.997785846741559,0.9565774178044775,17.969246133532497,0.9999523583370873,0.4652247903081072,0.0005447016313403283,0.0004551883746857161,0.00032426103392884417,1.0,7,0,0,1.1339929103851318,,"(0.01, 1e-05, 0.001)",,
MIOSR,0.4937382025755537,0.002,0.002,37,"(4.444966028573068, -0.35901825695592393, 15.783850868714728)",0.9977858467458008,0.9565773046688718,17.969326591656266,0.9999523505334065,0.4652403560406129,0.0005460964161781045,0.0004562152816207013,0.00032425924587701057,1.0,7,0,0,1514.6216130256653,,"(0, 0, 0)",,"(2, 3, 2)"
STLSQ,0.6938651787383354,0.002,0.002,37,"(4.444966028573068, -0.35901825695592393, 15.783850868714728)",0.9978919289735959,0.9817534116302808,12.565809126902572,0.9999516527231697,0.4767031797305802,0.000753567804388668,0.0008678142934010737,0.0009395744756971627,1.0,7.0,0.0,0.0,4.703817129135132,0.6866488450043002,1e-05,,
E-STLSQ,0.6938651787383354,0.002,0.002,37,"(4.444966028573068, -0.35901825695592393, 15.783850868714728)",0.9978976231158695,0.981012277531072,13.17921457731208,0.9997982705001489,0.9296379999614223,0.03251378511897012,0.03703206557179322,0.035702050636854984,0.875,7.0,1.0,0.0,33.20336723327637,0.22229964825261944,1e-05,,
SR3,0.6938651787383354,0.002,0.002,37,"(4.444966028573068, -0.35901825695592393, 15.783850868714728)",0.9979745401805974,-36.34231040487176,31302.163713470753,-457.7837779753978,1407.723398466692,25.3044316205586,25.478263400556376,27.015119785159794,0.14893617021276595,7.0,40.0,0.0,32.94620990753174,27.464741148160503,,0.3333333333333333,
