Method,Duration,Sample Rate,Noise,Seed,x0,insample_r2,validation_r2,validation_mse,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime,threshold,alpha,nu,group_sparsity
STLSQ,0.25,0.002,0.002,39,"(0.46889156145354693, 2.9789902128260524, 34.61205639695144)",-7.555839216639309,-8.866341729973755,848.2405659429842,-0.00036501392052828616,61.77787961430406,1.0,1.0,1.0,0.0,0.0,0.0,7.0,4.664568185806274,0.9102981779915218,0.2,,
E-STLSQ,0.25,0.002,0.002,39,"(0.46889156145354693, 2.9789902128260524, 34.61205639695144)",-7.555839216639309,-8.866341729973755,848.2405659429842,-0.00036501392052828616,61.77787961430406,1.0,1.0,1.0,0.0,0.0,0.0,7.0,24.354098558425903,0.517947467923121,0.2,,
SR3,0.25,0.002,0.002,39,"(0.46889156145354693, 2.9789902128260524, 34.61205639695144)",0.9345715795209445,-15233201213.499743,649332892753.2994,-4.276963777830246e+16,11887732964.834057,6249956.840391015,3858879.905354202,3206710.0686835228,0.04794520547945205,7.0,139.0,0.0,38.604549407958984,31.622776601683793,,0.03333333333333333,
SSR,0.25,0.002,0.002,39,"(0.46889156145354693, 2.9789902128260524, 34.61205639695144)",0.8394325826770638,0.8512933542079258,14.409416632372254,-271.38585486484357,1030.258578167248,0.8507253582934727,0.9431067076605119,0.9960255123260939,0.5,6,5,1,1.4646961688995361,,"(0.0, 1e-05, 0.2)",,
MIOSR,0.25,0.002,0.002,39,"(0.46889156145354693, 2.9789902128260524, 34.61205639695144)",0.8553294044959111,0.8241603415454034,16.53895128989151,-1344.5579625276378,1554.207486278488,0.6797699821065784,0.6127776855774822,0.46586220818179125,0.14285714285714285,2,7,5,1782.2068753242493,,"(0, 0, 0.01)",,"(3, 2, 4)"
STLSQ,0.3513325357035531,0.002,0.002,39,"(0.46889156145354693, 2.9789902128260524, 34.61205639695144)",-3.2169547470305244,-11.287685258667926,3551.5457436078927,-0.00036501392052828616,61.77787961430406,1.0,1.0,1.0,0.0,0.0,0.0,7.0,5.157438278198242,1.2067926406393288,0.05,,
E-STLSQ,0.3513325357035531,0.002,0.002,39,"(0.46889156145354693, 2.9789902128260524, 34.61205639695144)",-3.2169547470305244,-11.287685258667926,3551.5457436078927,-0.00036501392052828616,61.77787961430406,1.0,1.0,1.0,0.0,0.0,0.0,7.0,28.485283851623535,0.7906043210907697,0.05,,
SR3,0.3513325357035531,0.002,0.002,39,"(0.46889156145354693, 2.9789902128260524, 34.61205639695144)",0.9444222893239322,-337900100065.5627,96149823447090.17,-20827751014966.684,270380415.9606055,219197.42427710377,93320.4403057846,67739.63214636255,0.04861111111111111,7.0,137.0,0.0,40.41703248023987,20.716983998953076,,0.03333333333333333,
SSR,0.3513325357035531,0.002,0.002,39,"(0.46889156145354693, 2.9789902128260524, 34.61205639695144)",0.8845811829581587,0.19475054696964056,274.6578148486317,-2.1842458753011975,130.14315059790133,3.9723459170319213,3.730316410268277,3.7047872757095672,0.36363636363636365,4,4,3,1.3833723068237305,,"(0.0, 1e-05, 0.001)",,
MIOSR,0.3513325357035531,0.002,0.002,39,"(0.46889156145354693, 2.9789902128260524, 34.61205639695144)",0.8897013229138162,0.9109809745447741,12.513183021177712,0.9889546550657208,5.017721878692539,0.10245486580025061,0.08894948490987648,0.06199891928613838,0.8571428571428571,6,0,1,1738.430824995041,,"(0.05, 0.05, 0)",,"(2, 2, 2)"
STLSQ,0.4937382025755537,0.002,0.002,39,"(0.46889156145354693, 2.9789902128260524, 34.61205639695144)",-0.9923835704646932,-0.6110577135439067,5585.195269044016,-0.00036501392052828616,61.77787961430406,1.0,1.0,1.0,0.0,0.0,0.0,7.0,6.90317177772522,0.5963623316594643,0.2,,
E-STLSQ,0.4937382025755537,0.002,0.002,39,"(0.46889156145354693, 2.9789902128260524, 34.61205639695144)",-0.9923835704646932,-0.6110577135439067,5585.195269044016,-0.00036501392052828616,61.77787961430406,1.0,1.0,1.0,0.0,0.0,0.0,7.0,30.221652269363403,0.29470517025518095,0.2,,
