Method,Duration,Sample Rate,Noise,Pts/Domain,# Domains,Seed,x0,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime,threshold,alpha,nu,group_sparsity
STLSQ,50,0.002,0.01,400,2400,8,"(-3.6689854206358454, -3.6824946384322246, 0.2599867319459411)",0.9999958759489666,0.009110063205145364,8.037227267982003e-05,6.536891064003845e-05,4.943066289448532e-05,1.0,7.0,0.0,0.0,9.510673999786377,5.943977156547793,0.0,,
SSR,50,0.002,0.01,400,2400,8,"(-3.6689854206358454, -3.6824946384322246, 0.2599867319459411)",0.9999958760916012,0.009111109032107278,8.15807006578389e-05,6.519722736912063e-05,4.943066289405681e-05,1.0,7,0,0,0.6803159713745117,,"(1e-05, 1e-05, 0.0)",,
SR3,50,0.002,0.01,400,2400,8,"(-3.6689854206358454, -3.6824946384322246, 0.2599867319459411)",0.9996635935729952,0.11685702171811918,0.06825428079057813,0.07975633298155924,0.08225815007268049,0.5833333333333334,7.0,5.0,0.0,337.0962870121002,11.720972798967972,,3.3333333333333335,
E-STLSQ,50,0.002,0.01,400,2400,8,"(-3.6689854206358454, -3.6824946384322246, 0.2599867319459411)",0.9999960550512563,0.008770570282146565,0.00019247953054158157,0.0002229481596737439,0.00022471384239561735,1.0,7.0,0.0,0.0,15.87886357307434,11.076174286766435,0.0,,
MIOSR,50,0.002,0.01,400,2400,8,"(-3.6689854206358454, -3.6824946384322246, 0.2599867319459411)",0.9999958759489666,0.009110063205145364,8.037227267982003e-05,6.536891064003845e-05,4.943066289448532e-05,1.0,7,0,0,87.94111371040344,,"(0, 0, 0)",,"(2, 2, 3)"
STLSQ,50,0.002,0.014273992181725854,400,2400,8,"(-3.6689854206358454, -3.6824946384322246, 0.2599867319459411)",0.9987170577327774,0.1566006706177032,0.06338647833446745,0.04960177549549794,0.03903442667155562,0.23333333333333334,7.0,23.0,0.0,9.4622802734375,16.45913173562043,0.05,,
SSR,50,0.002,0.014273992181725854,400,2400,8,"(-3.6689854206358454, -3.6824946384322246, 0.2599867319459411)",0.9999956917221258,0.009346906057793597,0.0001735126246704715,0.00014079155598589946,0.00010131066100190591,1.0,7,0,0,0.6931607723236084,,"(1e-05, 1e-05, 0.0)",,
SR3,50,0.002,0.014273992181725854,400,2400,8,"(-3.6689854206358454, -3.6824946384322246, 0.2599867319459411)",0.998495575764632,0.24231169459314011,0.13968271662954118,0.15895503560945282,0.16281584185564618,0.5,7.0,7.0,0.0,337.35626673698425,11.076174286766435,,3.3333333333333335,
E-STLSQ,50,0.002,0.014273992181725854,400,2400,8,"(-3.6689854206358454, -3.6824946384322246, 0.2599867319459411)",0.9987923150280364,0.14956491596589178,0.06360043362028489,0.049609632370441664,0.03899440556084404,0.23333333333333334,7.0,23.0,0.0,16.91316509246826,19.504218467271606,0.05,,
MIOSR,50,0.002,0.014273992181725854,400,2400,8,"(-3.6689854206358454, -3.6824946384322246, 0.2599867319459411)",0.9999956917438617,0.009345292463569486,0.00017230449976346702,0.0001409210204612371,0.00010131066094456387,1.0,7,0,0,88.44717741012573,,"(0, 0, 0)",,"(2, 2, 3)"
STLSQ,50,0.002,0.02037468528039708,400,2400,8,"(-3.6689854206358454, -3.6824946384322246, 0.2599867319459411)",0.9972247702421722,0.2555238825396928,0.09516407381922996,0.07292456454297848,0.0563883165581868,0.23333333333333334,7.0,23.0,0.0,9.475347995758057,16.45913173562043,0.05,,
SSR,50,0.002,0.02037468528039708,400,2400,8,"(-3.6689854206358454, -3.6824946384322246, 0.2599867319459411)",0.9974989335715299,0.12359826896343488,0.04703275330332964,0.04776720623305169,0.03508771929824561,0.75,6,1,1,0.6819748878479004,,"(1e-05, 0.001, 0.0)",,
