Method,Duration,Sample Rate,Noise,Pts/Domain,# Domains,Seed,x0,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime,threshold,alpha,nu,group_sparsity
STLSQ,50,0.002,0.01,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.9997680434353212,0.10635154400089661,0.023368379948650434,0.020397194126537708,0.013772229922086248,0.5833333333333334,7.0,5.0,0.0,9.730810642242432,10.466847669984187,0.0,,
SSR,50,0.002,0.01,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.9996297753664678,0.13267707759084119,0.034405792777538184,0.03986164056910569,0.03508771929824561,0.8571428571428571,6,0,1,0.6865286827087402,,"(0.0, 1e-05, 0.0)",,
SR3,50,0.002,0.01,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.9993807237315593,0.18632603999484298,0.10724751490524408,0.11305800085960169,0.11358887021532282,0.5,7.0,7.0,0.0,344.12301778793335,6.29000526407596,,3.3333333333333335,
E-STLSQ,50,0.002,0.01,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.9997828608387491,0.1052651171361149,0.023391205338007485,0.020419554998385436,0.01398593595139596,0.5833333333333334,7.0,5.0,0.0,15.980010032653809,10.466847669984187,0.0,,
MIOSR,50,0.002,0.01,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.9999968812673126,0.009673604687357408,0.0005646444576633667,0.0006807186169182615,0.0007012676741731856,1.0,7,0,0,87.32134652137756,,"(0, 0, 0)",,"(2, 2, 3)"
STLSQ,50,0.002,0.014273992181725854,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.999040892312953,0.22296470845268868,0.029512551257719274,0.023959925448203204,0.017371300012462954,0.3333333333333333,7.0,14.0,0.0,9.707873106002808,19.504218467271606,0.01,,
SSR,50,0.002,0.014273992181725854,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.9994574776093403,0.151764250833711,0.05019971434298956,0.05706166926800298,0.04922567386126658,0.75,6,1,1,0.6905641555786133,,"(0.0, 1e-05, 1e-05)",,
SR3,50,0.002,0.014273992181725854,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.9983466480428236,0.30702690775676217,0.1801902115326572,0.19246220174563303,0.19430002470291083,0.5,7.0,7.0,0.0,344.2892065048218,7.043666147642623,,3.3333333333333335,
E-STLSQ,50,0.002,0.014273992181725854,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.9989498678458988,0.22591295257813684,0.10004707360912128,0.10018103106393923,0.09546483486446493,0.3333333333333333,7.0,14.0,0.0,17.15834665298462,20.63965483038268,0.01,,
MIOSR,50,0.002,0.014273992181725854,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.999996837414813,0.00978535702791456,0.0008920341769450221,0.001100380178351066,0.0011386656756840307,1.0,7,0,0,88.00982546806335,,"(0, 0, 0)",,"(2, 2, 3)"
STLSQ,50,0.002,0.02037468528039708,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.9968953088865671,0.37105989254194904,0.16195250688631996,0.11931825376104377,0.10423107736395824,0.1590909090909091,7.0,37.0,0.0,9.733388185501099,5.307981216109425,0.05,,
SSR,50,0.002,0.02037468528039708,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.9994542386601548,0.15255963739107573,0.05048315397551531,0.05734450475277976,0.04958798089238835,0.75,6,1,1,0.6900982856750488,,"(0.0, 1e-05, 1e-05)",,
SR3,50,0.002,0.02037468528039708,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.996474861926079,0.4466372155422798,0.25753174047323013,0.2627365504904876,0.26238929357175544,0.25925925925925924,7.0,20.0,0.0,345.08070635795593,6.29000526407596,,0.03333333333333333,
E-STLSQ,50,0.002,0.02037468528039708,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.9969384377188153,0.36704374952470864,0.16121597760071144,0.11828804293446574,0.10324749538939912,0.14893617021276595,7.0,40.0,0.0,16.907799005508423,4.232859648289185,0.05,,
MIOSR,50,0.002,0.02037468528039708,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.9999760252767047,0.03382866353100793,0.00625335050018811,0.007121934672706159,0.006519208920198369,0.875,7,1,0,88.00932383537292,,"(0, 0, 0)",,"(2, 2, 4)"
STLSQ,50,0.002,0.029082809839751277,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.997947449987182,0.28678278540155544,0.096076128990864,0.07998396396043306,0.0776104648603585,0.22580645161290322,7.0,24.0,0.0,9.771721124649048,14.698031265127613,0.05,,
SSR,50,0.002,0.029082809839751277,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.9996397394076428,0.13119031992479724,0.04040014837306124,0.04406721400404496,0.03508771929824561,0.75,6,1,1,0.6917331218719482,,"(1e-05, 0.001, 1e-05)",,
SR3,50,0.002,0.029082809839751277,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.9933746487732641,0.6202313825117278,0.3899993935490356,0.4148167774813833,0.4190070419337758,0.3181818181818182,7.0,15.0,0.0,345.001428604126,5.616984875886636,,1.0,
E-STLSQ,50,0.002,0.029082809839751277,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.99777717274512,0.3100539967145096,0.12094298462385769,0.08831982060079699,0.07939709501246976,0.2,7.0,28.0,0.0,16.9359712600708,13.125365696122207,0.05,,
MIOSR,50,0.002,0.029082809839751277,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.9999422087498573,0.053084788207086356,0.010202202544964014,0.011703518141169647,0.010737986954433697,0.875,7,1,0,88.49629545211792,,"(0, 0, 0)",,"(2, 2, 4)"
STLSQ,50,0.002,0.04151278002752295,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.9982041150575904,0.28268463407205635,0.10798279548224983,0.09839766194080644,0.09971944817902577,0.22580645161290322,7.0,24.0,0.0,9.776063680648804,14.698031265127613,0.05,,
SSR,50,0.002,0.04151278002752295,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.9996448477839884,0.13041196699225227,0.04760799683332088,0.049660288605609545,0.03807557419493696,0.75,6,1,1,0.6967530250549316,,"(0.001, 0.001, 1e-05)",,
SR3,50,0.002,0.04151278002752295,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.9903336202630791,0.7489215257473847,0.44518271666531234,0.48434719283787697,0.4913398165229483,0.3684210526315789,7.0,12.0,0.0,344.6384947299957,7.887629773984802,,0.3333333333333333,
E-STLSQ,50,0.002,0.04151278002752295,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.998057861990951,0.30111043878027455,0.10703978047848368,0.09831082092866496,0.0998206310809979,0.22580645161290322,7.0,24.0,0.0,16.92931318283081,15.553675862862878,0.05,,
MIOSR,50,0.002,0.04151278002752295,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.9998456080730849,0.08720583340223473,0.0170135973180848,0.01966172893711021,0.018076804224688957,0.875,7,1,0,88.86709833145142,,"(0, 0, 0)",,"(2, 2, 4)"
STLSQ,50,0.002,0.05925530975545678,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.9950539210707051,0.5152845307415899,0.16246404101549713,0.13727479736630063,0.11950273150080841,0.22580645161290322,7.0,24.0,0.0,9.78940200805664,15.553675862862878,0.05,,
SSR,50,0.002,0.05925530975545678,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.9928187297598072,0.599392983677743,0.168083734118592,0.18629814193575728,0.17831239708590205,0.75,6,1,1,0.6908738613128662,,"(0.001, 0.001, 0.001)",,
SR3,50,0.002,0.05925530975545678,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.9861299270743483,0.8903131366392166,0.47918293433345976,0.5277918478216085,0.5371616569745986,0.3684210526315789,7.0,12.0,0.0,344.2940299510956,7.887629773984802,,0.3333333333333333,
E-STLSQ,50,0.002,0.05925530975545678,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.9953658688934736,0.5003527956902526,0.16229446531976505,0.13717563269230285,0.11985504585623574,0.22580645161290322,7.0,24.0,0.0,16.965352535247803,15.553675862862878,0.05,,
MIOSR,50,0.002,0.05925530975545678,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.9995624339457458,0.14715940161461133,0.028779979485179866,0.03349346225883648,0.030840086730681865,0.875,7,1,0,89.58315658569336,,"(0, 0, 0)",,"(2, 2, 4)"
STLSQ,50,0.002,0.08458098281751338,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.9819420361708987,0.9686177859383622,0.4155089831541371,0.4903349443611515,0.5008457919741645,0.4117647058823529,7.0,10.0,0.0,9.785393238067627,23.112673507301437,0.01,,
SSR,50,0.002,0.08458098281751338,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.9918691135345321,0.6375502316134967,0.17559088222720326,0.1949709636983875,0.18648222061344868,0.75,6,1,1,0.6949200630187988,,"(0.001, 0.001, 0.001)",,
SR3,50,0.002,0.08458098281751338,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.9689187605466566,1.279673452450484,0.500188028027117,0.5500058546734815,0.5606999186471755,0.28,7.0,18.0,0.0,344.0837607383728,5.943977156547793,,0.3333333333333333,
E-STLSQ,50,0.002,0.08458098281751338,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.9831163346813814,0.9367973099751655,0.4195031644619055,0.49600190652230924,0.5069815119480757,0.4117647058823529,7.0,10.0,0.0,17.240469932556152,23.112673507301437,0.01,,
MIOSR,50,0.002,0.08458098281751338,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.9993525849872145,0.18010685423004708,0.04715802727641885,0.052129622898588544,0.042385998309073254,0.8571428571428571,6,0,1,92.60275340080261,,"(0, 0, 0)",,"(2, 2, 2)"
STLSQ,50,0.002,0.12073082874598748,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.9622408970936143,1.3647016719717537,0.41898579221489124,0.49964942275916585,0.5085716527523121,0.4117647058823529,7.0,10.0,0.0,9.758187532424927,23.112673507301437,0.01,,
SSR,50,0.002,0.12073082874598748,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.9899830681638164,0.7062737302015935,0.1916504679763775,0.20965120367249254,0.20028602427722114,0.75,6,1,1,0.6961355209350586,,"(0.01, 0.01, 0.001)",,
SR3,50,0.002,0.12073082874598748,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.9622723911835399,1.4301332481914169,0.35729075042888886,0.41544465879661074,0.41407732783194,0.5454545454545454,6.0,4.0,1.0,344.28389716148376,45.57605292814511,,1.0,
E-STLSQ,50,0.002,0.12073082874598748,400,2400,14,"(-4.40386980358333, 5.996870466140411, 0.04493769314333866)",0.9672988989760685,1.2585576472294722,0.42095998615105534,0.5031659638581534,0.5125143669540052,0.4117647058823529,7.0,10.0,0.0,17.075249433517456,23.112673507301437,0.01,,
