Method,Duration,Sample Rate,Noise,Pts/Domain,# Domains,Seed,x0,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime,threshold,alpha,nu,group_sparsity
STLSQ,50,0.002,0.01,400,2400,47,"(9.588605257845972, -4.328737822234517, 0.04201337365804908)",0.9999600756320343,0.051594222864824915,0.009590846238683129,0.011232678655324934,0.011269153893402455,0.5,7.0,7.0,0.0,11.819706201553345,40.69948899122389,0.01,,
SSR,50,0.002,0.01,400,2400,47,"(9.588605257845972, -4.328737822234517, 0.04201337365804908)",0.9999961972148877,0.013548198437055256,0.0005700389756285068,0.000571627681055543,0.00042594036499608975,1.0,7,0,0,0.9292144775390625,,"(1e-05, 0.0, 0.0)",,
SR3,50,0.002,0.01,400,2400,47,"(9.588605257845972, -4.328737822234517, 0.04201337365804908)",0.9994935522846301,0.12979259495285947,0.030835071170583848,0.037147765503111024,0.03508771929824561,0.8571428571428571,6.0,0.0,1.0,377.0357105731964,57.15210353000482,,3.3333333333333335,
E-STLSQ,50,0.002,0.01,400,2400,47,"(9.588605257845972, -4.328737822234517, 0.04201337365804908)",0.9999549122829684,0.046396070443083005,0.009381805053659136,0.009427480134789643,0.009122763690570435,0.2916666666666667,7.0,17.0,0.0,24.11645483970642,23.112673507301437,0.01,,
MIOSR,50,0.002,0.01,400,2400,47,"(9.588605257845972, -4.328737822234517, 0.04201337365804908)",0.9999961974866765,0.013547899276488595,0.0005696520503925275,0.0005713559034503604,0.0004259403649972925,1.0,7,0,0,70.4053111076355,,"(0, 0, 0)",,"(2, 2, 3)"
STLSQ,50,0.002,0.014273992181725854,400,2400,47,"(9.588605257845972, -4.328737822234517, 0.04201337365804908)",0.999854359491961,0.09945229475022013,0.01796193701350375,0.020841642935893398,0.020588965523199967,0.5,7.0,7.0,0.0,11.848567008972168,40.69948899122389,0.01,,
SSR,50,0.002,0.014273992181725854,400,2400,47,"(9.588605257845972, -4.328737822234517, 0.04201337365804908)",0.9994932135929574,0.12990393742715942,0.03094685701698726,0.03720398197894049,0.03508771929824561,0.8571428571428571,6,0,1,0.9356534481048584,,"(1e-05, 0.0, 0.0)",,
SR3,50,0.002,0.014273992181725854,400,2400,47,"(9.588605257845972, -4.328737822234517, 0.04201337365804908)",0.9995159999431842,0.19868915504550536,0.10521638874180314,0.11317693095553115,0.11468725154007546,0.5,7.0,7.0,0.0,378.9576539993286,11.076174286766435,,3.3333333333333335,
E-STLSQ,50,0.002,0.014273992181725854,400,2400,47,"(9.588605257845972, -4.328737822234517, 0.04201337365804908)",0.9998665169139385,0.08568769558638875,0.0183231641177412,0.017472316967321346,0.01601086907941859,0.2916666666666667,7.0,17.0,0.0,24.14514398574829,23.112673507301437,0.01,,
MIOSR,50,0.002,0.014273992181725854,400,2400,47,"(9.588605257845972, -4.328737822234517, 0.04201337365804908)",0.9999961759480754,0.013383864740410487,0.0008735528653910422,0.0008790014812703221,0.0006900291923625171,1.0,7,0,0,71.45070695877075,,"(0, 0, 0)",,"(2, 2, 3)"
STLSQ,50,0.002,0.02037468528039708,400,2400,47,"(9.588605257845972, -4.328737822234517, 0.04201337365804908)",0.9994697653579776,0.19039929972405065,0.03339263088932395,0.03844231596825237,0.037480595956967545,0.5,7.0,7.0,0.0,11.879414081573486,40.69948899122389,0.01,,
