Method,Duration,Sample Rate,Noise,Seed,Dim,x0,runtime
Preprocessing,0.5,0.002,0.002,1,56,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.0014960765838623047
STLSQ,0.5,0.002,0.002,1,56,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.02056288719177246
SSR,0.5,0.002,0.002,1,56,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.07023406028747559
SR3,0.5,0.002,0.002,1,56,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.09312081336975098
MIOSOS,0.5,0.002,0.002,1,56,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",2.1246609687805176
MIOSOS-Opt,0.5,0.002,0.002,1,56,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",2.101168394088745
MIOSOS-Build,0.5,0.002,0.002,1,56,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.012749910354614258
Warm-MIOSOS,0.5,0.002,0.002,1,56,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",2.149909019470215
Warm-MIOSOS-Opt,0.5,0.002,0.002,1,56,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",2.1374692916870117
Warm-MIOSOS-Build,0.5,0.002,0.002,1,56,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.010743141174316406
Preprocessing,0.8277532798848107,0.002,0.002,1,56,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.0012099742889404297
STLSQ,0.8277532798848107,0.002,0.002,1,56,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.014087915420532227
SSR,0.8277532798848107,0.002,0.002,1,56,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.0977790355682373
SR3,0.8277532798848107,0.002,0.002,1,56,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",0.08972430229187012
MIOSOS,0.8277532798848107,0.002,0.002,1,56,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",2.1233301162719727
MIOSOS-Opt,0.8277532798848107,0.002,0.002,1,56,"(9.682232497919607, -1.0896575550307426, 33.09958956846918)",2.099294900894165
